gene_id	TCGA-22-5491-01A-01R-1635-07	gene_id	TCGA-22-5491-11A-01R-1858-07
ANAPC1	1042.0660	ANAPC1	317.4820
ANAPC2	325.9931	ANAPC2	628.1218
ANAPC4	423.1473	ANAPC4	337.6668
ANAPC5	5031.8238	ANAPC5	1784.8101
ANAPC7	3037.5302	ANAPC7	609.3055
ANGEL1	586.7291	ANGEL1	672.2545
ANGEL2	455.9222	ANGEL2	482.7232
ANGPT1	57.9413	ANGPT1	1349.2987
ANGPT2	121.7353	ANGPT2	411.9056
removed	removed	ANGPT4	6.8423
removed	removed	ANGPTL1	224.4270
ANGPTL2	134.0259	ANGPTL2	1068.4229
ANGPTL4	98.6173	ANGPTL4	123.8454
removed	removed	ANGPTL5	11.6319
removed	removed	ANGPTL7	134.4509
ANG	52.3140	ANG	603.4143
ANK1	10.8274	ANK1	15.3951
ANK2	38.3349	ANK2	266.8491
ANK3	759.0899	ANK3	1699.2816
ANKAR	27.2149	ANKAR	30.7903
ANKDD1A	64.0866	ANKDD1A	207.3212
removed	removed	ANKFY1	1869.3124
removed	removed	ANKHD1-EIF4EBP3	861.4403
ANKHD1	1212.8817	ANKHD1	1571.0161
ANKH	560.3921	ANKH	1258.6384
ANKIB1	1242.2269	ANKIB1	766.6781
ANKK1	66.4277	removed	removed
ANKLE1	8.1937	removed	removed
ANKLE2	1874.0215	ANKLE2	1359.9042
ANKMY1	137.5375	ANKMY1	217.5847
ANKMY2	641.7441	ANKMY2	349.2987
ANKRA2	329.5047	ANKRA2	252.1382
ANKRD10	356.1343	ANKRD10	1137.5299
ANKRD11	1853.4553	ANKRD11	2350.7698
ANKRD12	503.0361	ANKRD12	856.6541
ANKRD13A	854.7809	ANKRD13A	1770.0992
ANKRD13B	410.8567	ANKRD13B	45.5012
ANKRD13C	286.4877	ANKRD13C	560.3832
ANKRD13D	444.8021	ANKRD13D	570.3045
ANKRD16	264.7509	ANKRD16	114.1909
ANKRD17	1600.7023	ANKRD17	1696.2025
ANKRD19	47.4065	ANKRD19	42.4222
removed	removed	ANKRD1	6990.4208
ANKRD20A3	9.6569	ANKRD20A3	10.2634
ANKRD22	1940.4053	ANKRD22	47.8960
ANKRD23	20.4843	ANKRD23	15.7373
ANKRD24	12.2906	ANKRD24	29.0797
ANKRD26	115.5900	ANKRD26	87.2391
ANKRD27	798.0101	ANKRD27	989.3945
ANKRD28	587.6070	ANKRD28	1000.3421
ANKRD29	287.3656	ANKRD29	836.4694
ANKRD2	35.9939	ANKRD2	8.5529
ANKRD32	132.5627	ANKRD32	71.1598
ANKRD34A	7.0232	ANKRD34A	13.0003
ANKRD35	102.4215	ANKRD35	86.5549
ANKRD36BP1	81.9372	ANKRD36BP1	67.3965
ANKRD36B	7.6085	ANKRD36B	6.1581
ANKRD36	23.1180	ANKRD36	46.8697
ANKRD37	53.5694	ANKRD37	243.8317
ANKRD39	222.6937	ANKRD39	196.7157
ANKRD40	1338.2105	ANKRD40	1940.4721
ANKRD42	126.1248	ANKRD42	258.9805
ANKRD43	14.9243	removed	removed
ANKRD44	62.3308	ANKRD44	216.5583
ANKRD45	66.7203	ANKRD45	16.0794
ANKRD46	610.2392	ANKRD46	561.0263
ANKRD49	568.5859	ANKRD49	184.7417
removed	removed	ANKRD50	1164.8991
ANKRD52	878.1915	ANKRD52	949.0250
removed	removed	ANKRD53	15.3951
ANKRD54	523.5204	ANKRD54	341.7722
removed	removed	ANKRD55	5.8159
ANKRD56	363.7428	ANKRD56	172.4256
ANKRD57	1291.3893	ANKRD57	585.3575
