gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
AMZ2	1571.1902	AMZ2	814.3522
ANAPC10	102.3359	ANAPC10	131.2592
ANAPC11	1149.6107	ANAPC11	568.1844
ANAPC13	1219.3159	ANAPC13	1024.6122
ANAPC16	1551.168	ANAPC16	1676.3938
ANAPC1	532.2581	ANAPC1	964.6872
ANAPC2	629.5884	ANAPC2	793.0056
ANAPC4	342.6029	ANAPC4	599.0689
ANAPC5	1850.3893	ANAPC5	2428.977
ANAPC7	935.4839	ANAPC7	920.6313
ANGEL1	453.8376	ANGEL1	606.3359
ANGEL2	868.1869	ANGEL2	684.0014
ANGPT1	97.3304	ANGPT1	95.3787
ANGPT2	891.5462	ANGPT2	303.395
removed	removed	ANGPT4	13.6255
ANGPTL1	41.713	ANGPTL1	226.1837
ANGPTL2	4919.911	ANGPTL2	2456.228
ANGPTL4	1328.6986	ANGPTL4	330.6461
removed	removed	ANGPTL7	45.8726
ANG	270.9288	ANG	210.0693
ANK1	6.6741	ANK1	33.1554
ANK2	285.8732	ANK2	870.6711
ANK3	573.4149	ANK3	1670.9436
ANKAR	16.129	ANKAR	69.9444
ANKDD1A	47.8309	ANKDD1A	95.3787
ANKFY1	1491.6574	ANKFY1	2187.351
ANKHD1-EIF4EBP3	1395.7953	ANKHD1-EIF4EBP3	1133.2349
ANKHD1	2269.4939	ANKHD1	2574.3795
ANKH	4537.8198	ANKH	2263.6539
ANKIB1	1327.5862	ANKIB1	1247.6439
ANKK1	5.0056	ANKK1	45.8726
removed	removed	ANKLE1	7.7211
ANKLE2	1488.8765	ANKLE2	1579.6525
ANKMY1	410.4561	ANKMY1	276.144
ANKMY2	377.0857	ANKMY2	533.6664
ANKRA2	298.6652	ANKRA2	291.1321
ANKRD10	1200.4894	ANKRD10	1541.9507
ANKRD11	1430.0556	ANKRD11	2892.5627
ANKRD12	1362.6251	ANKRD12	1587.8279
ANKRD13A	1116.2403	ANKRD13A	1400.2498
ANKRD13B	269.188	ANKRD13B	144.8848
ANKRD13C	544.4939	ANKRD13C	576.8139
ANKRD13D	530.5895	ANKRD13D	530.0329
ANKRD16	165.1835	ANKRD16	196.7253
ANKRD17	2000	ANKRD17	3857.8404
ANKRD19	67.8532	ANKRD19	36.7889
ANKRD1	100.6674	removed	removed
removed	removed	ANKRD20A3	17.259
ANKRD20B	5.0056	ANKRD20B	7.7211
ANKRD22	45.6062	ANKRD22	50.4144
ANKRD23	19.4661	ANKRD23	44.9642
ANKRD24	52.2803	ANKRD24	50.4144
ANKRD26	231.9244	ANKRD26	298.399
ANKRD27	777.5306	ANKRD27	790.2805
ANKRD28	1423.8042	ANKRD28	1420.2339
ANKRD29	45.6062	ANKRD29	255.7057
ANKRD30A	532.8142	ANKRD30A	789.8263
ANKRD30B	15.5729	ANKRD30B	15.4423
ANKRD32	140.7119	ANKRD32	157.1477
ANKRD34A	18.9099	ANKRD34A	21.3467
ANKRD35	58.9544	ANKRD35	127.6258
ANKRD36BP1	75.6396	ANKRD36BP1	147.1557
ANKRD36B	21.6908	ANKRD36B	68.5818
ANKRD36	155.7286	ANKRD36	287.9528
ANKRD37	164.6329	ANKRD37	136.3688
ANKRD39	162.4027	ANKRD39	97.6496
ANKRD40	1220.8009	ANKRD40	1340.7517
ANKRD42	403.782	ANKRD42	299.7616
ANKRD43	109.01	ANKRD43	37.2431
ANKRD44	47.8309	ANKRD44	69.4902
removed	removed	ANKRD45	19.0757
ANKRD46	420.0501	ANKRD46	418.458
