gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
ANKRD13D	726.5904	ANKRD13D	427.7082
ANKRD16	117.534	ANKRD16	195.5114
ANKRD17	18030.0214	ANKRD17	4671.9896
ANKRD19	33.9528	ANKRD19	35.8222
ANKRD1	9.6497	ANKRD1	5.1791
removed	removed	ANKRD20A3	13.811
removed	removed	ANKRD20A4	6.0423
ANKRD20B	13.2237	ANKRD20B	9.495
ANKRD22	286.9907	ANKRD22	51.7911
ANKRD23	28.5919	ANKRD23	60.423
ANKRD24	20.7291	ANKRD24	28.9167
ANKRD26	194.4246	ANKRD26	470.8675
ANKRD27	641.8871	ANKRD27	842.0371
ANKRD28	1017.1551	ANKRD28	1693.1377
ANKRD29	79.6998	ANKRD29	264.9978
ANKRD30A	32.5232	ANKRD30A	898.1442
ANKRD30B	14.6533	ANKRD30B	100.9927
ANKRD32	182.6305	ANKRD32	209.754
ANKRD34A	35.7398	ANKRD34A	25.0324
ANKRD35	53.6097	ANKRD35	173.0686
ANKRD36BP1	95.0679	ANKRD36BP1	258.524
ANKRD36B	10.7219	ANKRD36B	64.7389
ANKRD36	68.9778	ANKRD36	516.6163
ANKRD37	111.1044	ANKRD37	89.2404
ANKRD39	103.6455	ANKRD39	82.4342
ANKRD40	1099.7141	ANKRD40	1402.6759
ANKRD42	367.4053	ANKRD42	374.1908
ANKRD43	438.8849	ANKRD43	7.3371
ANKRD44	129.7355	ANKRD44	72.5076
ANKRD45	9.2924	ANKRD45	18.1269
ANKRD46	268.1094	ANKRD46	562.5507
ANKRD49	217.2981	ANKRD49	404.8338
ANKRD50	2933.5239	ANKRD50	1488.9944
