gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
AKAP9	1822.867	AKAP9	4135.8154
AKD1	219.5756	AKD1	162.0346
AKIRIN1	1437.4188	AKIRIN1	1210.8023
AKIRIN2	590.2988	AKIRIN2	640.2727
AKNA	881.3339	AKNA	1044.0482
AKR1A1	4165.0065	AKR1A1	1405.3487
AKR1B10	375.0541	removed	removed
AKR1B15	209.1815	removed	removed
AKR1B1	601.9922	AKR1B1	724.6985
AKR1C1	343.4994	AKR1C1	664.3943
AKR1C2	1666.0892	AKR1C2	1100.6817
AKR1C3	595.0628	AKR1C3	716.8327
AKR1E2	54.5084	AKR1E2	20.9754
AKR7A2	893.8935	AKR7A2	845.8311
AKR7A3	8.2287	AKR7A3	120.6083
removed	removed	AKR7L	27.7923
AKT1S1	1300.1299	AKT1S1	758.259
AKT1	5944.5647	AKT1	3315.6791
AKT2	2045.9073	AKT2	2892.5013
AKT3	942.3993	AKT3	1355.0079
AKTIP	729.476	AKTIP	537.0739
ALAD	805.1104	ALAD	1850.0262
ALAS1	681.2473	ALAS1	807.5511
ALB	16.4573	ALB	917.6717
ALCAM	4121.2646	ALCAM	3420.5558
ALDH16A1	608.4885	ALDH16A1	543.2617
ALDH18A1	3419.6622	ALDH18A1	1642.8946
ALDH1A1	516.2408	ALDH1A1	1759.3078
ALDH1A2	95.2793	ALDH1A2	604.6146
ALDH1A3	1237.094	ALDH1A3	1820.5663
ALDH1B1	1237.3322	ALDH1B1	657.5773
ALDH1L1	7.3625	ALDH1L1	584.688
ALDH1L2	1356.8644	ALDH1L2	364.9712
ALDH2	2059.333	ALDH2	4797.5878
removed	removed	ALDH3A1	45.6214
ALDH3A2	592.8974	ALDH3A2	2754.064
ALDH3B1	139.0212	ALDH3B1	144.2056
ALDH3B2	1083.586	ALDH3B2	1245.936
ALDH4A1	780.4244	ALDH4A1	846.8799
ALDH5A1	451.7107	ALDH5A1	627.6875
ALDH6A1	377.0767	ALDH6A1	643.7756
ALDH7A1	2140.3205	ALDH7A1	2948.086
removed	removed	ALDH8A1	7.8658
ALDH9A1	2799.4803	ALDH9A1	3013.1096
ALDOA	18095.7124	ALDOA	11267.9601
ALDOC	380.6843	ALDOC	1011.0121
ALG10B	137.722	ALG10B	416.8852
ALG10	118.233	ALG10	160.9858
ALG11	22.0875	ALG11	18.8778
ALG12	785.1884	ALG12	467.226
ALG13	417.0637	ALG13	544.8348
ALG14	184.9285	ALG14	145.2543
ALG1L	6.9727	ALG1L	7.1316
ALG1	709.2941	ALG1	369.0351
ALG2	756.6046	ALG2	751.9664
ALG3	613.6856	ALG3	421.0802
ALG5	489.8224	ALG5	478.7625
ALG6	338.2417	ALG6	266.387
ALG8	1021.6544	ALG8	611.956
ALG9	616.2841	ALG9	586.2611
ALKBH1	302.2954	ALKBH1	217.0949
ALKBH2	213.0793	ALKBH2	236.4971
ALKBH3	243.3954	ALKBH3	317.2522
ALKBH4	195.3313	ALKBH4	239.3078
ALKBH5	2281.0741	ALKBH5	1778.5579
ALKBH6	34.647	ALKBH6	63.4504
ALKBH7	284.9718	ALKBH7	393.8123
ALKBH8	270.6799	ALKBH8	339.2764
removed	removed	ALK	6.817
removed	removed	ALMS1P	5.7682
ALMS1	922.4773	ALMS1	1083.9014
removed	removed	ALOX12P2	45.6214
removed	removed	ALOX12	9.5123
ALOX15B	82.2867	ALOX15B	302.0451
ALOX15	67.1286	ALOX15	88.6209
ALOX5AP	364.2269	ALOX5AP	170.9491
ALOX5	265.0498	ALOX5	321.4473
removed	removed	ALOXE3	11.0121
ALPK1	432.6548	ALPK1	900.8915
ALPK2	35.0801	ALPK2	21.4997
ALPK3	251.6241	ALPK3	601.4683
ALPL	478.1291	ALPL	1130.5716
