gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
SLMO2	1514.5084	SLMO2	1057.1578
SLPI	370.7233	SLPI	1041.9507
SLTM	1960.1559	SLTM	2103.828
SLU7	945.4309	SLU7	1438.3849
SLURP1	17.3235	removed	removed
SMAD1	1291.0351	SMAD1	910.8547
SMAD2	2297.9645	SMAD2	2181.4368
SMAD3	935.903	SMAD3	1949.6592
SMAD4	1634.4695	SMAD4	2221.3529
SMAD5	1782.5899	SMAD5	2306.2402
SMAD6	174.5344	SMAD6	122.1814
SMAD7	980.078	SMAD7	827.4777
SMAD9	64.9632	SMAD9	115.3644
SMAGP	414.032	SMAGP	222.3388
SMAP1	705.0065	SMAP1	597.7451
SMAP2	1198.3543	SMAP2	888.3062
SMARCA1	688.6098	SMARCA1	1157.3152
SMARCA2	2174.5344	SMARCA2	4959.6224
SMARCA4	2653.5297	SMARCA4	2220.7656
SMARCA5	3866.8255	SMARCA5	2572.1028
SMARCAD1	1448.246	SMARCAD1	1181.9612
SMARCAL1	565.6128	SMARCAL1	560.5663
SMARCB1	2174.1013	SMARCB1	1287.3623
SMARCC1	5401.4725	SMARCC1	3369.1662
SMARCC2	1670.8532	SMARCC2	3519.14
SMARCD1	1050.2382	SMARCD1	1349.2396
SMARCD2	2990.9052	SMARCD2	1893.0257
SMARCD3	248.5925	SMARCD3	558.9932
SMARCE1	2058.9	SMARCE1	2819.612
SMC1A	3671.2863	SMC1A	3224.4363
SMC1B	21.6544	SMC1B	8.3901
SMC2	897.3582	SMC2	672.7845
SMC3	2137.722	SMC3	1934.452
SMC4	1910.3508	SMC4	810.173
SMC5	802.5119	SMC5	1205.0341
SMC6	974.4478	SMC6	632.9313
SMCHD1	1914.6817	SMCHD1	1987.4148
SMCR7L	1702.4686	SMCR7L	1273.7284
SMCR7	310.9571	SMCR7	396.9586
SMCR8	2205.5219	SMCR8	1891.526
SMEK1	2353.3997	SMEK1	1948.6104
SMEK2	2810.3075	SMEK2	2175.6686
SMG1	4263.3175	SMG1	5379.1295
SMG5	2604.5907	SMG5	2102.2549
SMG6	2085.3183	SMG6	1751.4421
SMG7	3057.6007	SMG7	1979.0246
SMN2	725.8857	SMN2	965.8364
SMNDC1	987.0074	SMNDC1	500.7866
SMOC1	38.1117	SMOC1	136.8642
SMOC2	1268.9476	SMOC2	2673.3089
SMOX	362.9277	SMOX	160.4615
SMO	737.9818	SMO	549.5543
SMPD1	497.618	SMPD1	551.6518
SMPD2	187.094	SMPD2	136.3398
SMPD3	119.9654	SMPD3	248.0336
SMPD4	1764.8333	SMPD4	1634.5045
SMPDL3A	178.8653	SMPDL3A	303.0939
SMPDL3B	696.8385	SMPDL3B	205.5585
removed	removed	SMR3B	20.451
SMS	2148.9822	SMS	1059.2554
SMTNL2	12.1265	SMTNL2	12.5852
SMTN	1408.4019	SMTN	1340.8495
SMU1	1417.4968	SMU1	1719.4546
SMUG1	245.1278	SMUG1	306.2402
SMURF1	1008.8653	SMURF1	1017.3519
SMURF2	679.0819	SMURF2	686.4185
SMYD1	13.4257	SMYD1	451.4945
SMYD2	879.6016	SMYD2	601.4683
SMYD3	207.4491	SMYD3	153.6445
SMYD4	258.9866	SMYD4	513.8962
SMYD5	608.0554	SMYD5	674.3576
SNAI1	193.5903	SNAI1	105.4012
SNAI2	619.7488	SNAI2	796.0147
SNAI3	28.5838	SNAI3	20.9754
SNAP23	1448.6791	SNAP23	1332.4594
SNAP25	22.5206	SNAP25	18.8778
SNAP29	1110.0043	SNAP29	1023.0729
SNAP47	868.4236	SNAP47	636.4185
SNAP91	11.2603	removed	removed
SNAPC1	189.2594	SNAPC1	206.6072
SNAPC2	283.6726	SNAPC2	344.5202
SNAPC3	462.971	SNAPC3	478.2381
SNAPC4	453.01	SNAPC4	379.1295
SNAPC5	111.6804	SNAPC5	100.6712
SNAPIN	533.9974	SNAPIN	471.9455
SNCAIP	217.8432	SNCAIP	161.5102
SNCA	75.7904	SNCA	188.2538
SNCG	219.1425	SNCG	638.1751
SND1	6638.3716	SND1	3905.0865
SNED1	1104.8073	SNED1	1339.8007
SNF8	436.9857	SNF8	576.2979
SNHG10	60.1992	SNHG10	73.4137
SNHG11	73.4041	SNHG11	127.0844
SNHG12	148.5881	SNHG12	209.4074
SNHG1	482.893	SNHG1	527.5302
SNHG3-RCC1	228.5968	SNHG3-RCC1	260.6712
SNHG3	77.9558	SNHG3	46.6702
removed	removed	SNHG4	13.4242
SNHG5	592.8974	SNHG5	943.8909
SNHG6	1250.7579	SNHG6	553.7493
SNHG7	443.8112	SNHG7	659.8322
SNHG8	687.3105	SNHG8	766.1248
SNHG9	61.9316	SNHG9	26.2192
SNIP1	433.521	SNIP1	552.1762
SNN	1271.113	SNN	1478.2381
SNORA8	279.2464	SNORA8	284.6775
SNORD116-20	7.7956	SNORD116-20	39.3288
SNORD116-28	29.9654	SNORD116-28	87.1998
SNORD116-4	29.6362	SNORD116-4	134.8663
SNORD1C	20.6626	SNORD1C	12.1814
SNPH	126.8948	SNPH	152.5957
SNRK	1422.6938	SNRK	1779.2344
SNRNP200	7644.8679	SNRNP200	8133.7179
SNRNP25	324.3828	SNRNP25	253.8018
SNRNP27	461.6717	SNRNP27	464.6041
SNRNP35	272.4513	SNRNP35	338.4583
SNRNP40	1005.6301	SNRNP40	672.2601
SNRNP48	278.0424	SNRNP48	448.3482
SNRNP70	1733.6509	SNRNP70	3663.87
SNRPA1	786.9207	SNRPA1	226.0094
SNRPA	877.8692	SNRPA	875.1966
SNRPB2	988.3066	SNRPB2	653.3823
SNRPB	2210.9138	SNRPB	1367.0687
SNRPC	1301.8623	SNRPC	712.1133
SNRPD1	814.6384	SNRPD1	498.689
SNRPD2	1992.2044	SNRPD2	1647.6141
SNRPD3	2127.7133	SNRPD3	1299.8899
SNRPE	1237.3322	SNRPE	573.1515
SNRPF	754.4392	SNRPF	415.312
SNRPG	691.6414	SNRPG	328.7887
SNRPN	1381.3339	SNRPN	1620.6869
SNTA1	177.566	SNTA1	379.6539
SNTB1	496.3188	SNTB1	450.9701
SNTB2	931.139	SNTB2	992.1342
removed	removed	SNTG2	9.9633
SNUPN	434.8203	SNUPN	400.1049
SNURF	67.2152	SNURF	98.7572
SNW1	1650.4981	SNW1	1382.2758
SNX10	250.7579	SNX10	260.6188
SNX11	340.8402	SNX11	495.5427
SNX12	394.5431	SNX12	321.9717
SNX13	1017.3235	SNX13	1366.5443
SNX14	1349.0689	SNX14	1137.913
SNX15	347.7696	SNX15	615.6266
SNX16	406.6696	SNX16	307.8133
SNX17	1736.6825	SNX17	2113.7913
SNX18	1029.8831	SNX18	1157.8395
SNX19	2271.5461	SNX19	2226.5338
SNX1	2440.8835	SNX1	4725.2229
SNX20	84.3179	SNX20	40.9019
SNX21	289.6925	SNX21	609.7902
SNX22	228.3889	SNX22	198.2853
SNX24	95.7124	SNX24	123.7546
SNX25	273.7116	SNX25	436.8117
SNX27	1114.0667	SNX27	987.3886
SNX29	873.1052	SNX29	1009.9633
SNX2	1229.9697	SNX2	1431.0435
SNX30	1189.6925	SNX30	952.2811
removed	removed	SNX32	8.9145
SNX33	922.4773	SNX33	1188.7782
SNX3	2802.5119	SNX3	2537.4934
SNX4	724.123	SNX4	801.7829
SNX5	1877.4361	SNX5	1727.3204
SNX6	1676.9164	SNX6	1124.279
SNX7	347.3365	SNX7	403.2512
SNX8	321.3512	SNX8	288.9355
SNX9	1992.2044	SNX9	2160.9858
SOAT1	626.6782	SOAT1	525.957
SOBP	119.5323	SOBP	282.1185
SOCS1	67.5617	SOCS1	35.6581
SOCS2	197.4881	SOCS2	587.8343
SOCS3	1505.4136	SOCS3	1462.5066
SOCS4	846.2538	SOCS4	673.8332
SOCS5	1098.311	SOCS5	1316.7278
SOCS6	983.5427	SOCS6	1094.3891
SOCS7	101.3426	SOCS7	210.2779
SOD1	3760.5024	SOD1	2264.2895
SOD2	4868.7744	SOD2	4073.4137
SOD3	876.1369	SOD3	921.8668
SOHLH2	17.7436	SOHLH2	25.1127
SOLH	599.8268	SOLH	636.0776
SON	9926.3751	SON	10051.3896
SORBS1	1007.3625	SORBS1	6463.0309
SORBS2	873.5383	SORBS2	1791.2952
SORBS3	981.8103	SORBS3	2430.5191
SORCS1	13.4257	SORCS1	132.6691
SORCS2	388.4799	SORCS2	216.0461
SORD	1173.2352	SORD	386.4709
SORL1	2261.5851	SORL1	3875.721
SORT1	3865.3097	SORT1	2921.8668
SOS1	1725.8553	SOS1	2103.828
SOS2	1591.165	SOS2	1581.0173
SOSTDC1	40.7103	SOSTDC1	366.5443
SOX10	216.977	SOX10	2333.5081
SOX11	1699.0039	SOX11	35.6581
SOX12	682.5466	SOX12	404.2999
SOX13	1761.8016	SOX13	1137.3886
SOX15	16.0243	SOX15	56.1091
SOX17	106.1065	SOX17	127.9497
SOX18	252.4903	SOX18	508.1279
SOX30	6.4963	SOX30	6.2926
SOX4	7905.1537	SOX4	3356.0566
SOX5	29.8831	SOX5	101.2061
SOX6	48.9389	SOX6	51.3896
SOX7	213.5123	SOX7	405.8731
SOX8	11.6934	SOX8	54.5359
SOX9	2027.7176	SOX9	2472.9942
SP100	1119.5323	SP100	1502.3597
SP110	514.5084	SP110	557.42
SP140L	173.6683	SP140L	270.0577
SP140	125.5955	SP140	39.8532
SP1	3093.547	SP1	4627.1631
SP2	434.8203	SP2	920.2937
SP3	2685.1451	SP3	2739.9056
SP4	348.6358	SP4	469.8479
removed	removed	SP5	7.3414
SP6	1119.5323	SP6	194.022
SPA17	109.1382	SPA17	113.7913
SPAG16	110.4374	SPAG16	249.0823
removed	removed	SPAG17	13.1096
SPAG1	159.8094	SPAG1	155.2176
SPAG4	13.8588	SPAG4	22.0241
SPAG5	644.0017	SPAG5	78.6576
removed	removed	SPAG6	11.5364
SPAG7	763.1009	SPAG7	659.1505
removed	removed	SPAG8	22.0241
SPAG9	1587.2672	SPAG9	2628.7362
SPARCL1	10596.7951	SPARCL1	17007.3414
SPARC	69660.4591	SPARC	28687.4672
SPAST	586.401	SPAST	558.9932
SPATA13	649.1641	SPATA13	1054.0115
SPATA17	26.8515	SPATA17	22.5485
SPATA18	134.6903	SPATA18	424.2265
SPATA20	521.4379	SPATA20	1231.2533
SPATA24	17.3235	SPATA24	44.0482
SPATA2L	211.78	SPATA2L	230.2045
SPATA2	342.1395	SPATA2	463.0309
removed	removed	SPATA4	5.2438
SPATA5L1	297.0983	SPATA5L1	208.1804
SPATA5	274.5777	SPATA5	263.2407
SPATA6	118.6661	SPATA6	203.4609
SPATA7	211.3469	SPATA7	206.6072
removed	removed	SPATA9	7.3414
SPATS2L	1555.6518	SPATS2L	1402.2024
SPATS2	677.7826	SPATS2	422.129
SPC24	19.0559	removed	removed
SPC25	139.0212	SPC25	9.9633
SPCS1	1275.4439	SPCS1	1321.4473
SPCS2	776.5266	SPCS2	423.1778
SPCS3	4421.8276	SPCS3	2292.0818
SPDEF	2717.6267	SPDEF	1924.4887
SPDYA	5.0671	SPDYA	9.7011
SPDYE1	9.5279	SPDYE1	13.1096
SPDYE3	75.9376	SPDYE3	81.7724
SPDYE5	5.1971	SPDYE5	8.3901
SPDYE6	23.8198	SPDYE6	19.4022
removed	removed	SPDYE7P	6.817
SPDYE8P	16.4573	SPDYE8P	29.3655
SPEF1	5.6301	SPEF1	6.817
SPEF2	190.9918	SPEF2	337.1788
SPEG	465.5695	SPEG	749.8689
SPEN	3576.0069	SPEN	4286.838
SPESP1	27.7133	SPESP1	41.9402
SPG11	1938.5015	SPG11	2405.3487
SPG20	734.084	SPG20	1530.1521
SPG21	2508.4452	SPG21	1278.4478
SPG7	933.7375	SPG7	1269.5333
SPHAR	71.4725	SPHAR	70.7341
SPHK1	561.6587	SPHK1	365.9937
SPHK2	157.644	SPHK2	291.1904
removed	removed	SPHKAP	80.2307
SPI1	324.3828	SPI1	181.9612
SPIB	97.8779	SPIB	19.9266
SPIN1	3090.0823	SPIN1	3756.6859
SPIN2B	153.9151	SPIN2B	83.1253
SPIN3	266.3491	SPIN3	388.5684
SPIN4	271.9792	SPIN4	232.8264
SPINK2	5.1971	removed	removed
removed	removed	SPINK5	25.1704
SPINK8	101.3426	SPINK8	11.0121
SPINT1	5627.1113	SPINT1	2259.0456
SPINT2	7962.3214	SPINT2	5347.6665
SPIRE1	402.7718	SPIRE1	674.882
SPIRE2	80.9874	SPIRE2	83.377
SPNS1	798.5925	SPNS1	568.4478
SPNS2	1114.5128	SPNS2	877.4253
SPNS3	11.6934	SPNS3	9.9633
SPN	406.2365	SPN	228.107
SPOCD1	141.1867	SPOCD1	33.0362
SPOCK1	2447.8129	SPOCK1	386.9953
SPOCK2	1053.2698	SPOCK2	447.2994
removed	removed	SPOCK3	16.2559
SPON1	2036.3794	SPON1	2204.5097
SPON2	880.9008	SPON2	1150.4982
SPOPL	1116.9337	SPOPL	1753.5396
SPOP	795.5825	SPOP	1174.6198
SPP1	1912.0832	SPP1	499.7378
SPPL2A	1280.641	SPPL2A	624.0168
SPPL2B	439.1511	SPPL2B	769.7955
SPPL3	988.7397	SPPL3	1358.6786
SPRED1	1513.6423	SPRED1	1409.0194
SPRED2	2153.3131	SPRED2	1628.7362
SPRED3	5.6301	removed	removed
SPRN	55.8683	SPRN	83.377
SPRY1	1495.4526	SPRY1	1986.366
SPRY2	399.7401	SPRY2	1570.0052
SPRY3	82.7198	SPRY3	98.5842
SPRY4	1941.9662	SPRY4	924.4887
SPRYD3	1041.5764	SPRYD3	1509.7011
SPRYD4	274.5777	SPRYD4	260.6188
SPR	530.0996	SPR	494.494
SPSB1	1471.1997	SPSB1	469.3235
SPSB2	87.0507	SPSB2	98.0598
SPSB3	441.7497	SPSB3	745.6738
SPSB4	6.9294	removed	removed
SPTAN1	8421.3945	SPTAN1	9277.3991
SPTBN1	6498.9173	SPTBN1	17262.7163
SPTBN2	2093.1139	SPTBN2	880.9649
SPTBN4	9.0948	SPTBN4	68.6943
SPTBN5	54.8939	SPTBN5	329.8007
SPTB	77.5227	SPTB	216.0461
SPTLC1	1517.9731	SPTLC1	1599.8951
SPTLC2	7300.563	SPTLC2	2217.0949
SPTLC3	249.8917	SPTLC3	305.1914
SPTY2D1	1252.5119	SPTY2D1	1269.979
SQLE	11089.2161	SQLE	606.1877
SQRDL	2646.1672	SQRDL	949.1348
SQSTM1	13242.434	SQSTM1	5622.323
SR140	1860.5457	SR140	2636.602
SRA1	401.9056	SRA1	393.2879
SRBD1	597.6613	SRBD1	513.3718
SRCAP	4613.2525	SRCAP	4876.2454
SRCIN1	522.304	SRCIN1	304.667
SRCRB4D	11.3339	SRCRB4D	31.5155
SRC	1044.175	SRC	938.1227
SRD5A1	320.4851	SRD5A1	162.559
SRD5A2	9.5279	removed	removed
SRD5A3	1179.7055	SRD5A3	300.9229
SREBF1	3137.722	SREBF1	3926.0619
SREBF2	6472.932	SREBF2	3955.9518
SRFBP1	320.4851	SRFBP1	305.7158
SRF	1794.2832	SRF	2106.9743
SRGAP1	552.6202	SRGAP1	575.2491
SRGAP2	1068.861	SRGAP2	738.3325
SRGAP3	93.547	SRGAP3	436.2874
SRGN	905.1537	SRGN	737.8081
SRI	1110.8705	SRI	1245.4116
SRL	21.6544	SRL	42.9995
removed	removed	SRMS	7.3414
SRM	1473.7982	SRM	883.0624
SRP14	4128.6271	SRP14	3135.291
SRP19	713.1052	SRP19	465.2543
SRP54	1945.864	SRP54	1004.1951
SRP68	1970.9831	SRP68	1763.5029
SRP72	6402.7718	SRP72	2550.603
SRP9	5348.2027	SRP9	2610.9072
SRPK1	3192.291	SRPK1	809.1243
SRPK2	884.3655	SRPK2	1257.4725
SRPK3	81.6674	SRPK3	13.5868
SRPRB	1964.4868	SRPRB	979.549
SRPR	5284.1057	SRPR	3239.6434
SRPX2	697.7046	SRPX2	192.4489
SRPX	397.1416	SRPX	1302.5695
SRRD	379.8181	SRRD	248.0336
SRRM1	2597.6613	SRRM1	2123.7546
SRRM2	11936.7692	SRRM2	20954.3786
SRRM3	37.6786	SRRM3	91.2428
SRRM5	12.7025	SRRM5	26.8432
SRRT	1469.4673	SRRT	1691.1379
SRR	313.3434	SRR	308.0283
SRXN1	1423.1269	SRXN1	601.9927
SS18L1	450.4114	SS18L1	575.2491
SS18L2	232.5682	SS18L2	217.0949
SS18	1802.945	SS18	2012.5852
SSBP1	1103.508	SSBP1	662.2968
SSBP2	334.3439	SSBP2	720.5034
SSBP3	770.4634	SSBP3	780.8076
SSBP4	317.4534	SSBP4	480.3356
SSB	2321.5548	SSB	1580.7708
SSC5D	421.3945	SSC5D	340.3251
SSFA2	1913.8155	SSFA2	2782.3807
SSH1	1325.6821	SSH1	1516.5181
SSH2	775.2274	SSH2	699.0037
SSH3	520.1386	SSH3	1051.914
SSNA1	611.5201	SSNA1	539.591
SSPN	1099.6102	SSPN	1746.1982
SSPO	8.6618	SSPO	89.1453
SSR1	9121.6977	SSR1	3519.6644
SSR2	8436.9857	SSR2	3817.5144
SSR3	5488.5232	SSR3	3418.9827
SSR4	2334.777	SSR4	1371.7881
SSRP1	4168.9043	SSRP1	3160.9858
SSSCA1	259.8528	SSSCA1	260.6188
SSTR1	8.6618	SSTR1	74.9869
SSTR2	74.9242	SSTR2	67.6455
SSU72	2471.6327	SSU72	1754.5884
SSX2IP	598.5275	SSX2IP	447.2994
ST13	6139.0212	ST13	5799.6854
ST14	3895.1927	ST14	2112.7425
ST18	5.1971	removed	removed
ST20	32.0702	ST20	30.2727
ST3GAL1	1806.8428	ST3GAL1	1281.0697
ST3GAL2	582.0702	ST3GAL2	496.0671
ST3GAL3	139.8874	ST3GAL3	309.9109
ST3GAL4	962.3214	ST3GAL4	240.1678
ST3GAL5	194.8896	ST3GAL5	273.7284
ST3GAL6	84.4521	ST3GAL6	120.0839
ST5	1779.1252	ST5	2518.6156
ST6GAL1	3210.0476	ST6GAL1	1850.5506
ST6GAL2	490.6886	ST6GAL2	180.9124
ST6GALNAC1	23.3867	ST6GALNAC1	47.7189
ST6GALNAC2	231.702	ST6GALNAC2	850.5506
ST6GALNAC3	63.6639	ST6GALNAC3	116.9376
ST6GALNAC4	164.1403	ST6GALNAC4	224.4363
ST6GALNAC5	200.5197	ST6GALNAC5	106.9743
ST6GALNAC6	762.2347	ST6GALNAC6	1536.4447
ST7L	321.3512	ST7L	366.0199
ST7OT1	38.6271	ST7OT1	49.0666
ST7	449.463	ST7	480.4929
ST8SIA1	263.3175	ST8SIA1	191.4001
ST8SIA2	90.5154	ST8SIA2	198.2171
ST8SIA4	521.0048	ST8SIA4	213.9486
ST8SIA6	10.8272	ST8SIA6	142.108
STAB1	939.3677	STAB1	1572.5433
STAB2	15.1581	STAB2	18.8778
STAC2	2457.7739	STAC2	2764.5517
STAC3	25.1191	STAC3	13.1987
STAC	27.2845	STAC	93.3403
STAG1	1276.7085	STAG1	1531.2795
STAG2	2320.052	STAG2	3585.2124
STAG3L1	50.6713	STAG3L1	236.4971
STAG3L2	80.5544	STAG3L2	132.1447
STAG3L3	84.0191	STAG3L3	231.678
STAG3L4	49.8051	STAG3L4	104.8768
STAG3	24.1923	STAG3	35.6162
STAM2	1009.5279	STAM2	1240.6922
STAMBPL1	85.3183	STAMBPL1	93.8647
STAMBP	607.1893	STAMBP	523.8595
STAM	629.7098	STAM	526.4814
STAP1	17.7566	removed	removed
STAP2	429.1901	STAP2	380.7027
STARD10	1126.8948	STARD10	1410.5926
STARD13	802.5119	STARD13	959.0981
STARD3NL	476.8298	STARD3NL	446.2507
STARD3	7193.5903	STARD3	756.6859
STARD4	120.8315	STARD4	71.3162
STARD5	102.6418	STARD5	93.3403
STARD7	3972.2434	STARD7	2742.4122
STARD8	385.0152	STARD8	404.8243
STAR	7.3625	STAR	13.1096
STAT1	4646.1672	STAT1	2858.4164
STAT2	1959.2897	STAT2	2266.9114
STAT3	4868.7744	STAT3	7250.6555
STAT4	120.8315	STAT4	101.7305
STAT5A	657.8605	STAT5A	2269.5333
STAT5B	1297.0983	STAT5B	3535.3959
STAT6	2637.0723	STAT6	4065.0236
STAU1	3546.1239	STAU1	2495.5427
STAU2	1343.8718	STAU2	733.613
STBD1	347.8779	STBD1	1222.9733
STC1	667.3885	STC1	585.7368
STC2	1187.094	STC2	9417.4095
STEAP1	210.0476	STEAP1	174.6198
STEAP2	490.2555	STEAP2	647.0897
STEAP3	2064.9632	STEAP3	1002.6219
STEAP4	1773.9281	STEAP4	2299.9476
STIL	526.2018	STIL	88.6209
STIM1	1178.4322	STIM1	2022.0241
STIM2	504.5474	STIM2	867.3309
STIP1	4419.6622	STIP1	2063.9748
STK10	1390.2122	STK10	804.9292
STK11IP	375.4872	STK11IP	404.2999
STK11	619.3157	STK11	871.0016
STK16	522.7371	STK16	476.1405
STK17A	870.5067	STK17A	828.5265
STK17B	1530.9658	STK17B	970.1101
STK19	339.9697	STK19	288.1961
STK24	1877.4361	STK24	2434.1898
STK25	1501.0827	STK25	1457.7871
removed	removed	STK32A	11.5364
STK32B	58.4669	STK32B	352.3859
STK32C	196.7172	STK32C	122.1814
STK35	1590.2988	STK35	1087.0477
STK36	283.2395	STK36	583.1148
STK38L	2310.9571	STK38L	917.6717
STK38	1784.7553	STK38	1112.2181
STK39	278.4755	STK39	493.4452
STK3	1082.2867	STK3	562.1395
STK40	1351.6674	STK40	1445.7263
STK4	1069.7272	STK4	996.8537
STL	6.5353	STL	10.6345
STMN1	4950.1949	STMN1	977.9759
STMN2	159.3764	STMN2	52.4384
STMN3	496.3188	STMN3	954.3786
removed	removed	STMN4	6.2926
STOML1	214.3785	STOML1	205.0341
STOML2	1265.916	STOML2	1079.7063
STOM	4150.2815	STOM	6056.1091
STON1-GTF2A1L	7.2586	STON1-GTF2A1L	17.8762
STON1	566.3361	STON1	539.5438
STON2	121.2646	STON2	349.764
STOX1	47.6397	STOX1	162.559
STOX2	58.0338	STOX2	125.3277
STRA13	581.204	STRA13	273.204
STRA6	362.4946	STRA6	101.2061
STRADA	390.6453	STRADA	507.6036
STRADB	254.2226	STRADB	315.6791
STRAP	2302.7285	STRAP	1829.5752
STRBP	830.2295	STRBP	676.4552
removed	removed	STRC	54.0378
STRN3	897.7913	STRN3	683.7965
STRN4	1501.0827	STRN4	1424.2265
STRN	625.812	STRN	691.6623
STS	849.2854	STS	646.5653
STT3A	6457.7739	STT3A	3214.9974
STT3B	3427.0247	STT3B	1920.818
STUB1	1157.3235	STUB1	976.5024
STX10	249.0256	STX10	261.1432
STX11	71.4595	STX11	158.8883
STX12	1374.621	STX12	1463.0309
STX16	1011.2603	STX16	2163.6078
STX17	895.6258	STX17	1306.2402
STX18	391.5115	STX18	429.4704
STX19	5.6301	STX19	26.2192
STX1A	74.9199	STX1A	64.9502
STX1B	29.0169	STX1B	112.2181
STX2	267.2152	STX2	262.7163
STX3	1226.9381	STX3	781.3319
STX4	627.9775	STX4	610.3828
STX5	996.5353	STX5	1017.8291
STX6	1964.1187	STX6	869.0981
STX7	1316.1542	STX7	1438.9093
STX8	212.6462	STX8	270.0577
STXBP1	691.6414	STXBP1	1124.8034
STXBP2	498.4842	STXBP2	867.8553
STXBP3	808.5751	STXBP3	924.4887
STXBP4	202.6851	STXBP4	203.4609
STXBP5	600.1819	STXBP5	539.6906
STXBP6	6.0632	STXBP6	32.5118
STYK1	52.8367	STYK1	120.6083
STYXL1	384.149	STYXL1	337.1788
STYX	1020.7882	STYX	489.7745
SUB1	6792.984	SUB1	3069.7431
SUCLA2	651.8493	SUCLA2	848.9093
SUCLG1	998.7007	SUCLG1	1524.9082
SUCLG2	1375.9203	SUCLG2	1195.0708
SUCNR1	13.8588	SUCNR1	17.8291
SUDS3	844.0883	SUDS3	1486.6282
SUFU	1038.9779	SUFU	825.9046
SUGT1L1	19.2811	SUGT1L1	58.0178
removed	removed	SUGT1P1	13.634
SUGT1	476.8298	SUGT1	442.0556
SULF1	16346.9034	SULF1	1493.9696
SULF2	4410.1343	SULF2	2677.5039
SULT1A1	110.0043	SULT1A1	250.1311
SULT1A2	17.7566	SULT1A2	30.4143
SULT1A3	320.7709	SULT1A3	682.2234
SULT1B1	5.6301	removed	removed
SULT1C4	52.4036	SULT1C4	102.7792
SULT2B1	168.0381	SULT2B1	145.2543
SULT4A1	7.7956	removed	removed
SUMF1	643.5686	SUMF1	808.0755
SUMF2	3324.8159	SUMF2	1970.1101
SUMO1P3	125.1624	SUMO1P3	98.5842
SUMO1	1925.5089	SUMO1	1431.0435
SUMO2	2869.2074	SUMO2	2239.6434
SUMO3	2992.2044	SUMO3	1702.15
SUN1	1847.12	SUN1	3621.5312
SUN2	6054.5691	SUN2	6400.1049
SUOX	407.1026	SUOX	775.0393
SUPT16H	4899.5236	SUPT16H	3317.2522
SUPT3H	74.4911	SUPT3H	122.1814
SUPT4H1	863.4387	SUPT4H1	937.9339
SUPT5H	2796.4487	SUPT5H	2793.9171
SUPT6H	3139.4543	SUPT6H	3373.3613
SUPT7L	621.0481	SUPT7L	1103.3036
SUPV3L1	662.6245	SUPV3L1	549.0299
SURF1	561.715	SURF1	535.3959
SURF2	229.9697	SURF2	165.1809
SURF4	7593.7635	SURF4	4255.3749
SURF6	891.2949	SURF6	781.8563
SUSD1	271.113	SUSD1	225.4851
SUSD2	3912.0832	SUSD2	519.14
SUSD3	81.4205	SUSD3	489.7745
SUSD4	72.3257	SUSD4	224.9607
SUSD5	207.8822	SUSD5	31.463
SUV39H1	326.1152	SUV39H1	218.1437
SUV39H2	371.5894	SUV39H2	168.8516
SUV420H1	1608.4885	SUV420H1	1759.3078
SUV420H2	105.2404	SUV420H2	160.4615
SUZ12P	122.997	SUZ12P	182.4856
SUZ12	1255.0888	SUZ12	934.9764
SV2A	217.8432	SV2A	230.2045
SV2B	87.0507	SV2B	193.4976
SVEP1	981.1823	SVEP1	3092.8369
SVIL	3110.4461	SVIL	3858.6786
SVIP	224.3395	SVIP	281.0697
removed	removed	SVOPL	5.2438
SWAP70	2631.4422	SWAP70	2334.0325
SYAP1	1602.8584	SYAP1	871.526
SYBU	385.0152	SYBU	753.0152
SYCE1L	33.7809	SYCE1L	6.817
removed	removed	SYCP2L	6.3031
SYCP2	219.5756	SYCP2	463.0309
SYDE1	432.2217	SYDE1	535.9203
SYDE2	398.874	SYDE2	326.1668
SYF2	867.9082	SYF2	972.2077
SYK	535.7298	SYK	619.2973
removed	removed	SYMPK	1739.9056
SYN1	16.4573	SYN1	6.2926
SYN2	48.9389	SYN2	273.204
SYN3	6.4963	SYN3	7.8658
SYNCRIP	6461.2386	SYNCRIP	4679.6015
SYNC	150.4504	SYNC	154.8296
SYNE1	1666.5223	SYNE1	2857.892
SYNE2	5271.9792	SYNE2	7702.15
SYNGAP1	263.3175	SYNGAP1	684.3209
SYNGR1	578.5102	SYNGR1	941.4473
SYNGR2	3777.3928	SYNGR2	2422.129
SYNGR3	14.725	SYNGR3	7.3414
SYNJ1	453.8761	SYNJ1	477.1893
SYNJ2BP	955.825	SYNJ2BP	1454.1164
SYNJ2	816.8038	SYNJ2	957.0005
SYNM	917.7133	SYNM	6393.2879
removed	removed	SYNPO2L	6.2926
SYNPO2	1625.379	SYNPO2	4334.5569
SYNPO	2590.2988	SYNPO	3918.7205
SYNRG	1433.521	SYNRG	1430.5191
SYPL1	2611.5201	SYPL1	2624.0168
SYPL2	36.3794	SYPL2	32.5118
SYP	22.0875	SYP	55.0603
removed	removed	SYS1-DBNDD2	34.8348
SYS1	639.9913	SYS1	973.0257
SYT11	673.4517	SYT11	385.9465
SYT12	2637.9385	SYT12	921.8668
SYT13	370.2902	SYT13	22.5485
SYT15	140.7536	SYT15	269.5333
SYT16	10.8272	removed	removed
SYT17	323.9498	SYT17	93.8647
