gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
ALG1	1159.6525	ALG1	679.6697
ALG2	760.1069	ALG2	892.7406
ALG3	851.6539	ALG3	888.2545
ALG5	991.6472	ALG5	761.4192
ALG6	371.8677	ALG6	214.1109
ALG8	602.4056	ALG8	628.0587
ALG9	381.2229	ALG9	487.7651
ALKBH1	459.0712	ALKBH1	230.4241
ALKBH2	303.0404	ALKBH2	534.2577
ALKBH3	379.2182	ALKBH3	512.2349
ALKBH4	359.7093	ALKBH4	433.3687
ALKBH5	2865.6198	ALKBH5	2732.8344
ALKBH6	301.704	ALKBH6	171.2887
ALKBH7	1339.4587	ALKBH7	1794.8613
ALKBH8	271.6338	ALKBH8	130.5057
removed	removed	ALK	22.4307
ALMS1	501.8376	ALMS1	330.7504
removed	removed	ALOX12P2	39.5595
ALOX15B	68.4932	ALOX15B	415.5791
ALOX15	121.6171	ALOX15	30.9951
ALOX5AP	50.4511	ALOX5AP	471.8597
ALOX5	122.2853	ALOX5	1525.2855
ALOXE3	18.7103	ALOXE3	22.4307
ALPK1	170.7317	ALPK1	499.5922
removed	removed	ALPK2	33.4421
ALPK3	165.3859	ALPK3	225.5302
ALPL	617.4407	ALPL	1188.4176
ALS2CL	59.138	ALS2CL	382.5449
ALS2CR4	294.3535	ALS2CR4	1068.1077
ALS2CR8	105.2456	ALS2CR8	67.6998
ALS2	416.9729	ALS2	430.6688
ALX3	12.6963	ALX3	26.1011
ALX4	18.7103	ALX4	14.2741
AMACR	489.8096	AMACR	239.8042
AMBP	218.844	AMBP	20.7993
AMBRA1	1372.2018	AMBRA1	798.9396
AMD1	988.0922	AMD1	1686.7781
removed	removed	AMDHD1	33.4421
AMDHD2	877.0164	AMDHD2	496.876
AMFR	4881.724	AMFR	4253.2626
removed	removed	AMHR2	6.1175
AMH	77.5142	AMH	7.7488
AMICA1	52.1216	AMICA1	183.9315
AMIGO1	70.1637	AMIGO1	83.1974
AMIGO2	231.2028	AMIGO2	3082.7896
AMIGO3	166.3882	AMIGO3	121.1256
AMMECR1L	678.2492	AMMECR1L	598.2871
AMMECR1	239.2249	AMMECR1	132.9527
AMN1	345.1387	AMN1	212.0718
removed	removed	AMN	5.7096
AMOTL1	443.0337	AMOTL1	1265.9054
AMOTL2	760.7751	AMOTL2	2844.6166
AMOT	80.8553	AMOT	597.0636
removed	removed	AMPD1	47.7162
AMPD2	446.0408	AMPD2	1013.0506
AMPD3	509.1881	AMPD3	184.3393
AMPH	15.3692	AMPH	55.0571
AMT	54.2198	AMT	301.5212
removed	removed	AMY1A	14.6819
AMY2B	151.293	AMY2B	236.8189
AMZ1	346.141	AMZ1	28.956
AMZ2P1	399.9332	AMZ2P1	221.044
AMZ2	2016.7056	AMZ2	1145.1876
ANAPC10	102.9068	ANAPC10	99.1028
ANAPC11	2555.6298	ANAPC11	1988.5808
ANAPC13	908.9208	ANAPC13	1331.3785
ANAPC16	1683.2609	ANAPC16	3062.8059
ANAPC1	465.0852	ANAPC1	305.4649
ANAPC2	1506.5152	ANAPC2	1307.0962
ANAPC4	463.0805	ANAPC4	479.6085
ANAPC5	3325.7601	ANAPC5	2616.6395
ANAPC7	1052.7898	ANAPC7	927.4062
ANGEL1	950.5513	ANGEL1	383.7684
ANGEL2	693.2843	ANGEL2	433.1158
ANGPT1	28.3996	ANGPT1	95.4323
ANGPT2	147.0097	ANGPT2	107.6672
ANGPTL1	47.7781	ANGPTL1	244.6982
ANGPTL2	612.429	ANGPTL2	2760.1958
ANGPTL4	190.1103	ANGPTL4	1967.7814
removed	removed	ANGPTL6	5.1387
ANGPTL7	6.014	ANGPTL7	327.4878
ANG	231.2229	ANG	884.2741
ANK1	378.8841	ANK1	15.4976
ANK2	132.3087	ANK2	446.5742
ANK3	313.3979	ANK3	482.4633
ANKAR	9.3552	ANKAR	19.9837
ANKDD1A	40.7618	ANKDD1A	120.7178
ANKFY1	1584.3635	ANKFY1	1199.0212
ANKHD1-EIF4EBP3	598.56	ANKHD1-EIF4EBP3	577.6917
ANKHD1	2004.9248	ANKHD1	998.3279
ANKH	716.004	ANKH	2402.5285
ANKIB1	1913.7989	ANKIB1	512.2349
ANKK1	22.7197	ANKK1	84.4209
ANKLE1	23.3879	ANKLE1	11.8271
ANKLE2	2110.9255	ANKLE2	1483.6868
ANKMY1	354.1597	ANKMY1	293.6378
ANKMY2	626.4617	ANKMY2	631.3214
ANKRA2	556.6321	ANKRA2	286.7047
ANKRD10	1460.6081	ANKRD10	1142.6794
ANKRD11	2113.0404	ANKRD11	2293.124
ANKRD12	891.7474	ANKRD12	446.1664
ANKRD13A	1619.1113	ANKRD13A	988.5808
ANKRD13B	574.006	ANKRD13B	185.9706
ANKRD13C	495.8236	ANKRD13C	371.5334
ANKRD13D	2819.579	ANKRD13D	1097.8793
ANKRD16	169.295	ANKRD16	235.9095
ANKRD17	1823.5884	ANKRD17	954.7308
ANKRD19	36.7524	ANKRD19	58.3197
ANKRD20A3	19.7127	ANKRD20A3	11.4192
ANKRD20A4	25.3926	removed	removed
ANKRD20B	52.4557	removed	removed
removed	removed	ANKRD22	99.1028
ANKRD23	153.3578	ANKRD23	29.3638
ANKRD24	63.8156	ANKRD24	47.3083
ANKRD26	251.587	ANKRD26	97.4715
ANKRD27	854.6609	ANKRD27	587.2757
ANKRD28	1139.6592	ANKRD28	749.1843
ANKRD29	179.4186	ANKRD29	150.4894
ANKRD30A	258.9375	ANKRD30A	55.0571
ANKRD30B	11.0257	ANKRD30B	43.23
ANKRD31	5.0117	removed	removed
ANKRD32	193.7855	ANKRD32	75.4486
ANKRD34A	26.729	ANKRD34A	28.956
ANKRD35	26.0608	ANKRD35	536.7047
ANKRD36BP1	81.8577	removed	removed
ANKRD36B	25.3926	ANKRD36B	28.1403
ANKRD36	86.8694	ANKRD36	128.8744
ANKRD37	109.0378	ANKRD37	226.7822
ANKRD39	339.4587	ANKRD39	265.4976
ANKRD40	1720.3475	ANKRD40	1190.4568
ANKRD42	252.2553	ANKRD42	283.4421
ANKRD43	78.5165	ANKRD43	51.3866
ANKRD44	14.3669	ANKRD44	10.1958
removed	removed	ANKRD45	12.6427
ANKRD46	1488.149	ANKRD46	437.602
ANKRD49	245.9071	ANKRD49	188.8254
ANKRD50	1791.5135	ANKRD50	382.137
ANKRD52	1925.1587	ANKRD52	838.0914
removed	removed	ANKRD53	64.4372
ANKRD54	357.5008	ANKRD54	559.5432
ANKRD56	43.1006	ANKRD56	130.9135
ANKRD57	780.8219	ANKRD57	548.9396
ANKRD58	7.6846	ANKRD58	17.5367
ANKRD5	364.5172	ANKRD5	79.9347
ANKRD6	95.4126	ANKRD6	235.3507
ANKRD9	263.6151	ANKRD9	113.3768
ANKS1A	1326.0942	ANKS1A	1009.7879
