gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ALPK3	202.8448	ALPK3	146.159
ALPL	43.9085	ALPL	2388.7983
ALS2CL	101.4224	ALS2CL	418.1452
removed	removed	ALS2CR11	11.125
ALS2CR4	457.6376	ALS2CR4	878.4885
ALS2CR8	110.3896	ALS2CR8	168.0253
ALS2	738.7137	ALS2	643.7134
ALX3	15.1515	ALX3	36.0602
removed	removed	ALX4	36.8275
AMACR	653.0612	AMACR	201.7838
AMBRA1	1136.3636	AMBRA1	960.1995
AMD1	1152.1336	AMD1	1906.9723
AMDHD1	16.6976	AMDHD1	9.5905
AMDHD2	337.0223	AMDHD2	174.7156
AMFR	5421.1503	AMFR	2748.2497
AMH	23.5003	removed	removed
AMICA1	175.9431	AMICA1	146.9262
AMIGO1	23.1911	AMIGO1	219.0467
AMIGO2	7358.0674	AMIGO2	982.0658
AMIGO3	61.8429	AMIGO3	52.1722
AMMECR1L	991.6512	AMMECR1L	861.6093
AMMECR1	355.2876	AMMECR1	167.2581
AMN1	121.8306	AMN1	124.6763
AMOTL1	545.4545	AMOTL1	2455.5481
AMOTL2	1119.0476	AMOTL2	4496.4036
AMOT	510.5133	AMOT	1192.2892
removed	removed	AMPD1	29.1551
AMPD2	857.1429	AMPD2	716.2175
AMPD3	297.1552	AMPD3	350.6282
AMPH	95.8565	AMPH	67.9006
AMT	25.974	AMT	179.7641
removed	removed	AMY1A	14.1939
AMY2B	35.9462	AMY2B	225.0312
AMZ1	270.5628	AMZ1	6.1379
AMZ2P1	606.9882	AMZ2P1	216.3614
AMZ2	2030.6122	AMZ2	1013.5226
ANAPC10	164.5022	ANAPC10	103.5773
ANAPC11	1473.7168	ANAPC11	708.9287
ANAPC13	1166.8707	ANAPC13	1078.7072
ANAPC16	2502.7829	ANAPC16	2128.7043
ANAPC1	622.7582	ANAPC1	755.3467
ANAPC2	803.0303	ANAPC2	734.2476
ANAPC4	263.4508	ANAPC4	462.2614
ANAPC5	2165.1206	ANAPC5	2365.7811
ANAPC7	1055.9678	ANAPC7	795.6267
ANGEL1	697.5881	ANGEL1	695.1184
ANGEL2	845.7019	ANGEL2	534.7655
ANGPT1	59.9876	ANGPT1	547.8086
ANGPT2	155.2257	ANGPT2	464.1795
removed	removed	ANGPT4	72.5041
ANGPTL1	21.0266	ANGPTL1	497.938
ANGPTL2	2022.5727	ANGPTL2	6045.8425
ANGPTL4	365.8009	ANGPTL4	4760.3337
removed	removed	ANGPTL5	8.4396
removed	removed	ANGPTL7	385.9212
ANG	210.6555	ANG	388.9824
ANK1	88.7446	ANK1	30.6896
ANK2	128.0148	ANK2	1618.8741
ANK3	1034.632	ANK3	1039.6087
ANKAR	27.2109	ANKAR	37.2111
ANKDD1A	40.5071	ANKDD1A	377.4815
ANKFY1	1772.7273	ANKFY1	2473.1946
ANKHD1-EIF4EBP3	523.992	ANKHD1-EIF4EBP3	1380.1899
ANKHD1	2850.6215	ANKHD1	1791.9862
ANKH	1306.7409	ANKH	1933.0584
ANKIB1	1634.5083	ANKIB1	1443.9436
ANKK1	18.8621	ANKK1	30.6896
ANKLE1	7.1119	ANKLE1	8.969
ANKLE2	1856.5244	ANKLE2	1613.887
ANKMY1	171.6141	ANKMY1	186.4391
ANKMY2	252.0099	ANKMY2	390.9082
ANKRA2	527.8293	ANKRA2	239.3785
ANKRD10	1364.4496	ANKRD10	1174.6428
ANKRD11	1997.115	ANKRD11	2975.41
ANKRD12	850.0309	ANKRD12	1483.84
ANKRD13A	578.2313	ANKRD13A	1224.5133
ANKRD13B	320.0371	ANKRD13B	167.2581
ANKRD13C	519.1713	ANKRD13C	549.7267
ANKRD13D	811.0699	ANKRD13D	466.0976
ANKRD16	241.4224	ANKRD16	132.3219
ANKRD17	2611.008	ANKRD17	3000.2877
ANKRD19	41.744	ANKRD19	27.237
removed	removed	ANKRD20A3	14.1939
ANKRD20B	8.0396	ANKRD20B	5.7543
ANKRD22	277.6747	ANKRD22	36.3134
ANKRD23	52.2573	ANKRD23	31.0732
ANKRD24	23.1911	ANKRD24	32.9913
ANKRD26	433.5189	ANKRD26	202.9347
ANKRD27	1298.0829	ANKRD27	891.9152
ANKRD28	1445.8874	ANKRD28	1061.475
ANKRD29	12.0594	ANKRD29	243.982
ANKRD2	61.5337	removed	removed
removed	removed	ANKRD30A	43.7326
ANKRD31	7.7304	removed	removed
ANKRD32	233.7662	ANKRD32	117.3876
ANKRD34A	9.2764	ANKRD34A	20.7155
ANKRD35	20.7174	ANKRD35	227.4863
ANKRD36BP1	115.0278	ANKRD36BP1	173.7796
ANKRD36B	53.8033	ANKRD36B	32.9913
ANKRD36	153.3704	ANKRD36	116.2367
