gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
SNHG1	778.5716	SNHG1	1632.7319
SNHG3-RCC1	365.0884	SNHG3-RCC1	307.4657
SNHG3	76.9776	SNHG3	29.1082
SNHG4	10.651	SNHG4	35.9724
SNHG5	1714.4785	SNHG5	3174.5749
SNHG6	685.8901	SNHG6	856.0184
SNHG7	603.0257	SNHG7	1229.1706
SNHG8	1153.677	SNHG8	1482.4386
SNHG9	19.4911	SNHG9	24.0588
SNIP1	335.5434	SNIP1	407.8117
SNN	344.6721	SNN	602.9554
SNORA39	7.0563	SNORA39	8.8097
removed	removed	SNORA7B	9.0057
SNORA8	259.8315	SNORA8	518.1941
SNORD116-20	9.3755	SNORD116-20	25.5439
SNORD116-28	21.3021	SNORD116-28	66.5716
SNORD116-4	46.9341	SNORD116-4	76.6615
SNORD1C	39.8507	SNORD1C	30.5695
SNPH	74.5104	SNPH	155.3427
SNRK	1594.5711	SNRK	2012.0294
SNRNP200	6002.2785	SNRNP200	8392.3665
SNRNP25	519.352	SNRNP25	182.0747
SNRNP27	522.3127	SNRNP27	569.9859
SNRNP35	307.0567	SNRNP35	331.6759
SNRNP40	682.1892	SNRNP40	623.1529
SNRNP48	492.7059	SNRNP48	740.7737
SNRNP70	2014.0003	SNRNP70	3814.361
SNRPA1	375.2658	SNRPA1	323.1603
SNRPA	668.8662	SNRPA	900.5718
SNRPB2	881.048	SNRPB2	844.7316
SNRPB	1707.5703	SNRPB	1505.0123
SNRPC	929.8992	SNRPC	710.1804
SNRPD1	510.7167	SNRPD1	602.3613
SNRPD2	1913.8307	SNRPD2	2291.2304
SNRPD3	1426.6859	SNRPD3	1421.2015
SNRPE	828.9895	SNRPE	885.7207
SNRPF	518.6119	SNRPF	520.0861
SNRPG	453.2303	SNRPG	397.1189
SNRPN	1149.31	SNRPN	1422.6064
SNTA1	141.1256	SNTA1	275.6367
SNTB1	296.8078	SNTB1	1236.207
SNTB2	974.8028	SNTB2	1130.4671
removed	removed	SNTG2	14.8511
SNUPN	535.1423	SNUPN	492.4631
SNURF	88.9905	SNURF	84.6989
SNW1	1760.369	SNW1	2024.8014
SNX10	3041.6018	SNX10	165.4414
SNX11	503.0683	SNX11	413.1581
SNX12	250.1772	SNX12	245.3405
SNX13	1278.2721	SNX13	1719.1654
SNX14	1170.4542	SNX14	1283.4336
SNX15	324.6875	SNX15	416.7224
SNX16	413.5078	SNX16	340.3876
SNX17	2043.1136	SNX17	1845.1028
SNX18	986.1521	SNX18	1574.2185
SNX19	2087.277	SNX19	1929.4572
SNX1	3505.9346	SNX1	4496.6214
SNX20	109.9398	SNX20	36.7654
SNX21	258.3857	SNX21	391.2735
SNX22	222.7687	SNX22	140.4559
SNX24	198.1186	SNX24	134.5511
SNX25	936.5607	SNX25	533.1551
SNX27	1486.948	SNX27	1222.6212
SNX29	1180.0764	SNX29	747.3082
SNX2	1812.1808	SNX2	1767.283
SNX30	614.8339	SNX30	1037.7961
removed	removed	SNX32	13.366
SNX33	694.2787	SNX33	1109.0815
SNX3	2373.2291	SNX3	2701.1213
SNX4	1099.8914	SNX4	1118.5862
SNX5	2823.9921	SNX5	2036.0882
SNX6	1944.6711	SNX6	1483.9237
SNX7	307.6636	SNX7	470.7804
SNX8	448.7892	SNX8	313.9526
SNX9	2128.4798	SNX9	1892.9234
SOAT1	2325.1181	SOAT1	774.6343
SOBP	66.6152	SOBP	152.0754
SOCS1	49.5913	SOCS1	7.1285
SOCS2	259.3059	SOCS2	377.2184
SOCS3	1659.4593	SOCS3	541.7688
SOCS4	541.0637	SOCS4	588.9953
SOCS5	803.3303	SOCS5	1528.477
SOCS6	716.4838	SOCS6	2189.6488
SOCS7	95.9753	SOCS7	154.7486
SOD1	2574.3084	SOD1	2312.913
SOD2	5135.2937	SOD2	13369.5701
SOD3	118.1803	SOD3	212.074
SOHLH2	22.4962	SOHLH2	42.893
SOLH	506.7692	SOLH	374.2482
SON	7867.9982	SON	10107.3736
SORBS1	1872.3813	SORBS1	2516.9674
SORBS2	1450.2381	SORBS2	4088.8097
SORBS3	1131.9654	SORBS3	1617.2867
removed	removed	SORCS1	9.2077
SORCS2	61.9275	SORCS2	116.1357
SORD	1361.1711	SORD	632.9546
SORL1	2910.3452	SORL1	5478.8743
SORT1	3633.7372	SORT1	2925.9672
SOS1	1743.3451	SOS1	2357.7634
SOS2	1448.2643	SOS2	2176.8768
SOSTDC1	10.3624	SOSTDC1	1306.8983
SOX10	40.4626	SOX10	3771.5898
SOX11	13.0763	SOX11	18.1184
SOX12	422.1431	SOX12	266.429
SOX13	849.4675	SOX13	1207.0988
removed	removed	SOX15	32.0784
SOX17	86.8465	SOX17	140.4916
SOX18	122.8681	SOX18	123.8583
removed	removed	SOX2OT	7.7226
SOX4	2417.6392	SOX4	4618.1035
SOX5	15.0501	SOX5	40.6921
SOX6	6.1681	SOX6	164.2534
SOX7	151.9814	SOX7	262.8648
SOX8	11.1025	SOX8	284.2504
SOX9	441.3875	SOX9	3863.3697
SP100	1449.0045	SP100	2016.1877
SP110	336.2835	SP110	432.7616
SP140L	282.4979	SP140L	445.2365
SP140	84.1326	SP140	51.9789
SP1	3638.4249	SP1	5400.4604
SP2	550.4391	SP2	937.6996
SP3	1922.9595	SP3	3160.0208
SP4	220.077	SP4	626.7172
SP5	28.6199	SP5	15.4452
SP6	1348.8349	SP6	452.9591
SPA17	112.5057	SPA17	101.8787
SPACA4	5.1812	removed	removed
SPAG16	63.6545	SPAG16	400.9802
removed	removed	SPAG17	8.6136
SPAG1	231.4262	SPAG1	131.5809
SPAG4	21.9584	SPAG4	12.772
SPAG5	477.6558	SPAG5	178.5817
removed	removed	SPAG6	12.4749
SPAG7	639.7529	SPAG7	664.736
SPAG8	17.2706	SPAG8	20.4945
SPAG9	3864.9167	SPAG9	2284.1019
SPARCL1	6311.6692	SPARCL1	11155.5655
SPARC	82049.9725	SPARC	8914.2348
SPAST	633.0914	SPAST	656.4194
SPATA12	11.3493	SPATA12	5.0494
SPATA13	748.0594	SPATA13	1471.7012
SPATA17	27.3863	SPATA17	17.8213
SPATA18	47.3708	SPATA18	698.8936
SPATA20	923.7311	SPATA20	812.0591
SPATA24	23.4387	SPATA24	43.9593
SPATA2L	88.3269	SPATA2L	158.0159
SPATA2	304.2095	SPATA2	327.6157
SPATA5L1	211.9351	SPATA5L1	315.1407
SPATA5	293.6004	SPATA5	441.3752
SPATA6	282.0045	SPATA6	228.1132
SPATA7	142.8526	SPATA7	270.2903
SPATA9	9.3878	removed	removed
SPATS1	54.4493	removed	removed
SPATS2L	1227.6939	SPATS2L	1439.6673
SPATS2	681.9425	SPATS2	561.9663
SPC24	18.751	removed	removed
SPC25	90.7941	SPC25	23.1677
SPCS1	2027.0223	SPCS1	1542.7341
SPCS2	808.5115	SPCS2	598.203
SPCS3	4565.1167	SPCS3	2417.1679
SPDEF	2194.8483	SPDEF	1418.5787
removed	removed	SPDYA	36.6347
SPDYE1	7.6139	SPDYE1	14.5541
SPDYE3	63.3955	SPDYE3	64.7509
SPDYE5	7.155	SPDYE5	18.4154
SPDYE6	25.4125	SPDYE6	36.8308
SPDYE7P	5.6746	SPDYE7P	10.6928
SPDYE8P	13.5698	SPDYE8P	24.6529
SPEF1	13.8165	removed	removed
SPEF2	166.0446	SPEF2	375.4363
SPEG	18.5042	SPEG	588.4013
SPEN	2624.1464	SPEN	4648.9938
SPESP1	20.9715	SPESP1	21.6767
SPG11	3075.1562	SPG11	3338.8282
SPG20	1491.4409	SPG20	1826.9845
SPG21	1919.9988	SPG21	1528.477
SPG7	783.5924	SPG7	1045.5187
SPHAR	132.8209	SPHAR	147.9854
SPHK1	1097.5352	SPHK1	250.1552
SPHK2	221.0688	SPHK2	221.6054
removed	removed	SPHKAP	189.2032
SPI1	2386.0587	SPI1	185.0449
SPIB	42.1896	SPIB	10.9898
SPIN1	1998.4567	SPIN1	3605.5543
SPIN2B	56.3935	SPIN2B	71.8081
SPIN3	317.2858	SPIN3	546.5211
SPIN4	169.0053	SPIN4	256.3303
SPINK2	29.6068	removed	removed
removed	removed	SPINK5	31.4844
removed	removed	SPINK8	12.4749
SPINT1	3034.9403	SPINT1	3227.1478
SPINT2	6051.8698	SPINT2	5555.209
SPIRE1	892.644	SPIRE1	1126.9028
SPIRE2	38.2421	SPIRE2	100.0965
SPNS1	1015.1025	SPNS1	512.5655
SPNS2	552.8447	SPNS2	670.0765
SPNS3	12.5829	SPNS3	7.7226
SPN	711.0558	SPN	222.1727
SPOCD1	139.6452	SPOCD1	12.4749
SPOCK1	597.3165	SPOCK1	125.9375
SPOCK2	456.1909	SPOCK2	363.496
SPON1	1321.202	SPON1	380.1886
SPON2	524.2865	SPON2	239.4
SPOPL	1040.1844	SPOPL	1375.5105
SPOP	1327.1233	SPOP	1281.0574
SPP1	69180.1578	SPP1	424.4449
SPPL2A	1167.0001	SPPL2A	654.0432
SPPL2B	449.2827	SPPL2B	648.9938
SPPL3	861.8036	SPPL3	1232.9398
SPRED1	1627.632	SPRED1	1765.5009
SPRED2	829.2362	SPRED2	1131.3581
SPRN	51.5651	SPRN	70.3943
SPRY1	1120.6161	SPRY1	1545.7043
SPRY2	205.0269	SPRY2	958.4911
SPRY3	37.9954	SPRY3	85.5424
SPRY4	792.4745	SPRY4	534.6402
SPRYD3	1493.9081	SPRYD3	1199.0792
SPRYD4	306.1833	SPRYD4	308.6062
SPR	875.1267	SPR	488.6018
SPSB1	442.1277	SPSB1	553.6497
SPSB2	75.0038	SPSB2	93.562
SPSB3	501.588	SPSB3	691.7651
SPTA1	31.3338	removed	removed
SPTAN1	7119.6872	SPTAN1	6001.3366
SPTBN1	4632.7188	SPTBN1	11700.8985
SPTBN2	28.1264	SPTBN2	1294.7204
SPTBN4	150.7478	SPTBN4	68.9092
SPTBN5	43.744	SPTBN5	166.3414
SPTB	43.67	SPTB	65.6419
SPTLC1	1420.8781	SPTLC1	1926.784
SPTLC2	3750.6839	SPTLC2	3073.2903
SPTLC3	182.3283	SPTLC3	389.3963
SPTY2D1	1628.3327	SPTY2D1	1386.7825
SQLE	498.3806	SQLE	554.8378
SQRDL	2720.1217	SQRDL	1128.0909
SQSTM1	9659.78	SQSTM1	5798.4852
SR140	2355.2183	SR140	3854.459
SRA1	500.8478	SRA1	380.4856
SRBD1	476.9157	SRBD1	596.1239
SRCAP	3385.7805	SRCAP	4149.4022
SRCIN1	141.619	SRCIN1	318.705
SRCRB4D	11.8624	SRCRB4D	11.3611
SRC	2384.8251	SRC	655.2313
SRD5A1	720.9248	SRD5A1	292.27
SRD5A3	740.1297	SRD5A3	406.2731
SREBF1	4945.8104	SREBF1	2388.6537
SREBF2	2521.5096	SREBF2	3892.4779
SRFBP1	404.6258	SRFBP1	535.2343
SRF	891.6571	SRF	1456.3006
SRGAP1	820.8476	SRGAP1	366.5256
SRGAP2	789.5138	SRGAP2	551.8675
SRGAP3	272.1355	SRGAP3	383.1588
SRGN	1340.4464	SRGN	816.5144
SRI	1837.84	SRI	1245.4147
SRL	17.7641	SRL	30.2963
SRMS	18.9977	SRMS	7.4256
SRM	929.6525	SRM	597.0149
SRP14	3621.8945	SRP14	3374.4709
SRP19	721.2899	SRP19	620.9371
SRP54	1848.9426	SRP54	1249.8701
SRP68	1947.3851	SRP68	1959.1594
SRP72	4214.0298	SRP72	3546.7439
SRP9	4450.8839	SRP9	3503.0816
SRPK1	1476.8842	SRPK1	1308.9775
SRPK2	1179.8297	SRPK2	1047.8949
removed	removed	SRPK3	24.4271
SRPRB	1572.366	SRPRB	1001.5594
SRPR	4880.182	SRPR	3131.8037
SRPX2	473.2148	SRPX2	36.5337
SRPX	189.2366	SRPX	429.7913
SRRD	338.7508	SRRD	220.6876
SRRM1	1837.3466	SRRM1	2450.4344
SRRM2	11238.7261	SRRM2	18920.6208
SRRM3	30.1002	SRRM3	20.7916
SRRM5	21.4328	SRRM5	31.2854
SRRT	1716.4523	SRRT	1698.9678
SRR	306.5411	SRR	286.5404
SRXN1	1319.7216	SRXN1	371.575
SS18L1	421.6497	SS18L1	629.6874
SS18L2	271.1486	SS18L2	274.7457
SS18	1379.6753	SS18	2109.1557
SSBP1	977.7635	SSBP1	936.8085
SSBP2	471.4878	SSBP2	774.6343
SSBP3	386.615	SSBP3	566.7186
SSBP4	321.4801	SSBP4	254.8452
SSB	1728.9587	SSB	2076.1149
SSC5D	575.3582	SSC5D	119.7
SSFA2	2461.8026	SSFA2	4472.8596
SSH1	1481.5719	SSH1	1254.0284
SSH2	862.7905	SSH2	470.4834
SSH3	962.4666	SSH3	1226.1083
SSNA1	556.6072	SSNA1	505.8291
SSPN	502.8216	SSPN	1642.2366
SSPO	10.8558	SSPO	32.3754
SSR1	5830.0658	SSR1	3971.7829
SSR2	5350.6829	SSR2	4459.4936
SSR3	8992.5619	SSR3	4836.4149
SSR4	2595.7733	SSR4	1630.3557
SSRP1	2458.842	SSRP1	3809.0146
SSSCA1	210.7015	SSSCA1	202.8663
removed	removed	SSTR1	47.5236
SSTR2	71.5497	SSTR2	32.9695
SSU72	1994.0157	SSU72	1956.7832
SSX2IP	542.2973	SSX2IP	418.5045
ST13	4410.9148	ST13	7607.9305
ST14	2441.0779	ST14	2533.0066
ST18	126.3222	removed	removed
ST20	29.513	ST20	51.8987
ST3GAL1	2365.0872	ST3GAL1	1008.3909
ST3GAL2	606.9387	ST3GAL2	239.103
ST3GAL3	165.5512	ST3GAL3	181.1836
ST3GAL4	489.2518	ST3GAL4	316.6258
ST3GAL5	312.5981	ST3GAL5	182.0747
ST3GAL6	617.3011	ST3GAL6	185.639
ST5	1627.1385	ST5	2113.611
ST6GAL1	1910.3766	ST6GAL1	1504.1212
ST6GAL2	348.1262	ST6GAL2	167.2236
ST6GALNAC1	9.6222	ST6GALNAC1	77.8199
ST6GALNAC2	276.3298	ST6GALNAC2	588.1043
ST6GALNAC3	128.296	ST6GALNAC3	97.1263
ST6GALNAC4	587.4476	ST6GALNAC4	231.9745
ST6GALNAC5	93.2613	ST6GALNAC5	331.4769
ST6GALNAC6	755.9594	ST6GALNAC6	868.4934
ST7L	337.0237	ST7L	481.7703
ST7OT1	14.8996	ST7OT1	81.0218
ST7	623.822	ST7	497.5362
ST8SIA1	58.9668	ST8SIA1	514.1457
removed	removed	ST8SIA2	147.6201
ST8SIA4	721.9117	ST8SIA4	228.7072
ST8SIA6	244.2558	ST8SIA6	93.8591
STAB1	1069.8257	STAB1	878.5921
STAB2	12.3362	STAB2	316.0318
STAC2	128.0493	STAC2	6053.3155
STAC3	67.7279	STAC3	31.7814
STAC	14.5567	STAC	108.4132
STAG1	1279.9647	STAG1	1695.7303
STAG2	3541.216	STAG2	4806.7127
STAG3L1	58.7201	STAG3L1	122.6702
STAG3L2	61.9275	STAG3L2	139.6005
STAG3L3	129.1916	STAG3L3	260.652
STAG3L4	130.5165	STAG3L4	128.3137
STAG3	8.0382	STAG3	20.147
STAM2	1115.4349	STAM2	1224.6232
STAMBPL1	156.9159	STAMBPL1	127.7196
STAMBP	530.948	STAMBP	700.3787
STAM	580.7861	STAM	559.5901
STAP1	16.5304	removed	removed
STAP2	516.1446	STAP2	509.0963
STARD10	2892.0877	STARD10	1349.9666
STARD13	1512.6591	STARD13	1464.6172
STARD3NL	671.5802	STARD3NL	515.9278
STARD3	979.984	STARD3	634.4397
STARD4	106.8311	STARD4	43.9593
STARD5	67.6021	STARD5	47.8206
STARD7	3914.2613	STARD7	3564.2979
STARD8	312.1047	STARD8	208.8067
removed	removed	STAR	9.5047
STAT1	4049.2188	STAT1	3302.5915
STAT2	1832.9056	STAT2	1833.519
STAT3	7957.5587	STAT3	7700.8985
STAT4	55.7594	STAT4	106.334
STAT5A	1661.6798	STAT5A	2294.7947
STAT5B	2011.0396	STAT5B	3428.529
STAT6	2296.4982	STAT6	4214.7472
STAU1	3074.1693	STAU1	2844.8801
STAU2	1094.7102	STAU2	890.473
STBD1	214.2124	STBD1	379.1847
STC1	708.8353	STC1	376.3273
STC2	9697.203	STC2	6366.3771
STEAP1	1257.5474	STEAP1	532.8581
STEAP2	4881.4156	STEAP2	2456.0778
STEAP3	2322.1574	STEAP3	2422.8113
STEAP4	5257.6683	STEAP4	1971.6344
STIL	283.9782	STIL	167.2236
STIM1	1369.5597	STIM1	1621.445
STIM2	437.9334	STIM2	702.4579
STIP1	2429.2352	STIP1	1976.6837
STK10	1214.8643	STK10	544.442
STK11IP	286.6922	STK11IP	334.7442
STK11	666.8924	STK11	703.6459
STK16	393.2766	STK16	522.1653
STK17A	574.1245	STK17A	858.3946
STK17B	1348.3415	STK17B	1474.716
STK19	273.9193	STK19	298.3055
STK24	2552.1033	STK24	3022.7965
STK25	804.3172	STK25	1115.3189
removed	removed	STK31	11.5839
removed	removed	STK32A	5.0494
STK32B	284.225	STK32B	133.6601
STK32C	188.3508	STK32C	107.2251
removed	removed	STK33	7.1285
STK35	844.7797	STK35	833.1477
STK36	375.7592	STK36	520.6802
STK38L	1442.8364	STK38L	1327.3929
STK38	1894.8331	STK38	1419.1728
STK39	1000.462	STK39	428.9003
STK3	599.2903	STK3	825.7221
STK40	943.7157	STK40	1099.2797
STK4	1450.4848	STK4	1136.4075
removed	removed	STL	15.8075
STMN1	2613.784	STMN1	1350.2636
STMN2	11.3493	STMN2	13.9601
STMN3	314.5719	STMN3	479.0971
STOML1	217.363	STOML1	201.6782
STOML2	1350.3153	STOML2	1133.7343
STOM	8045.3921	STOM	5124.5266
STON1-GTF2A1L	19.4048	removed	removed
STON1	321.3198	STON1	327.0513
STON2	345.9057	STON2	355.5358
STOX1	707.8484	STOX1	220.6876
STOX2	20.2313	STOX2	122.9673
STRA13	551.426	STRA13	342.7638
STRA6	127.8025	STRA6	34.1576
STRADA	551.426	STRADA	428.6033
STRADB	1550.6544	STRADB	266.429
STRAP	2309.8212	STRAP	1791.0448
STRBP	1191.9191	STRBP	950.1745
removed	removed	STRC	32.6873
STRN3	867.725	STRN3	863.741
STRN4	1037.9639	STRN4	1134.9224
STRN	688.3573	STRN	814.4353
STS	898.3186	STS	792.7527
STT3A	5399.2873	STT3A	3489.1216
STT3B	3559.7202	STT3B	2055.9887
STUB1	930.9527	STUB1	888.3731
STX10	276.0831	STX10	234.6477
STX11	97.2089	STX11	82.2752
STX12	1747.2927	STX12	1770.5502
STX16	1238.0563	STX16	2909.928
STX17	699.7066	STX17	1659.7609
STX18	530.2078	STX18	480.5822
removed	removed	STX19	146.432
STX1A	55.0044	STX1A	56.4164
STX1B	7.4017	STX1B	36.5337
STX2	251.6575	STX2	181.7777
STX3	1048.3263	STX3	703.6459
STX4	809.2516	STX4	558.699
STX5	894.1244	STX5	890.77
STX6	988.0642	STX6	1034.113
STX7	1725.581	STX7	1595.9011
STX8	379.9535	STX8	343.9519
STXBP1	432.0121	STXBP1	718.4971
STXBP2	1428.2798	STXBP2	955.2239
STXBP3	1976.2517	STXBP3	1589.6636
STXBP4	481.8501	STXBP4	247.7166
removed	removed	STXBP5L	39.801
STXBP5	432.9595	STXBP5	569.5819
STXBP6	6.1681	STXBP6	29.7022
STYK1	65.6283	STYK1	90.8888
STYXL1	768.789	STYXL1	447.6127
STYX	800.863	STYX	692.0621
SUB1	3492.3648	SUB1	3375.659
SUCLA2	1255.4009	SUCLA2	1208.6285
SUCLG1	1337.7324	SUCLG1	1525.5068
SUCLG2	2429.7286	SUCLG2	1849.8552
SUCNR1	518.3651	SUCNR1	8.6136
SUDS3	1585.1956	SUDS3	1996.2872
SUFU	570.9171	SUFU	810.871
SUGT1L1	29.4735	SUGT1L1	116.6971
SUGT1	675.281	SUGT1	567.3127
SULF1	7538.8697	SULF1	1000.0743
SULF2	2493.3832	SULF2	2295.0917
SULT1A1	310.3776	SULT1A1	291.973
SULT1A2	9.8689	SULT1A2	11.2868
SULT1A3	375.9393	SULT1A3	565.6434
SULT1B1	560.5548	SULT1B1	6.5345
SULT1C2	37.7486	removed	removed
SULT1C4	25.6592	SULT1C4	53.761
SULT2B1	52.0586	SULT2B1	81.9782
removed	removed	SULT4A1	22.5737
SUMF1	1055.9747	SUMF1	844.4345
SUMF2	3030.0058	SUMF2	2542.8083
SUMO1P3	107.3245	SUMO1P3	125.6405
SUMO1	1281.7263	SUMO1	1713.2249
SUMO2	2824.7323	SUMO2	2781.9113
SUMO3	2045.8276	SUMO3	2167.9661
SUN1	1792.6897	SUN1	3246.4543
SUN2	2673.2443	SUN2	5151.2586
SUOX	619.0281	SUOX	558.105
SUPT16H	3458.5638	SUPT16H	3828.3211
SUPT3H	169.252	SUPT3H	153.8576
SUPT4H1	1040.7617	SUPT4H1	1049.0414
SUPT5H	2420.8466	SUPT5H	2703.2004
SUPT6H	3166.4437	SUPT6H	3299.0273
SUPT7L	711.648	SUPT7L	927.7404
SUPV3L1	620.5085	SUPV3L1	716.1209
SURF1	793.7081	SURF1	657.9045
SURF2	153.9552	SURF2	177.6194
SURF4	5106.4271	SURF4	3022.7965
SURF6	589.6681	SURF6	855.4244
SUSD1	397.4708	SUSD1	151.4814
SUSD2	412.0275	SUSD2	259.5975
SUSD3	855.3888	SUSD3	272.9635
SUSD4	36.515	SUSD4	311.2794
SUSD5	19.7378	SUSD5	30.5933
SUV39H1	180.848	SUV39H1	180.8866
SUV39H2	221.5573	SUV39H2	150.5903
SUV420H1	1371.2867	SUV420H1	2183.1143
SUV420H2	101.1565	SUV420H2	149.4022
SUZ12P	139.6452	SUZ12P	242.3702
SUZ12	1828.4646	SUZ12	1402.5395
SV2A	37.0085	SV2A	128.9077
SV2B	49.0979	SV2B	107.2251
removed	removed	SV2C	7.7226
SVEP1	600.445	SVEP1	822.6004
SVIL	1808.2234	SVIL	3773.6719
SVIP	585.7205	SVIP	497.2154
removed	removed	SVOPL	71.5824
SWAP70	3269.8207	SWAP70	3650.1077
SYAP1	1313.5535	SYAP1	993.8368
SYBU	981.711	SYBU	676.0229
SYCE1L	6.1681	SYCE1L	13.663
removed	removed	SYCE1	16.755
SYCE2	5.9214	SYCE2	6.2375
removed	removed	SYCP2L	10.3958
SYCP2	110.2852	SYCP2	572.065
SYDE1	182.3283	SYDE1	185.3419
SYDE2	133.4772	SYDE2	249.4988
SYF2	1249.4056	SYF2	1741.442
SYK	1131.2252	SYK	428.9003
SYMPK	1284.1935	SYMPK	1629.4646
SYN1	12.8296	removed	removed
removed	removed	SYN2	143.7588
removed	removed	SYN3	9.8017
SYNCRIP	4233.5209	SYNCRIP	5791.0448
SYNC	123.6132	SYNC	77.511
SYNE1	1100.8783	SYNE1	1667.1865
SYNE2	4280.645	SYNE2	9817.7768
SYNGAP1	289.4061	SYNGAP1	416.1283
SYNGR1	190.4801	SYNGR1	924.5593
SYNGR2	4604.8391	SYNGR2	2564.491
SYNGR3	22.4518	SYNGR3	6.2375
SYNJ1	508.9897	SYNJ1	453.2561
SYNJ2BP	1684.1316	SYNJ2BP	1486.8939
SYNJ2	668.3728	SYNJ2	1579.8619
SYNM	766.8153	SYNM	12811.4651
removed	removed	SYNPO2L	5.0494
SYNPO2	948.4034	SYNPO2	3434.1724
SYNPO	1367.8326	SYNPO	1281.6514
SYNRG	1665.1339	SYNRG	1687.384
SYPL1	4227.3528	SYPL1	4292.567
SYPL2	24.4256	removed	removed
SYP	34.0478	SYP	47.5236
SYS1-DBNDD2	14.8897	SYS1-DBNDD2	31.0745
SYS1	1070.8545	SYS1	1010.9958
SYT11	396.7307	SYT11	253.6571
SYT12	264.2404	SYT12	536.4224
removed	removed	SYT13	25.8409
SYT15	51.3184	SYT15	200.1931
SYT17	50.3315	SYT17	87.6216
SYT1	240.0615	SYT1	426.8211
removed	removed	SYT2	20.1975
SYT6	5.4279	SYT6	28.5141
SYT7	529.9611	SYT7	1599.4654
SYT8	6.4148	SYT8	326.4276
SYT9	251.9042	SYT9	128.6107
SYTL1	360.7091	SYTL1	476.1268
SYTL2	3315.9579	SYTL2	1058.2906
SYTL3	51.8118	SYTL3	154.7486
SYTL4	572.3975	SYTL4	374.8422
SYTL5	140.3854	SYTL5	17.2273
SYVN1	1604.6868	SYVN1	1202.3465
TAB1	530.4447	TAB1	853.1195
TAB2	2518.3022	TAB2	3089.0324
TAB3	1428.033	TAB3	1082.9435
removed	removed	TAC1	9.2077
TACC1	2339.1813	TACC1	2826.1677
TACC2	1761.6026	TACC2	1693.6214
TACC3	447.8023	TACC3	142.5707
TACO1	381.9273	TACO1	265.835
TACR1	39.7224	TACR1	293.4581
TACR2	35.5281	TACR2	11.2868
TACSTD2	4126.1964	TACSTD2	14587.6587
TADA1	287.6791	TADA1	430.0884
TADA2A	201.5727	TADA2A	265.241
TADA2B	711.3026	TADA2B	1027.6973
TADA3	1398.6829	TADA3	1141.1688
TAF10	584.9804	TAF10	396.2278
TAF11	516.8848	TAF11	493.3541
TAF12	502.0814	TAF12	338.6055
TAF13	329.8687	TAF13	168.7087
TAF15	2870.1293	TAF15	2834.4843
TAF1A	100.1696	TAF1A	140.7886
TAF1B	227.9721	TAF1B	242.3702
TAF1C	308.4038	TAF1C	731.5661
TAF1D	744.7385	TAF1D	1306.4023
TAF1L	37.2552	TAF1L	51.9789
TAF1	1400.1533	TAF1	1943.4172
TAF2	1042.4049	TAF2	1034.2318
TAF3	266.2142	TAF3	285.7355
TAF4B	146.3068	TAF4B	580.3817
TAF4	428.0645	TAF4	456.8204
TAF5L	599.537	TAF5L	836.4149
TAF5	167.0315	TAF5	115.8387
TAF6L	203.7932	TAF6L	202.5692
TAF6	656.0366	TAF6	703.3489
TAF7	2089.4976	TAF7	3404.1732
TAF8	550.6859	TAF8	584.837
TAF9B	834.4174	TAF9B	853.3452
TAF9	1356.323	TAF9	1277.4931
TAGAP	160.37	TAGAP	262.2707
TAGLN2	7211.2215	TAGLN2	6302.8143
TAGLN	6984.7297	TAGLN	11214.4531
TAL1	49.5913	TAL1	94.1561
TAL2	19.7378	removed	removed
TALDO1	2335.2337	TALDO1	1530.2592
TANC1	624.2093	TANC1	2025.6924
TANC2	1500.0762	TANC2	945.4221
TANK	1692.7669	TANK	2993.9853
TAOK1	1090.7626	TAOK1	822.4549
TAOK2	1183.037	TAOK2	1036.014
TAOK3	1855.6041	TAOK3	1187.7924
TAP1	2174.1236	TAP1	1333.0363
TAP2	1529.303	TAP2	1218.1689
TAPBPL	442.8753	TAPBPL	619.8886
TAPBP	4777.0518	TAPBP	3224.4746
TAPT1	559.3212	TAPT1	803.4455
TARBP1	1084.8413	TARBP1	962.3524
TARBP2	375.2658	TARBP2	275.6367
TARDBP	3334.2154	TARDBP	3789.1141
TARP	89.8072	TARP	35.6427
TARS2	811.9656	TARS2	510.2844
TARSL2	258.0723	TARSL2	474.9387
TARS	2177.0842	TARS	1431.9448
removed	removed	TAS1R1	6.5345
removed	removed	TAS2R14	22.4163
TAS2R20	7.8951	TAS2R20	43.0682
removed	removed	TAS2R31	6.2375
removed	removed	TAS2R3	5.3464
removed	removed	TAS2R4	13.366
removed	removed	TAS2R5	40.098
TASP1	214.6491	TASP1	362.0702
TATDN1	384.3945	TATDN1	697.4085
TATDN2	1338.4726	TATDN2	1657.0877
TATDN3	321.2334	TATDN3	307.1211
TAT	102.6368	TAT	3413.9749
TAX1BP1	4219.4577	TAX1BP1	4950.4715
TAX1BP3	1949.6056	TAX1BP3	1673.0289
TAZ	223.2844	TAZ	298.5075
TBC1D10A	497.3369	TBC1D10A	572.8462
TBC1D10B	1171.9345	TBC1D10B	805.2276
TBC1D10C	81.1719	TBC1D10C	76.0377
TBC1D12	771.7497	TBC1D12	567.6097
TBC1D13	820.1074	TBC1D13	855.1273
TBC1D14	1677.4701	TBC1D14	2237.7664
TBC1D15	1408.5419	TBC1D15	1867.9736
