gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
ANKRD35	60.2183	ANKRD35	429.0512
ANKRD36BP1	51.9383	ANKRD36BP1	22.67
ANKRD36B	19.1946	ANKRD36B	7.9765
ANKRD36	60.971	ANKRD36	98.2368
ANKRD37	50.5796	ANKRD37	97.7036
ANKRD39	330.0715	ANKRD39	170.0252
ANKRD40	1555.8901	ANKRD40	1885.3904
ANKRD42	541.2119	ANKRD42	293.8707
ANKRD43	614.6029	ANKRD43	44.5004
ANKRD44	30.1091	ANKRD44	27.7078
removed	removed	ANKRD45	7.5567
ANKRD46	1145.9955	ANKRD46	433.6692
ANKRD49	255.175	ANKRD49	264.0638
ANKRD50	3270.9823	ANKRD50	485.7263
ANKRD52	1059.0892	ANKRD52	1000.8396
removed	removed	ANKRD53	96.1377
