gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
removed	removed	AMBP	14.1509
AMBRA1	754.8364	AMBRA1	974.5283
AMD1	1720.3482	AMD1	3132.0755
AMDHD1	60.4995	AMDHD1	5.1887
AMDHD2	150.6753	AMDHD2	170.1415
AMFR	2051.7059	AMFR	3428.3019
removed	removed	AMH	6.1321
AMICA1	78.0865	AMICA1	179.2453
AMIGO1	75.9761	AMIGO1	204.717
AMIGO2	3204.7133	AMIGO2	5039.6132
AMIGO3	105.8741	AMIGO3	54.717
AMMECR1L	807.2459	AMMECR1L	989.6226
AMMECR1	283.5033	AMMECR1	204.717
AMN1	409.4267	AMN1	204.2453
AMOTL1	342.9476	AMOTL1	2662.2642
AMOTL2	1945.1284	AMOTL2	4599.5283
AMOT	1001.7587	AMOT	1508.0189
removed	removed	AMPD1	16.0377
AMPD2	290.5382	AMPD2	694.8113
AMPD3	191.3472	AMPD3	244.3396
AMPH	74.9209	AMPH	33.4906
AMT	69.6166	AMT	242.3443
removed	removed	AMY1A	41.5094
AMY2B	98.3785	AMY2B	363.6321
AMZ1	22.5114	AMZ1	18.8679
AMZ2P1	317.2705	AMZ2P1	201.4151
AMZ2	2512.4868	AMZ2	959.434
ANAPC10	119.9437	ANAPC10	134.9057
ANAPC11	1208.9342	ANAPC11	570.283
ANAPC13	1454.0274	ANAPC13	857.4245
ANAPC16	2515.3007	ANAPC16	2270.283
ANAPC1	828.7021	ANAPC1	783.9623
ANAPC2	830.4608	ANAPC2	674.0566
ANAPC4	258.5297	ANAPC4	598.1132
ANAPC5	2796.6936	ANAPC5	2418.8679
ANAPC7	1723.8832	ANAPC7	904.717
ANGEL1	367.5695	ANGEL1	586.7925
ANGEL2	920.1548	ANGEL2	692.4528
ANGPT1	61.5547	ANGPT1	227.3585
ANGPT2	448.4699	ANGPT2	253.7736
removed	removed	ANGPT4	13.2075
ANGPTL1	43.2642	ANGPTL1	361.7925
ANGPTL2	1854.7309	ANGPTL2	3692.4528
ANGPTL4	283.5033	ANGPTL4	564.1509
removed	removed	ANGPTL5	9.434
ANGPTL6	12.0155	removed	removed
removed	removed	ANGPTL7	517.9245
ANG	136.5881	ANG	414.5566
removed	removed	ANK1	5.1887
ANK2	255.7158	ANK2	773.1132
ANK3	742.5255	ANK3	1474.0566
ANKAR	16.8836	ANKAR	91.9811
ANKDD1A	31.6567	ANKDD1A	145.283
removed	removed	ANKFN1	9.434
ANKFY1	1385.1565	ANKFY1	2266.5094
ANKHD1-EIF4EBP3	1490.3095	ANKHD1-EIF4EBP3	1513.1038
ANKHD1	3365.8952	ANKHD1	2433.9057
ANKH	1519.5216	ANKH	1897.1698
ANKIB1	1693.2817	ANKIB1	1396.2264
ANKK1	25.3254	ANKK1	57.5472
ANKLE1	14.4214	ANKLE1	11.7925
ANKLE2	1354.9068	ANKLE2	1697.1698
ANKMY1	236.37	ANKMY1	223.1132
ANKMY2	521.6321	ANKMY2	699.0566
ANKRA2	395.357	ANKRA2	357.0755
ANKRD10	922.2652	ANKRD10	1426.5755
ANKRD11	1032.6381	ANKRD11	2736.8915
ANKRD12	1427.3655	ANKRD12	1575.9434
ANKRD13A	831.516	ANKRD13A	1704.2453
ANKRD13B	275.0616	ANKRD13B	77.3585
ANKRD13C	478.3679	ANKRD13C	603.7736
ANKRD13D	424.5515	ANKRD13D	507.0755
ANKRD16	113.2606	ANKRD16	147.5802
ANKRD17	2785.0862	ANKRD17	3182.0755
ANKRD19	52.0577	ANKRD19	22.6415
ANKRD20A3	7.7383	ANKRD20A3	12.2642
ANKRD20B	16.1801	ANKRD20B	7.0755
ANKRD22	206.1203	ANKRD22	45.283
ANKRD23	38.3398	ANKRD23	40.566
ANKRD24	156.5248	ANKRD24	33.4906
ANKRD26	281.0412	ANKRD26	337.7358
ANKRD27	909.6025	ANKRD27	908.4906
ANKRD28	1536.0535	ANKRD28	1534.9057
ANKRD29	15.4766	ANKRD29	213.6792
ANKRD30A	99.191	ANKRD30A	341.5094
ANKRD30B	143.8621	ANKRD30B	62.7358
ANKRD32	360.5346	ANKRD32	156.6038
ANKRD34A	9.497	ANKRD34A	19.3396
ANKRD35	7.0348	ANKRD35	181.6038
ANKRD36BP1	99.5427	ANKRD36BP1	250.4717
ANKRD36B	45.0229	ANKRD36B	83.0189
ANKRD36	143.5104	ANKRD36	311.7925
ANKRD37	84.8013	ANKRD37	228.6226
ANKRD39	131.9029	ANKRD39	101.4151
ANKRD40	2166.0218	ANKRD40	1601.8868
ANKRD42	942.3145	ANKRD42	320.283
