gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
ALDH4A1	172.0707	ALDH4A1	400.0599
ALDH5A1	1310.2432	ALDH5A1	676.8255
ALDH6A1	167.2144	ALDH6A1	276.2181
ALDH7A1	1617.1702	ALDH7A1	1682.5796
removed	removed	ALDH8A1	22.4172
ALDH9A1	6707.8113	ALDH9A1	2812.4902
ALDOA	12367.3545	ALDOA	8878.0539
ALDOC	65.2174	ALDOC	564.3087
ALG10B	221.4444	ALG10B	505.6792
ALG10	123.0656	ALG10	150.8847
ALG11	32.056	ALG11	11.6397
ALG12	766.3965	ALG12	394.0245
ALG13	511.0538	ALG13	517.75
ALG14	70.3758	ALG14	114.2412
ALG1	345.3721	ALG1	417.9548
ALG2	907.885	ALG2	870.389
ALG3	781.8718	ALG3	484.1242
ALG5	424.4657	ALG5	547.0647
ALG6	643.3309	ALG6	358.2433
ALG8	585.4827	ALG8	527.2341
ALG9	482.6824	ALG9	528.0963
ALKBH1	115.6964	ALKBH1	197.8745
ALKBH2	165.4385	ALKBH2	295.734
ALKBH3	125.6448	ALKBH3	287.5431
ALKBH4	154.4842	ALKBH4	178.7466
ALKBH5	1429.2189	ALKBH5	1813.0173
ALKBH6	76.2712	ALKBH6	61.6472
ALKBH7	91.7465	ALKBH7	240.5533
ALKBH8	293.294	ALKBH8	315.9956
removed	removed	ALK	8.622
ALMS1P	8.843	ALMS1P	8.1909
ALMS1	1796.6102	ALMS1	983.3369
ALOX12P2	39.0567	ALOX12P2	26.7281
ALOX15B	9.58	ALOX15B	121.1388
removed	removed	ALOX15	20.6928
ALOX5AP	429.2557	ALOX5AP	757.0099
ALOX5	457.6271	ALOX5	916.5166
ALPK1	3362.9329	ALPK1	974.715
ALPK2	114.9595	ALPK2	117.69
ALPK3	80.6927	ALPK3	108.637
ALPL	181.6507	ALPL	693.6384
ALS2CL	214.8121	ALS2CL	357.3811
ALS2CR11	27.6345	ALS2CR11	5.1732
ALS2CR4	516.2122	ALS2CR4	955.7466
ALS2CR8	163.9646	ALS2CR8	279.7833
ALS2	1026.1606	ALS2	660.8749
ALX3	14.3699	ALX3	28.4525
removed	removed	ALX4	20.2617
AMACR	273.0287	AMACR	190.1147
AMBRA1	1391.6728	AMBRA1	1011.7895
AMD1	1897.5682	AMD1	2844.8227
AMDHD1	5.1584	AMDHD1	17.244
AMDHD2	96.7833	AMDHD2	174.1425
AMFR	4925.2027	AMFR	2418.4657
AMICA1	72.2181	AMICA1	742.3526
AMIGO1	60.059	AMIGO1	119.8455
AMIGO2	175.748	AMIGO2	753.13
AMIGO3	48.6367	AMIGO3	75.4423
AMMECR1L	1012.5276	AMMECR1L	889.3573
AMMECR1	697.126	AMMECR1	370.3141
AMN1	90.6411	AMN1	170.7152
AMOTL1	350.4053	AMOTL1	2342.1612
AMOTL2	1636.3301	AMOTL2	1863.6412
AMOT	2331.6139	AMOT	1096.2849
removed	removed	AMPD1	44.4032
AMPD2	1066.3228	AMPD2	822.1059
AMPD3	514.3699	AMPD3	575.0861
AMPH	42.0044	AMPH	40.5233
AMTN	89.1673	AMTN	10.3464
AMT	56.157	AMT	177.1343
AMY1A	56.0059	AMY1A	27.5903
removed	removed	AMY2A	6.4665
AMY2B	175.9506	AMY2B	485.4865
AMZ1	6.6323	AMZ1	11.2086
AMZ2P1	203.7583	AMZ2P1	191.8391
AMZ2	2055.269	AMZ2	1092.405
ANAPC10	142.594	ANAPC10	128.0364
ANAPC11	579.9558	ANAPC11	409.113
ANAPC13	1115.21	ANAPC13	805.4267
ANAPC16	1089.1673	ANAPC16	2039.5296
ANAPC1	828.6662	ANAPC1	924.2764
ANAPC2	499.2631	ANAPC2	622.507
ANAPC4	664.7015	ANAPC4	744.077
ANAPC5	2336.4038	ANAPC5	2462.8689
ANAPC7	1380.2506	ANAPC7	978.5949
ANGEL1	397.9366	ANGEL1	702.2604
ANGEL2	634.1194	ANGEL2	834.6078
ANGPT1	62.2697	ANGPT1	246.1576
ANGPT2	169.4915	ANGPT2	312.9779
ANGPTL1	68.902	ANGPTL1	387.9891
ANGPTL2	387.6197	ANGPTL2	1492.0338
ANGPTL4	63.7436	ANGPTL4	326.342
ANGPTL5	23.213	removed	removed
removed	removed	ANGPTL6	11.187
removed	removed	ANGPTL7	31.0391
ANG	53.5851	ANG	119.0178
ANK1	14.3699	ANK1	100.4461
ANK2	93.5888	ANK2	1269.1556
ANK3	2626.3817	ANK3	1578.6847
removed	removed	ANKAR	48.2831
ANKDD1A	43.1098	ANKDD1A	115.1034
ANKFY1	1899.042	ANKFY1	3235.8295
ANKHD1-EIF4EBP3	767.6861	ANKHD1-EIF4EBP3	1182.121
ANKHD1	1464.1268	ANKHD1	2688.726
ANKH	4036.846	ANKH	2399.4973
ANKIB1	2833.0877	ANKIB1	1760.1774
ANKK1	7.7377	ANKK1	24.5726
ANKLE1	5.1584	ANKLE1	26.7281
ANKLE2	3596.168	ANKLE2	1807.1672
ANKMY1	200.0737	ANKMY1	275.4723
ANKMY2	303.2424	ANKMY2	525.0786
ANKRA2	149.9632	ANKRA2	280.6455
ANKRD10	730.748	ANKRD10	1989.0436
ANKRD11	4251.6102	ANKRD11	2880.8539
ANKRD12	1741.7097	ANKRD12	2235.2486
ANKRD13A	1210.0221	ANKRD13A	1965.8117
ANKRD13B	152.1739	ANKRD13B	196.5812
ANKRD13C	747.9735	ANKRD13C	699.2427
ANKRD13D	408.622	ANKRD13D	508.6969
ANKRD16	131.1717	ANKRD16	139.6761
ANKRD17	6943.2572	ANKRD17	4213.9933
ANKRD19	27.6345	ANKRD19	30.608
ANKRD1	98.7472	removed	removed
removed	removed	ANKRD20A3	6.4665
ANKRD20B	6.2638	ANKRD20B	9.0531
ANKRD22	999.2631	ANKRD22	123.7254
ANKRD23	39.0567	ANKRD23	56.0429
ANKRD24	8.843	ANKRD24	34.919
ANKRD26P1	14.3699	removed	removed
ANKRD26	316.8755	ANKRD26	325.9109
ANKRD27	1902.3581	ANKRD27	896.686
ANKRD28	1291.0833	ANKRD28	1413.5738
ANKRD29	8.4746	ANKRD29	206.9275
removed	removed	ANKRD30A	157.3512
removed	removed	ANKRD30B	15.9507
removed	removed	ANKRD31	6.0354
ANKRD32	126.7502	ANKRD32	180.1994
ANKRD34A	9.2115	ANKRD34A	21.9861
ANKRD34B	32.7929	ANKRD34B	12.933
removed	removed	ANKRD35	121.1388
ANKRD36BP1	476.787	ANKRD36BP1	340.5683
ANKRD36B	29.1083	ANKRD36B	62.0783
ANKRD36	246.1312	ANKRD36	442.7387
ANKRD37	86.706	ANKRD37	118.8842
ANKRD39	111.2749	ANKRD39	99.1528
ANKRD40	1617.1702	ANKRD40	1407.1073
ANKRD42	237.2881	ANKRD42	230.638
removed	removed	ANKRD43	50.8697
ANKRD44	259.7642	ANKRD44	427.2192
ANKRD45	78.1135	ANKRD45	17.244
ANKRD46	274.6279	ANKRD46	460.9958
ANKRD49	290.3464	ANKRD49	513.8701
ANKRD50	4682.3876	ANKRD50	1287.6929
ANKRD52	998.8946	ANKRD52	1651.9716
ANKRD53	9.9484	ANKRD53	17.6751
ANKRD54	348.1945	ANKRD54	269.0058
removed	removed	ANKRD55	35.3501
ANKRD56	120.4864	ANKRD56	103.4638
