gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
removed	removed	ANGPT4	18.0971
ANGPTL1	67.1169	ANGPTL1	736.1277
ANGPTL2	560.6026	ANGPTL2	7837.658
removed	removed	ANGPTL3	6.9195
ANGPTL4	219.3662	ANGPTL4	1315.2362
ANGPTL5	7.0649	ANGPTL5	44.1783
removed	removed	ANGPTL7	21.823
ANG	159.6039	ANG	1424.7345
ANK1	10.5974	ANK1	21.823
ANK2	361.0182	ANK2	3396.4072
ANK3	2395.7194	ANK3	609.98
ANKAR	39.5636	ANKAR	96.3407
ANKDD1A	81.6	ANKDD1A	111.2442
ANKFN1	30.026	removed	removed
ANKFY1	1605.5064	ANKFY1	2110.978
ANKHD1-EIF4EBP3	1460.7353	ANKHD1-EIF4EBP3	922.8583
ANKHD1	3389.6285	ANKHD1	2746.31
ANKH	1308.0727	ANKH	1911.9095
ANKIB1	2254.0674	ANKIB1	1737.8576
ANKK1	30.026	ANKK1	15.4358
ANKLE1	8.4779	ANKLE1	5.3227
ANKLE2	1390.7324	ANKLE2	1760.7452
ANKMY1	330.9922	ANKMY1	170.326
ANKMY2	889.4753	ANKMY2	871.8563
ANKRA2	557.0701	ANKRA2	409.847
ANKRD10	5515.5521	ANKRD10	1193.0912
ANKRD11	1528.1489	ANKRD11	1923.9281
ANKRD12	2671.9583	ANKRD12	2067.8643
ANKRD13A	1307.7194	ANKRD13A	1077.312
ANKRD13B	91.4909	ANKRD13B	128.2768
ANKRD13C	644.6753	ANKRD13C	906.4538
ANKRD13D	522.4519	ANKRD13D	228.8756
ANKRD16	239.1127	ANKRD16	144.1171
ANKRD17	4253.4439	ANKRD17	2899.8004
ANKRD19	25.787	ANKRD19	28.2102
ANKRD1	9.1844	removed	removed
ANKRD20A3	6.0052	ANKRD20A3	21.2908
ANKRD20B	17.6623	ANKRD20B	24.4844
ANKRD22	125.0352	ANKRD22	21.823
ANKRD23	61.4649	ANKRD23	28.2102
ANKRD24	47.3351	ANKRD24	17.5649
ANKRD26	1050.909	ANKRD26	364.6041
removed	removed	ANKRD27	875.5822
ANKRD28	1692.4051	ANKRD28	1221.5569
ANKRD29	61.4649	ANKRD29	372.0559
ANKRD30A	5159.8751	ANKRD30A	57.485
ANKRD30B	3477.3609	ANKRD30B	7.984
ANKRD31	7.4182	removed	removed
ANKRD32	236.6753	ANKRD32	185.7618
ANKRD34A	46.2753	ANKRD34A	13.839
ANKRD35	36.3844	ANKRD35	136.7931
ANKRD36BP1	134.587	ANKRD36BP1	175.1164
ANKRD36B	12.3636	ANKRD36B	66.0013
ANKRD36	147.6571	ANKRD36	200.6653
ANKRD37	125.6711	ANKRD37	97.9375
ANKRD39	52.2805	ANKRD39	74.5176
ANKRD40	1370.9506	ANKRD40	3759.9468
ANKRD42	560.2493	ANKRD42	297.5383
ANKRD43	14.1299	ANKRD43	102.1956
ANKRD44	103.5013	ANKRD44	141.5835
ANKRD45	6.7117	ANKRD45	10.1131
ANKRD46	571.8535	ANKRD46	1378.8955
ANKRD49	527.3974	ANKRD49	301.2641
ANKRD50	2487.2103	ANKRD50	988.9554
ANKRD52	1506.9506	ANKRD52	931.4704
