gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
ALMS1	365.0396	ALMS1	695.2563
ALOX12P2	15.4351	ALOX12P2	38.8117
ALOX12	6.9458	removed	removed
ALOX15B	44.7617	ALOX15B	2861.0446
removed	removed	ALOX15	12.9372
ALOX5AP	256.994	ALOX5AP	208.4332
ALOX5	715.4158	ALOX5	575.4672
ALOXE3	8.4893	ALOXE3	18.6871
ALPK1	885.2016	ALPK1	793.9626
removed	removed	ALPK2	19.6454
ALPK3	111.1325	ALPK3	106.8519
ALPL	2691.8773	ALPL	761.8591
ALS2CL	430.6386	ALS2CL	280.7858
ALS2CR4	776.3843	ALS2CR4	1413.5122
ALS2CR8	60.9686	ALS2CR8	239.5783
ALS2	473.8568	ALS2	659.3196
ALX3	10.8046	ALX3	33.0618
removed	removed	ALX4	19.6454
AMACR	268.5703	AMACR	359.3675
removed	removed	AMBP	11.4998
AMBRA1	497.0095	AMBRA1	1231.9118
AMD1	7411.9159	AMD1	1463.3445
removed	removed	AMDHD1	24.437
AMDHD2	294.7945	AMDHD2	221.5237
AMFR	1522.6703	AMFR	3576.9046
AMH	5.4023	removed	removed
AMICA1	442.9867	AMICA1	136.5597
AMIGO1	10.8046	AMIGO1	188.7877
AMIGO2	179.0469	AMIGO2	2984.667
AMIGO3	126.5676	AMIGO3	69.4777
AMMECR1L	515.5315	AMMECR1L	753.7135
AMMECR1	304.8428	AMMECR1	213.7039
AMN1	188.3079	AMN1	233.8285
AMN	39.3594	removed	removed
AMOTL1	703.0677	AMOTL1	2918.0642
AMOTL2	1903.1449	AMOTL2	2209.3915
AMOT	608.9138	AMOT	1205.0791
AMPD1	15.4351	AMPD1	11.9789
AMPD2	705.383	AMPD2	694.7772
AMPD3	339.5717	AMPD3	233.8285
AMPH	17.7503	AMPH	24.9161
AMT	61.7403	AMT	216.6459
AMY2B	161.1113	AMY2B	262.3814
AMZ1	13.1198	AMZ1	11.9789
AMZ2P1	196.7972	AMZ2P1	185.9128
AMZ2	1501.0612	AMZ2	1198.85
ANAPC10	168.2423	ANAPC10	144.7053
ANAPC11	2201.0419	ANAPC11	671.2985
ANAPC13	1075.7168	ANAPC13	1150.0815
ANAPC16	1781.9795	ANAPC16	2482.5108
ANAPC1	275.5161	ANAPC1	717.7767
ANAPC2	417.5188	ANAPC2	764.2549
ANAPC4	378.9311	ANAPC4	570.6756
ANAPC5	1861.4702	ANAPC5	2188.3086
ANAPC7	1287.2854	ANAPC7	925.7307
ANGEL1	334.9412	ANGEL1	659.7988
ANGEL2	758.634	ANGEL2	735.5055
ANGPT1	44.7617	ANGPT1	103.977
ANGPT2	197.569	ANGPT2	54.1447
ANGPTL1	17.7503	ANGPTL1	42.6449
ANGPTL2	865.9078	ANGPTL2	897.9396
ANGPTL4	728.5356	ANGPTL4	1107.3311
ANGPTL6	14.8948	removed	removed
removed	removed	ANGPTL7	61.3321
ANG	498.6764	ANG	523.0283
ANK1	32.4137	ANK1	7.6665
ANK2	169.0141	ANK2	161.955
ANK3	297.1252	ANK3	1443.2199
ANKAR	8.4893	ANKAR	29.2286
ANKDD1A	130.4264	ANKDD1A	77.1442
ANKFY1	889.8321	ANKFY1	2032.5827
ANKHD1-EIF4EBP3	446.3207	ANKHD1-EIF4EBP3	1500.7331
ANKHD1	1365.1862	ANKHD1	2215.4049
ANKH	2595.4081	ANKH	2569.2381
ANKIB1	926.8763	ANKIB1	1367.034
removed	removed	ANKK1	62.7695
ANKLE1	19.2938	ANKLE1	8.1457
ANKLE2	1095.8904	ANKLE2	1507.9061
ANKMY1	127.3394	ANKMY1	279.3483
ANKMY2	142.7745	ANKMY2	755.1509
ANKRA2	172.8729	ANKRA2	436.9909
ANKRD10	2640.409	ANKRD10	1228.3182
ANKRD11	2140.2971	ANKRD11	2367.1011
ANKRD12	1129.8476	ANKRD12	1395.3043
ANKRD13A	1048.8134	ANKRD13A	1579.7796
ANKRD13B	249.2765	ANKRD13B	83.8524
ANKRD13C	591.1634	ANKRD13C	567.3215
ANKRD13D	1641.5204	ANKRD13D	601.3416
ANKRD16	355.5779	ANKRD16	206.8759
ANKRD17	1021.802	ANKRD17	3154.2885
ANKRD19	43.2182	ANKRD19	34.4993
ANKRD1	11.5763	ANKRD1	50.3115
ANKRD20A3	9.261	ANKRD20A3	27.3119
removed	removed	ANKRD20A4	7.6665
ANKRD20B	9.261	ANKRD20B	11.0206
ANKRD22	434.4974	ANKRD22	89.6023
ANKRD23	25.4679	ANKRD23	42.1658
ANKRD24	23.1526	ANKRD24	34.9784
ANKRD26	135.8287	ANKRD26	253.4739
ANKRD27	689.9479	ANKRD27	863.4403
ANKRD28	731.6226	ANKRD28	1090.0815
ANKRD29	30.0984	ANKRD29	162.4341
removed	removed	ANKRD30A	1123.1433
removed	removed	ANKRD30B	74.7484
ANKRD32	98.7845	ANKRD32	167.2257
ANKRD34A	40.1312	ANKRD34A	26.3536
ANKRD35	32.4137	ANKRD35	211.7873
ANKRD36BP1	83.3494	ANKRD36BP1	162.9133
ANKRD36B	20.8374	ANKRD36B	19.6454
ANKRD36	225.3521	ANKRD36	160.5175
ANKRD37	56.6236	ANKRD37	123.2056
ANKRD39	307.158	ANKRD39	121.2266
ANKRD40	776.3843	ANKRD40	1439.8658
ANKRD42	84.1212	ANKRD42	356.4926
removed	removed	ANKRD43	156.2051
ANKRD44	32.4137	ANKRD44	75.7068
ANKRD45	17.7503	ANKRD45	17.7288
ANKRD46	405.1708	ANKRD46	568.0882
ANKRD49	356.5503	ANKRD49	284.1399
ANKRD50	467.6828	ANKRD50	1246.7657
ANKRD52	503.1835	ANKRD52	1363.6799
ANKRD53	9.261	ANKRD53	34.4993
ANKRD54	1074.2813	ANKRD54	465.2611
ANKRD55	13.1198	removed	removed
ANKRD56	24.6961	ANKRD56	151.8927
ANKRD57	208.3735	ANKRD57	887.3982
ANKRD58	58.6533	ANKRD58	17.2496
ANKRD5	142.7745	ANKRD5	250.1198
