gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
ANKAR	28.3332	ANKAR	44.9346
ANKDD1A	39.4513	ANKDD1A	95.1797
ANKFN1	10.4008	removed	removed
ANKFY1	1919.8422	ANKFY1	2176.8791
ANKHD1-EIF4EBP3	1742.3438	ANKHD1-EIF4EBP3	1133.9869
ANKHD1	3335.8487	ANKHD1	3262.018
ANKH	1699.6324	ANKH	1669.9346
ANKIB1	1552.9454	ANKIB1	1375.4085
removed	removed	ANKK1	43.7092
removed	removed	ANKLE1	14.2974
ANKLE2	1473.3256	ANKLE2	1764.2974
ANKMY1	269.7032	ANKMY1	246.732
ANKMY2	471.2633	ANKMY2	738.5621
ANKRA2	313.4583	ANKRA2	426.8791
ANKRD10	749.5131	ANKRD10	1129.3137
ANKRD11	1762.6289	ANKRD11	3116.2786
ANKRD12	1043.3067	ANKRD12	1491.8301
ANKRD13A	1329.8664	ANKRD13A	1802.6961
ANKRD13B	204.4293	ANKRD13B	156.4542
ANKRD13C	528.647	ANKRD13C	572.7124
ANKRD13D	347.8885	ANKRD13D	382.7614
ANKRD16	171.4947	ANKRD16	221.3194
ANKRD17	2190.2627	ANKRD17	4602.9412
ANKRD19	69.219	ANKRD19	52.2876
removed	removed	ANKRD20A3	25.7353
ANKRD20B	6.8143	ANKRD20B	8.5784
ANKRD22	83.565	ANKRD22	56.3725
ANKRD23	19.0083	ANKRD23	32.6797
ANKRD24	33.7129	ANKRD24	28.5948
ANKRD26	478.0776	ANKRD26	346.8137
ANKRD27	673.5408	ANKRD27	924.4281
ANKRD28	950.0583	ANKRD28	1549.0196
ANKRD29	49.8521	ANKRD29	167.4837
ANKRD30A	1802.5643	ANKRD30A	386.0294
ANKRD30B	149.1975	ANKRD30B	35.9477
removed	removed	ANKRD31	6.5359
ANKRD32	263.9649	ANKRD32	209.5588
ANKRD34A	7.173	ANKRD34A	24.1013
ANKRD35	48.4175	ANKRD35	216.0948
ANKRD36BP1	125.5268	ANKRD36BP1	163.8072
ANKRD36B	34.4302	ANKRD36B	69.0359
ANKRD36	78.1852	ANKRD36	259.3954
ANKRD37	42.4747	ANKRD37	170.7557
ANKRD39	145.9697	ANKRD39	105.8007
ANKRD40	957.5899	ANKRD40	1490.6046
ANKRD42	519.3222	ANKRD42	258.5784
ANKRD43	470.1874	ANKRD43	51.0621
ANKRD44	91.8139	ANKRD44	66.1765
ANKRD45	5.0211	ANKRD45	17.1569
ANKRD46	488.8335	ANKRD46	463.3824
ANKRD49	263.2476	ANKRD49	314.5425
ANKRD50	3379.8978	ANKRD50	1486.1111
ANKRD52	2083.7443	ANKRD52	1626.2255
ANKRD53	11.1181	ANKRD53	17.1569
ANKRD54	305.2094	ANKRD54	373.7745
ANKRD56	131.2651	ANKRD56	105.3922
ANKRD57	743.8357	ANKRD57	862.7451
ANKRD58	25.1054	ANKRD58	8.9869
