gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
ANKRD45	33.033	ANKRD45	6.3001
ANKRD46	538.5385	ANKRD46	1144.1341
ANKRD49	204.7047	ANKRD49	200.8605
ANKRD50	1452.4525	ANKRD50	902.3899
ANKRD52	651.6517	ANKRD52	1202.9395
ANKRD53	14.014	ANKRD53	216.4253
ANKRD54	826.3263	ANKRD54	227.1725
ANKRD56	11.011	removed	removed
ANKRD57	672.1722	ANKRD57	394.3092
ANKRD5	401.4014	ANKRD5	283.1318
ANKRD6	213.2533	ANKRD6	257.8204
ANKRD9	17.5175	ANKRD9	68.93
ANKS1A	728.7287	ANKS1A	931.2961
ANKS1B	58.0581	ANKS1B	28.5355
ANKS3	77.5776	ANKS3	103.0244
removed	removed	ANKS6	431.7389
ANKZF1	415.4154	ANKZF1	394.3092
ANLN	526.026	ANLN	22.6061
ANO10	2302.3023	ANO10	1324.4935
ANO1	6144.6446	ANO1	546.6222
