gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
TRPM7	1250.846	TRPM7	1513.1419
removed	removed	TRPM8	6.4699
TRPS1	1962.775	TRPS1	5595.2285
TRPT1	243.2318	TRPT1	323.0894
TRPV1	126.1421	TRPV1	306.1059
TRPV2	279.6108	TRPV2	114.8403
TRPV3	10.8164	removed	removed
TRPV4	33.4179	TRPV4	245.0465
TRPV6	52.4535	TRPV6	446.8257
TRRAP	2749.0948	TRRAP	2696.85
TRUB1	646.7851	TRUB1	446.8257
TRUB2	453.4687	TRUB2	494.1367
TSC1	782.5719	TSC1	1835.8269
TSC22D1	3739.4247	TSC22D1	6042.8629
TSC22D2	543.1472	TSC22D2	321.4719
TSC22D3	3554.5685	TSC22D3	2955.924
TSC22D4	659.8985	TSC22D4	1164.1731
TSC2	2499.577	TSC2	2337.2422
TSEN15	868.0203	TSEN15	420.9462
TSEN2	123.9425	TSEN2	191.67
TSEN34	747.8849	TSEN34	727.8609
TSEN54	708.9679	TSEN54	366.3567
TSFM	662.4365	TSFM	421.3506
TSG101	930.203	TSG101	1304.0841
TSGA10	51.6074	TSGA10	132.2281
TSGA14	254.6531	TSGA14	262.8387
TSHR	19.8816	TSHR	16.1747
TSHZ1	972.5042	TSHZ1	1281.4395
TSHZ2	332.4873	TSHZ2	658.3097
TSHZ3	424.7039	TSHZ3	549.535
TSIX	63.0118	TSIX	14.9737
TSKU	4022.8426	TSKU	1259.6037
TSLP	23.2657	TSLP	89.3651
TSNARE1	123.0964	TSNARE1	259.6037
TSNAXIP1	12.2673	TSNAXIP1	38.0105
TSNAX	1752.187	TSNAX	883.8738
TSN	1954.3147	TSN	2077.2341
TSPAN10	15.6514	TSPAN10	11.3223
TSPAN11	296.1083	TSPAN11	361.0999
TSPAN12	271.9966	TSPAN12	215.1233
TSPAN13	2898.4772	TSPAN13	1725.4347
TSPAN14	2306.6836	TSPAN14	2567.7315
TSPAN15	1920.8968	TSPAN15	744.8443
TSPAN17	988.1557	TSPAN17	468.6615
TSPAN18	782.9949	TSPAN18	423.3724
TSPAN1	1000.846	TSPAN1	202.1836
TSPAN2	219.1201	TSPAN2	268.0954
TSPAN31	898.9002	TSPAN31	1122.9276
TSPAN32	16.4975	TSPAN32	27.9013
TSPAN33	343.0626	TSPAN33	374.444
TSPAN3	3533.8409	TSPAN3	2638.0914
TSPAN4	812.1827	TSPAN4	707.2382
TSPAN5	36.379	TSPAN5	232.1068
TSPAN6	479.6954	TSPAN6	1248.6858
TSPAN7	810.4907	TSPAN7	938.1318
TSPAN8	1382.8257	TSPAN8	158.5119
TSPAN9	1290.6091	TSPAN9	1253.9426
TSPO	717.4281	TSPO	1108.7748
TSPYL1	1795.8629	TSPYL1	2590.3518
TSPYL2	557.5296	TSPYL2	1443.5908
TSPYL3	11.4213	TSPYL3	49.7372
TSPYL4	616.3283	TSPYL4	1356.6518
TSPYL5	1013.1134	TSPYL5	1030.3275
TSR1	994.1497	TSR1	1357.1047
TSR2	797.3773	TSR2	561.666
TSSC1	489.4247	TSSC1	259.6037
TSSC4	292.7242	TSSC4	289.1225
TSSK3	20.5372	TSSK3	83.2835
TSSK4	13.5364	TSSK4	27.9013
TSSK6	22.8426	TSSK6	28.3057
TSTA3	1463.198	TSTA3	643.7525
TSTD1	1601.5228	TSTD1	618.6818
TSTD2	435.0169	TSTD2	794.9818
TST	401.8613	TST	293.9749
removed	removed	TTBK1	10.5135
TTBK2	226.3113	TTBK2	299.6361
TTC12	209.8139	TTC12	543.0651
TTC13	363.7902	TTC13	276.5871
TTC14	889.1709	TTC14	1331.1767
TTC15	576.1421	TTC15	574.6057
TTC16	8.4602	removed	removed
TTC17	1341.7936	TTC17	2189.6482
TTC18	97.1024	TTC18	247.1533
TTC19	784.0398	TTC19	1583.0975
TTC1	831.2183	TTC1	820.8653
TTC21A	104.0609	TTC21A	131.015
TTC21B	447.9653	TTC21B	691.4638
TTC22	11.4213	TTC22	95.4307
removed	removed	TTC23L	11.7266
TTC23	416.6667	TTC23	573.3926
TTC25	27.9188	TTC25	20.6227
TTC26	195.0085	TTC26	116.0534
TTC27	367.5973	TTC27	557.6223
TTC28	902.8553	TTC28	1447.0319
TTC30A	484.7716	TTC30A	333.6029
TTC30B	319.3739	TTC30B	255.1557
TTC31	409.0525	TTC31	614.2337
TTC32	24.5347	TTC32	60.6551
TTC33	347.2927	TTC33	458.5524
TTC35	614.2132	TTC35	697.9377
TTC36	25.3807	TTC36	10.5135
TTC37	2159.0525	TTC37	2624.3429
TTC38	493.6548	TTC38	563.6878
TTC39A	3226.3113	TTC39A	1408.8152
TTC39B	126.4805	TTC39B	121.3101
TTC39C	1438.6633	TTC39C	478.3664
TTC3	6286.802	TTC3	8095.4307
TTC4	611.5144	TTC4	577.3069
TTC5	193.7394	TTC5	234.533
TTC7A	826.9628	TTC7A	642.6486
TTC7B	461.5059	TTC7B	346.1383
TTC8	642.978	TTC8	719.7736
TTC9C	230.9645	TTC9C	322.685
TTC9	164.1286	TTC9	720.1779
TTF1	262.6904	TTF1	483.6231
TTF2	512.6904	TTF2	403.9628
TTK	87.1404	TTK	37.2018
TTLL10	5.4992	TTLL10	6.0655
TTLL11	47.3773	TTLL11	117.6708
TTLL12	2134.0948	TTLL12	1330.7723
TTLL13	10.1692	TTLL13	8.7384
TTLL1	92.2166	TTLL1	245.0465
TTLL3	458.9171	TTLL3	1380.3599
TTLL4	351.0998	TTLL4	876.2636
TTLL5	576.1421	TTLL5	758.9972
TTLL7	170.8968	TTLL7	79.256
removed	removed	TTLL9	19.814
TTL	748.731	TTL	473.1096
TTN	156.231	TTN	334.2135
TTPAL	510.5753	TTPAL	518.3987
removed	removed	TTPA	10.9179
TTYH1	29.6108	TTYH1	909.8261
TTYH2	219.3105	TTYH2	375.366
TTYH3	1840.5245	TTYH3	782.8548
TUBA1A	3219.6743	TUBA1A	4203.1702
TUBA1B	13649.247	TUBA1B	10406.4133
TUBA1C	4612.5212	TUBA1C	1225.2325
TUBA3C	17.3435	removed	removed
TUBA3D	244.0778	TUBA3D	5.2568
TUBA3E	98.9848	removed	removed
TUBA4A	585.4484	TUBA4A	962.3939
TUBA8	49.9154	TUBA8	52.1391
removed	removed	TUBAL3	8.8961
TUBB1	7.1912	TUBB1	19.814
TUBB2A	337.5635	TUBB2A	655.0748
TUBB2B	6.8147	TUBB2B	111.201
TUBB2C	3651.4382	TUBB2C	2300.0404
TUBB3	160.7445	TUBB3	57.2543
TUBB4	17.3435	TUBB4	31.5406
TUBB6	1691.324	TUBB6	1322.4707
removed	removed	TUBBP5	53.7808
TUBB	21398.9002	TUBB	16346.5427
TUBD1	211.9289	TUBD1	243.0247
TUBE1	133.6717	TUBE1	266.8823
TUBG1	2126.0575	TUBG1	672.867
TUBG2	266.4975	TUBG2	562.0704
TUBGCP2	1525.3003	TUBGCP2	1500.5095
TUBGCP3	609.9831	TUBGCP3	773.5544
TUBGCP4	514.8054	TUBGCP4	376.0615
TUBGCP5	371.4044	TUBGCP5	468.6615
TUBGCP6	614.6362	TUBGCP6	1477.5576
TUB	371.8274	TUB	718.1561
TUFM	6429.357	TUFM	2989.0821
TUFT1	3129.0186	TUFT1	440.7602
TUG1	3556.2606	TUG1	6446.4214
TULP3	740.6937	TULP3	893.6514
TULP4	1070.22	TULP4	849.9798
TUSC1	192.4704	TUSC1	315.002
TUSC2	731.8105	TUSC2	507.4808
TUSC3	708.5448	TUSC3	795.7946
TUSC5	3857.868	TUSC5	665.5884
TUT1	439.5093	TUT1	565.3053
TWF1	2410.3215	TWF1	1372.0178
TWF2	969.0482	TWF2	540.4003
TWIST1	335.4484	TWIST1	157.2988
TWIST2	61.3367	TWIST2	40.8411
TWISTNB	431.4721	TWISTNB	583.5018
TWSG1	1165.3976	TWSG1	800.647
TXK	13.9594	TXK	8.8961
TXLNA	2282.5719	TXLNA	2299.2317
TXLNB	70.22	TXLNB	109.9879
TXLNG	376.9036	TXLNG	315.8108
TXN2	1126.4805	TXN2	1627.9822
TXNDC11	1495.7699	TXNDC11	1408.8152
TXNDC12	1281.3029	TXNDC12	1149.6159
TXNDC15	1215.736	TXNDC15	1221.9976
TXNDC16	652.2843	TXNDC16	455.7218
TXNDC17	505.9222	TXNDC17	311.0675
TXNDC5	6026.5863	TXNDC5	9987.1088
removed	removed	TXNDC6	7.683
TXNDC9	538.4941	TXNDC9	423.3724
TXNIP	34603.6379	TXNIP	33525.2729
TXNL1	1323.6041	TXNL1	1238.1723
TXNL4A	777.0728	TXNL4A	486.8581
TXNL4B	152.2843	TXNL4B	321.0675
TXNRD1	2785.11	TXNRD1	1378.4877
TXNRD2	270.3046	TXNRD2	363.5261
TXNRD3IT1	184.0102	TXNRD3IT1	306.9147
TXN	1012.6904	TXN	1211.484
TYK2	1482.2335	TYK2	1278.2046
TYMP	1499.154	TYMP	202.1836
TYMS	359.632	TYMS	152.9761
TYRO3	708.5448	TYRO3	228.8718
TYROBP	741.9628	TYROBP	368.7829
TYRP1	61.3367	removed	removed
TYSND1	735.1946	TYSND1	605.3376
TYW1B	87.9865	TYW1B	88.152
TYW1	757.6142	TYW1	590.7804
TYW3	440.8291	TYW3	816.3607
U2AF1L4	134.9408	U2AF1L4	167.7355
U2AF1	986.8866	U2AF1	1059.442
U2AF2	2801.6074	U2AF2	2015.366
UACA	2177.242	UACA	2582.2887
UAP1L1	539.3401	UAP1L1	375.6571
UAP1	1374.3655	UAP1	1137.8892
UBA1	7368.8663	UBA1	6360.2911
UBA2	2305.8376	UBA2	1983.0166
UBA3	895.5161	UBA3	843.1055
UBA52	7403.9763	UBA52	11621.108
UBA5	570.698	UBA5	748.9082
UBA6	1106.599	UBA6	966.0332
UBA7	657.3604	UBA7	1238.981
UBAC1	690.3553	UBAC1	594.4197
UBAC2	1349.264	UBAC2	1416.8338
UBAP1	898.0541	UBAP1	1474.7271
UBAP2L	4181.0491	UBAP2L	3712.4949
UBAP2	574.4501	UBAP2	1115.649
UBASH3A	71.066	UBASH3A	46.0979
UBASH3B	158.2064	UBASH3B	151.6377
UBB	10333.3333	UBB	11114.4359
UBC	28590.1015	UBC	25903.7606
UBD	301.1844	UBD	218.3583
UBE2A	1130.2876	UBE2A	877.0724
UBE2B	1041.4552	UBE2B	1004.0437
UBE2CBP	41.0321	UBE2CBP	70.3599
UBE2C	384.5178	UBE2C	23.0489
UBE2D1	381.5567	UBE2D1	239.3854
UBE2D2	1382.4027	UBE2D2	1247.4727
UBE2D3	4083.3333	UBE2D3	4836.6357
UBE2D4	204.8985	UBE2D4	339.5269
UBE2E1	1262.2673	UBE2E1	1139.911
UBE2E2	298.6464	UBE2E2	314.1933
UBE2E3	492.3858	UBE2E3	1158.5119
UBE2F	553.7225	UBE2F	327.5374
UBE2G1	829.9492	UBE2G1	1205.0142
UBE2G2	1367.5973	UBE2G2	1650.6268
UBE2H	1883.2487	UBE2H	1289.5269
UBE2I	2401.4382	UBE2I	1635.2608
UBE2J1	1568.5279	UBE2J1	2065.5075
UBE2J2	729.6954	UBE2J2	521.2293
UBE2K	1921.3198	UBE2K	1596.8459
UBE2L3	1132.8257	UBE2L3	1558.8354
UBE2L6	1467.8511	UBE2L6	1179.539
UBE2MP1	69.797	UBE2MP1	58.6332
UBE2M	792.7242	UBE2M	549.535
UBE2NL	7.6142	removed	removed
UBE2N	1385.3638	UBE2N	1230.8937
UBE2O	1289.3401	UBE2O	933.6838
UBE2Q1	2244.0778	UBE2Q1	1556.8136
UBE2Q2P1	22.4196	UBE2Q2P1	65.1031
UBE2Q2	971.2352	UBE2Q2	1042.0542
UBE2QL1	50.3384	UBE2QL1	97.0481
UBE2R2	1303.2995	UBE2R2	1698.3421
UBE2S	392.978	UBE2S	70.3599
UBE2T	366.7513	UBE2T	40.4367
UBE2V1	2124.3401	UBE2V1	2787.7072
UBE2V2	618.4433	UBE2V2	545.4913
UBE2W	661.1675	UBE2W	545.8957
UBE2Z	3607.445	UBE2Z	2256.3688
UBE3A	1950.5076	UBE3A	2256.3688
UBE3B	1419.2047	UBE3B	1556.8136
UBE3C	2229.2724	UBE3C	1929.6401
UBE4A	1760.5753	UBE4A	2103.9224
UBE4B	1532.9949	UBE4B	2397.4929
UBFD1	2331.2183	UBFD1	1388.5968
UBIAD1	754.2301	UBIAD1	667.6102
UBL3	2140.0169	UBL3	1371.2091
UBL4A	1013.1134	UBL4A	888.799
UBL4B	10.5753	UBL4B	11.3223
UBL5	1758.0372	UBL5	949.0497
UBL7	783.4179	UBL7	881.1161
UBLCP1	535.956	UBLCP1	603.7202
UBN1	2836.2944	UBN1	1665.184
UBN2	925.1269	UBN2	1239.7897
UBOX5	288.8706	UBOX5	494.4642
UBP1	2682.7411	UBP1	2343.7121
UBQLN1	2649.7462	UBQLN1	3167.0036
UBQLN2	1198.8156	UBQLN2	1659.5228
UBQLN4	2061.3367	UBQLN4	1238.5766
UBQLNL	7.6142	UBQLNL	13.3441
UBR1	1110.8291	UBR1	1062.2725
UBR2	1119.7124	UBR2	1283.8658
UBR3	1928.511	UBR3	1557.6223
UBR4	5656.9374	UBR4	5120.5014
UBR5	3429.78	UBR5	5140.7198
UBR7	1450.0846	UBR7	1239.7897
UBTD1	315.5668	UBTD1	139.5067
UBTD2	1263.1134	UBTD2	915.0829
UBTF	3143.824	UBTF	2131.015
UBXN10	14.8054	UBXN10	197.7355
UBXN11	267.7665	UBXN11	506.2677
UBXN1	1079.5262	UBXN1	1260.0081
UBXN2A	295.2623	UBXN2A	322.685
UBXN2B	672.5888	UBXN2B	797.8164
UBXN4	3487.3096	UBXN4	3127.78
UBXN6	1740.6937	UBXN6	1201.7792
UBXN7	568.9509	UBXN7	625.1516
UBXN8	299.0694	UBXN8	128.9931
UCA1	6.3452	UCA1	14.5572
UCHL1	88.8325	UCHL1	29.1144
UCHL3	219.9662	UCHL3	264.0518
UCHL5	671.1929	UCHL5	358.4311
UCK1	497.4619	UCK1	663.5665
UCK2	422.1658	UCK2	403.5584
UCKL1AS	35.9052	UCKL1AS	24.7958
UCKL1	375.6345	UCKL1	607.3474
UCN2	5.9222	UCN2	14.1529
removed	removed	UCP1	6.8742
UCP2	3768.6125	UCP2	1335.2204
UCP3	10.9983	UCP3	20.2184
UEVLD	341.7936	UEVLD	314.5977
UFC1	2552.4535	UFC1	1872.22
UFD1L	791.8782	UFD1L	881.1039
UFM1	1845.6007	UFM1	1711.2818
UFSP1	29.6108	UFSP1	10.9179
UFSP2	593.2064	UFSP2	816.8621
UGCG	502.9611	UGCG	404.7715
UGDH	11281.3029	UGDH	1049.7372
UGGT1	2661.1675	UGGT1	1850.3841
UGGT2	617.5973	UGGT2	539.0214
UGP2	2850.6768	UGP2	2660.7359
UGT1A6	5.6261	removed	removed
UGT1A7	7.0008	removed	removed
removed	removed	UGT2B11	136.0493
UGT2B15	10.5753	UGT2B15	25.4751
removed	removed	UGT2B28	143.5503
removed	removed	UGT2B7	16.1747
removed	removed	UGT3A2	7.2786
UGT8	6.7682	UGT8	256.3688
UHMK1	1450.0846	UHMK1	625.556
UHRF1BP1L	895.9391	UHRF1BP1L	595.6328
UHRF1BP1	1398.0541	UHRF1BP1	710.4731
UHRF1	392.132	UHRF1	28.3057
UHRF2	488.1557	UHRF2	1009.7048
UIMC1	333.3333	UIMC1	423.3724
ULBP3	9.7293	ULBP3	29.9232
ULK1	1575.2961	ULK1	1343.7121
ULK2	2024.5347	ULK2	699.5552
ULK3	497.4619	ULK3	810.3518
ULK4	53.7225	ULK4	61.4638
removed	removed	UMODL1	12.5354
UMPS	555.4146	UMPS	544.2782
UNC119B	992.8088	UNC119B	2142.3372
UNC119	142.978	UNC119	576.6276
UNC13A	26.6497	UNC13A	7.683
UNC13B	618.0203	UNC13B	1168.2167
removed	removed	UNC13C	10.9179
UNC13D	241.9628	UNC13D	296.4011
UNC45A	1841.7936	UNC45A	1657.9054
UNC50	521.1506	UNC50	589.163
UNC5A	24.9577	UNC5A	28.7101
UNC5B	1175.5499	UNC5B	435.0991
UNC5CL	64.8393	UNC5CL	62.0582
UNC5C	29.1878	UNC5C	110.7966
removed	removed	UNC5D	5.2568
UNC93B1	574.0271	UNC93B1	534.5734
UNG	787.225	UNG	864.9414
UNKL	562.1912	UNKL	653.053
UNK	606.176	UNK	929.6401
UPF0639	39.7631	removed	removed
UPF1	2465.736	UPF1	2674.0801
UPF2	996.6159	UPF2	1289.1225
UPF3A	469.1201	UPF3A	602.9114
UPF3B	225.4653	UPF3B	271.3304
removed	removed	UPK2	6.8742
UPK3A	6.7682	UPK3A	33.1581
UPK3BL	99.3274	UPK3BL	67.0562
removed	removed	UPK3B	5.6611
UPP1	114.6362	UPP1	76.4254
UPRT	410.3215	UPRT	211.484
UQCC	863.3672	UQCC	1018.1965
UQCR10	703.8917	UQCR10	800.2426
UQCR11	1214.467	UQCR11	728.6696
UQCRB	1929.78	UQCRB	3008.0873
UQCRC1	3048.6464	UQCRC1	2009.3004
UQCRC2	4428.088	UQCRC2	4510.7157
UQCRFS1	1277.4958	UQCRFS1	1129.8019
UQCRHL	326.1421	UQCRHL	266.8823
UQCRH	1458.9679	UQCRH	1243.429
UQCRQ	1191.2014	UQCRQ	803.8819
URB1	1115.9602	URB1	1859.3166
URB2	543.5702	URB2	305.7016
URGCP	818.1049	URGCP	854.4278
URM1	758.0372	URM1	1013.3441
UROD	1282.9949	UROD	1253.9426
UROS	634.0948	UROS	530.5297
USE1	212.775	USE1	243.429
USF1	1198.8156	USF1	709.26
USF2	1732.2335	USF2	1270.926
removed	removed	USH1C	13.7485
removed	removed	USH2A	6.4699
USHBP1	124.7885	USHBP1	90.5782
USMG5	595.6007	USMG5	503.4371
USO1	2437.8173	USO1	2810.3518
USP10	1216.1591	USP10	1784.4723
USP11	1009.3063	USP11	2145.9765
USP12	455.1607	USP12	376.8702
USP13	658.2064	USP13	649.0093
USP14	2670.4738	USP14	1095.4307
USP15	940.3553	USP15	1059.442
USP16	1135.3638	USP16	1241.4072
USP18	423.8579	USP18	202.1836
USP19	1595.1777	USP19	2039.2236
USP1	1303.7225	USP1	1325.1112
USP20	464.467	USP20	828.144
USP21	495.3469	USP21	630.4084
USP22	9803.2995	USP22	6704.812
USP24	2134.5178	USP24	2299.6361
USP25	1049.9154	USP25	1395.4711
USP27X	148.9002	USP27X	178.7303
USP28	415.3976	USP28	628.3866
USP2	21.1506	USP2	124.5451
USP30	618.0203	USP30	716.1342
USP31	689.5093	USP31	1598.4634
USP32	3054.5685	USP32	1243.8334
USP33	1756.3452	USP33	1714.1124
USP34	3700.9306	USP34	4596.4416
USP35	200.5076	USP35	119.2883
USP36	1423.4349	USP36	1527.6992
USP37	785.533	USP37	660.3316
USP38	1134.5178	USP38	636.4739
USP39	1152.2843	USP39	1034.7756
USP3	886.5948	USP3	558.3744
USP40	1071.912	USP40	1200.5661
USP42	374.3655	USP42	456.9349
USP43	64.7208	USP43	173.4735
USP44	19.0355	USP44	53.7808
USP45	174.7039	USP45	215.1233
USP46	555.4146	USP46	673.2713
USP47	1595.6007	USP47	2663.5665
USP48	1286.802	USP48	1492.5192
USP49	50.3384	USP49	42.4586
USP4	1249.154	USP4	1776.7893
USP51	59.2217	USP51	96.6438
USP53	1198.8156	USP53	1491.7105
USP54	931.0491	USP54	1673.2713
USP5	2883.6717	USP5	1201.3748
USP6NL	500.423	USP6NL	689.8504
USP6	47.8003	USP6	135.8674
USP7	4834.6024	USP7	3247.4727
USP8	1623.7014	USP8	1561.4719
USP9X	5807.5296	USP9X	4078.4472
USPL1	456.0068	USPL1	762.2321
UST	231.3875	UST	325.9199
UTP11L	522.8426	UTP11L	479.9838
UTP14A	406.0914	UTP14A	561.666
UTP14C	1771.5736	UTP14C	1357.0562
UTP15	323.181	UTP15	323.4937
UTP18	1064.7208	UTP18	671.2495
UTP20	980.9645	UTP20	1127.78
UTP23	408.2064	UTP23	554.7918
UTP3	678.088	UTP3	556.4092
UTP6	673.8579	UTP6	718.9648
UTRN	4326.5651	UTRN	5088.152
UTS2D	10.5753	removed	removed
removed	removed	UTS2R	5.6611
UVRAG	1030.8799	UVRAG	804.2863
UXS1	848.5618	UXS1	545.8957
UXT	631.0787	UXT	1140.4125
VAC14	713.621	VAC14	1024.6664
VAMP1	192.3942	VAMP1	501.3506
VAMP2	1188.2403	VAMP2	2976.5467
VAMP3	2624.7885	VAMP3	2396.6842
VAMP4	581.2183	VAMP4	544.2782
VAMP5	402.2843	VAMP5	315.8108
VAMP7	1318.5279	VAMP7	853.2147
VAMP8	1679.357	VAMP8	1468.2572
VANGL1	1359.9831	VANGL1	547.9175
VANGL2	148.0541	VANGL2	1352.2038
VAPA	2510.5753	VAPA	3249.0902
VAPB	1026.2267	VAPB	1158.9163
VARS2	1077.8807	VARS2	408.0065
VARS	1843.0626	VARS	1489.2843
VASH1	1371.1675	VASH1	543.1824
VASH2	130.2876	VASH2	176.7085
VASN	360.8291	VASN	347.3514
VASP	1388.3249	VASP	1317.8326
VAT1L	10.1523	VAT1L	92.6001
VAT1	6178.511	VAT1	4588.7586
VAV1	251.269	VAV1	112.8184
VAV2	569.3739	VAV2	663.1622
VAV3	3000	VAV3	1484.0275
VAX2	7.6142	VAX2	16.5791
VBP1	872.2504	VBP1	620.2992
VCAM1	1097.7157	VCAM1	1165.7905
VCAN	14387.4788	VCAN	2140.3154
VCL	5020.3046	VCL	6064.2944
VCPIP1	1220.8122	VCPIP1	717.3474
VCP	6255.0761	VCP	5234.1286
VDAC1	4441.6244	VDAC1	3079.6603
VDAC2	1220.8122	VDAC2	1523.6555
VDAC3	1305.4146	VDAC3	1388.5968
VDR	1440.3553	VDR	933.2794
VEGFA	2111.2521	VEGFA	893.6514
VEGFB	1631.5567	VEGFB	1033.5625
VEGFC	248.731	VEGFC	154.0639
VENTX	12.2673	VENTX	28.7101
VEPH1	30.8799	VEPH1	134.6543
VEZF1	3085.4484	VEZF1	2204.2054
VEZT	1976.3113	VEZT	1359.4824
removed	removed	VGLL1	293.5706
VGLL3	660.3215	VGLL3	417.3069
VGLL4	1852.077	VGLL4	2610.093
VHL	1059.6447	VHL	1055.8027
VILL	165.3976	VILL	235.3417
VIM	33383.1134	VIM	28027.1249
VIPAR	484.3486	VIPAR	612.6163
VIPR1	151.0152	VIPR1	1052.9721
VIPR2	33.4475	VIPR2	59.4945
removed	removed	VIP	7.2786
VIT	134.0948	VIT	673.2713
VKORC1L1	2030.8799	VKORC1L1	1232.9155
VKORC1	1353.1176	VKORC1	845.5317
VLDLR	129.8646	VLDLR	463.0004
VMA21	846.8697	VMA21	931.6619
VMAC	128.5956	VMAC	141.1241
VMO1	6.3452	VMO1	9.7048
VN1R1	14.3824	VN1R1	26.2839
VNN1	35.956	VNN1	34.7756
VNN2	22.4196	VNN2	21.8358
VOPP1	1545.2623	VOPP1	486.8581
VPRBP	1154.9323	VPRBP	1249.353
VPREB3	6.3452	VPREB3	6.0655
VPS11	1016.9205	VPS11	1516.3769
VPS13A	706.4298	VPS13A	1349.7776
VPS13B	1342.2166	VPS13B	1424.1812
VPS13C	2667.5127	VPS13C	2314.5977
VPS13D	2679.357	VPS13D	3274.9697
VPS16	961.0829	VPS16	754.9535
VPS18	1018.1895	VPS18	622.3211
VPS24	2592.6396	VPS24	3602.1027
VPS25	1219.9662	VPS25	797.8164
VPS26A	1542.3012	VPS26A	1479.9838
VPS26B	1242.3858	VPS26B	1648.6049
VPS28	1420.8968	VPS28	1729.074
VPS29	815.9898	VPS29	754.5491
VPS33A	633.4095	VPS33A	490.2386
VPS33B	279.1878	VPS33B	310.554
VPS35	2112.9442	VPS35	3020.6227
VPS36	1079.9492	VPS36	1985.4428
VPS37A	1025.9687	VPS37A	685.7501
VPS37B	571.066	VPS37B	889.6078
VPS37C	530.8799	VPS37C	742.8225
VPS37D	48.2234	VPS37D	45.6935
VPS39	2036.379	VPS39	2496.1585
VPS41	1349.8308	VPS41	1381.7226
VPS45	2503.3841	VPS45	852.406
VPS4A	1452.6227	VPS4A	1631.6215
VPS4B	1441.2014	VPS4B	1782.0461
VPS52	1112.5212	VPS52	1456.9349
VPS53	747.0389	VPS53	1153.6595
VPS54	880.7107	VPS54	974.9292
VPS72	1738.1557	VPS72	675.2932
VPS8	832.9103	VPS8	872.22
VRK1	282.1489	VRK1	214.3146
VRK2	531.2183	VRK2	448.7788
VRK3	589.2555	VRK3	634.4521
VSIG10L	20.3046	VSIG10L	53.3765
VSIG10	445.4315	VSIG10	494.9454
VSIG1	9.3063	VSIG1	5.6611
VSIG2	6.3452	VSIG2	283.057
VSIG4	359.1371	VSIG4	219.9757
VSNL1	78.2572	VSNL1	308.1278
VSTM2L	93.4856	VSTM2L	16.1747
VTA1	736.8866	VTA1	913.0611
VTCN1	19.4585	VTCN1	4923.1702
VTI1A	481.1591	VTI1A	409.8221
VTI1B	1130.1734	VTI1B	936.5912
VTN	5.9222	VTN	9.3004
VWA1	994.9239	VWA1	783.6636
VWA2	445.8545	VWA2	384.9575
removed	removed	VWA3B	6.4699
VWA5A	834.6024	VWA5A	1497.776
VWA5B2	23.2657	removed	removed
VWCE	18.1895	VWCE	23.0489
removed	removed	VWDE	92.1957
VWF	16346.0237	VWF	4421.3506
WAC	3050.7614	WAC	4248.6858
WAPAL	1713.621	WAPAL	1896.0776
WARS2	290.368	WARS2	448.8476
WARS	2694.1624	WARS	1819.2479
WASF1	175.1269	WASF1	288.7182
WASF2	5761.8443	WASF2	7568.9446
WASF3	480.5415	WASF3	611.4032
WASH2P	225.8883	WASH2P	257.1775
WASH3P	154.3993	WASH3P	231.7024
WASH5P	114.6362	WASH5P	117.2665
WASH7P	686.5482	WASH7P	1357.4606
WASL	1883.2487	WASL	1784.8767
WAS	214.044	WAS	99.8787
WBP11P1	10.1523	WBP11P1	12.5354
WBP11	2174.2809	WBP11	2379.2964
WBP1	1591.4086	WBP1	1542.0097
removed	removed	WBP2NL	25.0708
WBP2	2976.7343	WBP2	3579.0538
WBP4	260.5753	WBP4	353.8213
WBP5	536.802	WBP5	610.1901
WBSCR16	894.247	WBSCR16	659.5228
WBSCR17	50.7614	WBSCR17	37.6061
WBSCR22	1383.2657	WBSCR22	822.5273
WBSCR26	9.7293	removed	removed
WBSCR27	124.7885	WBSCR27	82.0865
WBSCR28	8.0372	removed	removed
WDFY1	1376.0575	WDFY1	1290.74
WDFY2	243.6548	WDFY2	559.6442
WDFY3	2112.0981	WDFY3	2146.7853
WDFY4	294.8393	WDFY4	106.3486
WDHD1	312.1827	WDHD1	156.0857
WDR11	1211.9289	WDR11	1589.5673
WDR12	387.9019	WDR12	430.2467
WDR13	977.1574	WDR13	1283.8658
removed	removed	WDR16	5.6611
WDR17	72.335	WDR17	164.5774
WDR18	287.6481	WDR18	364.7392
WDR19	402.2843	WDR19	1063.4856
WDR1	5774.1117	WDR1	4560.4529
WDR20	596.8697	WDR20	600.8896
WDR24	594.3316	WDR24	297.2099
WDR25	175.1269	WDR25	186.0089
WDR26	3023.2657	WDR26	2865.3457
WDR27	65.5668	WDR27	438.334
WDR31	63.0288	WDR31	179.539
WDR33	1348.1387	WDR33	1418.1156
WDR34	702.1997	WDR34	829.7614
WDR35	470.8122	WDR35	938.1318
WDR36	809.2217	WDR36	1040.0323
WDR37	554.9915	WDR37	816.8217
WDR3	1043.1472	WDR3	1065.9118
WDR41	558.7986	WDR41	527.6992
WDR43	973.7733	WDR43	1140.3154
WDR44	525.3807	WDR44	450.0607
WDR45L	2467.0051	WDR45L	2315.002
WDR45	881.9797	WDR45	1121.7145
WDR46	860.8291	WDR46	728.6696
WDR47	460.2369	WDR47	435.0991
WDR48	1068.9509	WDR48	1717.3474
WDR4	156.9374	WDR4	118.0752
