gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
ANKRD20B	5.6535	removed	removed
ANKRD22	344.5659	ANKRD22	56.8924
ANKRD23	24.6969	ANKRD23	19.3219
removed	removed	ANKRD24	7.5141
removed	removed	ANKRD26	249.3962
ANKRD27	654.0207	ANKRD27	892.7453
removed	removed	ANKRD28	1760.8015
removed	removed	ANKRD29	398.9623
ANKRD30A	1308.6365	ANKRD30A	122.3723
ANKRD30B	152.9421	ANKRD30B	16.8172
ANKRD32	311.5376	ANKRD32	126.3083
ANKRD34A	61.5934	ANKRD34A	20.3954
ANKRD35	20.2336	ANKRD35	156.3646
ANKRD36BP1	137.1718	ANKRD36BP1	256.5525
removed	removed	ANKRD36B	65.8377
ANKRD36	167.8197	ANKRD36	230.4321
ANKRD37	130.1317	ANKRD37	66.9827
ANKRD39	247.8613	ANKRD39	83.3706
ANKRD40	5537.4544	ANKRD40	1775.4719
ANKRD42	213.0477	ANKRD42	264.4244
ANKRD43	597.7832	ANKRD43	44.7267
removed	removed	ANKRD44	96.9675
ANKRD45	22.614	ANKRD45	22.9001
removed	removed	ANKRD46	671.6951
ANKRD49	217.8085	ANKRD49	339.5653
ANKRD50	3562.5976	ANKRD50	1232.6684
ANKRD52	1813.2857	ANKRD52	984.7035
removed	removed	ANKRD53	91.2425
ANKRD54	679.3127	ANKRD54	232.9368
removed	removed	ANKRD55	6.4406
ANKRD56	64.5689	ANKRD56	51.5252
ANKRD57	713.8288	ANKRD57	973.2534
ANKRD58	9.8192	ANKRD58	5.725
removed	removed	ANKRD5	207.1742
ANKRD6	167.9	ANKRD6	383.8197
ANKRD9	49.9888	ANKRD9	25.047
removed	removed	ANKS1A	1376.1517
ANKS1B	84.8025	ANKS1B	93.7472
ANKS3	105.0361	ANKS3	121.2989
ANKS6	72.0077	ANKS6	327.3996
removed	removed	ANKZF1	397.5311
ANLN	1452.6519	ANLN	58.3236
ANO10	673.3616	ANO10	1100.6351
removed	removed	ANO1	7026.031
removed	removed	ANO2	31.4876
removed	removed	ANO3	53.3142
removed	removed	ANO4	21.8266
removed	removed	ANO5	68.3424
removed	removed	ANO6	5527.8647
ANO7	24.3993	ANO7	15.386
ANO8	155.9176	ANO8	187.1366
ANO9	166.6295	ANO9	45.0845
ANP32A	2899.9479	ANP32A	2322.2113
ANP32B	4344.8635	ANP32B	2795.9567
ANP32E	1624.9349	ANP32E	1231.595
ANPEP	226.4376	ANPEP	5565.0774
ANTXR1	6170.3489	ANTXR1	10117.184
ANTXR2	365.6922	ANTXR2	2441.0055
ANUBL1	60.4032	ANUBL1	161.374
ANXA11	1464.554	ANXA11	3597.4595
removed	removed	ANXA13	7.8719
ANXA1	1366.3617	ANXA1	15941.6764
ANXA2P1	98.1924	ANXA2P1	77.6456
