gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
AMPH	33.4272	AMPH	208.7379
AMT	5.6298	AMT	98.394
removed	removed	AMY1A	6.4725
AMY2B	35.5595	AMY2B	293.8026
AMZ1	263.1949	removed	removed
AMZ2P1	142.8571	AMZ2P1	222.4919
AMZ2	2250.1759	AMZ2	1494.7411
ANAPC10	170.6545	ANAPC10	130.2589
ANAPC11	768.121	ANAPC11	371.7638
ANAPC13	1272.7657	ANAPC13	1578.1189
ANAPC16	7657.9873	ANAPC16	2484.2233
ANAPC1	1446.5165	ANAPC1	919.0939
ANAPC2	451.4426	ANAPC2	377.4272
ANAPC4	303.3075	ANAPC4	610.0324
ANAPC5	3087.9662	ANAPC5	1845.0647
ANAPC7	1452.1464	ANAPC7	847.0874
ANGEL1	434.2013	ANGEL1	660.1942
ANGEL2	2750.1759	ANGEL2	711.5696
ANGPT1	30.2604	ANGPT1	1764.5631
ANGPT2	103.0964	ANGPT2	499.1909
removed	removed	ANGPT4	91.4239
ANGPTL1	27.4455	ANGPTL1	1302.9935
ANGPTL2	448.9796	ANGPTL2	10233.8188
ANGPTL4	35.5384	ANGPTL4	3585.7605
removed	removed	ANGPTL5	201.8608
removed	removed	ANGPTL7	54.2071
ANG	44.5989	ANG	435.5502
removed	removed	ANK1	29.9353
ANK2	207.2484	ANK2	2675.1618
ANK3	5795.5665	ANK3	535.5987
ANKAR	20.4082	ANKAR	60.6796
ANKDD1A	19.7044	ANKDD1A	612.8641
ANKFY1	1554.8909	ANKFY1	2993.5275
ANKHD1-EIF4EBP3	1531.2773	ANKHD1-EIF4EBP3	540.8495
ANKHD1	3527.7058	ANKHD1	2781.6748
ANKH	824.0676	ANKH	2046.9256
ANKIB1	2254.0464	ANKIB1	1930.8252
removed	removed	ANKK1	12.945
ANKLE1	5.6298	removed	removed
ANKLE2	1570.373	ANKLE2	1434.466
ANKMY1	302.6038	ANKMY1	145.6311
ANKMY2	608.7262	ANKMY2	742.7184
ANKRA2	532.3716	ANKRA2	232.6052
ANKRD10	2041.9775	ANKRD10	1232.2087
ANKRD11	1449.7291	ANKRD11	2351.0761
ANKRD12	2506.3336	ANKRD12	2340.6149
ANKRD13A	703.7298	ANKRD13A	1345.0647
ANKRD13B	77.4103	ANKRD13B	113.6731
ANKRD13C	645.6721	ANKRD13C	711.165
ANKRD13D	410.9782	ANKRD13D	212.3786
ANKRD16	82.3364	ANKRD16	68.7702
ANKRD17	4438.0718	ANKRD17	3215.2104
ANKRD19	34.1309	ANKRD19	27.9126
removed	removed	ANKRD1	25.89
ANKRD20A3	13.019	ANKRD20A3	5.6634
ANKRD20B	16.5376	ANKRD20B	6.068
ANKRD22	54.5391	ANKRD22	18.6084
ANKRD23	32.3716	ANKRD23	12.945
ANKRD24	10.9078	ANKRD24	12.5405
ANKRD26	336.7347	ANKRD26	259.3042
ANKRD27	938.4236	ANKRD27	989.8867
ANKRD28	1458.4799	ANKRD28	1563.9159
ANKRD29	21.4638	ANKRD29	434.466
ANKRD30A	1463.4061	ANKRD30A	133.4951
ANKRD30B	5.6298	ANKRD30B	19.0129
ANKRD32	352.2167	ANKRD32	152.9126
ANKRD34A	8.0929	ANKRD34A	11.7314
ANKRD34B	30.9641	removed	removed
removed	removed	ANKRD34C	6.4725
ANKRD35	30.6122	ANKRD35	203.479
ANKRD36BP1	537.2977	ANKRD36BP1	193.3657
ANKRD36B	27.7973	ANKRD36B	36.0032
ANKRD36	93.2442	ANKRD36	200.6472
ANKRD37	32.8958	ANKRD37	41.8083
ANKRD39	183.3216	ANKRD39	72.411
ANKRD40	2816.3265	ANKRD40	4092.6375
ANKRD42	155.8761	ANKRD42	232.2006
ANKRD43	33.779	ANKRD43	32.767
ANKRD44	51.0204	ANKRD44	147.6537
removed	removed	ANKRD45	7.6861
ANKRD46	823.1985	ANKRD46	853.0178
ANKRD49	106.2632	ANKRD49	292.8803
ANKRD50	40195.285	ANKRD50	1268.2039
ANKRD52	2492.259	ANKRD52	1057.4434
removed	removed	ANKRD53	76.0518
ANKRD54	377.551	ANKRD54	250
ANKRD56	84.0957	ANKRD56	15.7767
ANKRD57	335.6791	ANKRD57	663.835
ANKRD58	14.0746	ANKRD58	9.3042
ANKRD5	2648.1351	ANKRD5	187.2977
ANKRD6	84.9578	ANKRD6	296.2015
ANKRD9	28.8529	ANKRD9	29.5307
ANKS1A	1167.1358	ANKS1A	1241.1003
ANKS1B	88.67	ANKS1B	52.9935
