gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
AMIGO1	103.8773	AMIGO1	135.3987
AMIGO2	4156.25	AMIGO2	2604.1079
AMIGO3	37.037	AMIGO3	43.603
AMMECR1L	1082.1759	AMMECR1L	866.3224
AMMECR1	527.1991	AMMECR1	254.1595
AMN1	338.5417	AMN1	213.9989
AMOTL1	344.6181	AMOTL1	2608.1469
AMOTL2	787.9051	AMOTL2	4130.809
AMOT	1775.463	AMOT	1375.2151
removed	removed	AMPD1	6.311
AMPD2	319.7338	AMPD2	620.1951
AMPD3	215.2778	AMPD3	164.6586
AMPH	48.0324	AMPH	70.568
AMT	8.1019	AMT	122.4555
removed	removed	AMY1A	20.0803
AMY2B	11.9589	AMY2B	210.7344
AMZ1	23.1481	removed	removed
AMZ2P1	344.6181	AMZ2P1	290.3041
AMZ2	3173.9005	AMZ2	1140.5622
ANAPC10	138.5995	ANAPC10	185.3127
ANAPC11	531.5394	ANAPC11	705.6799
ANAPC13	2354.8958	ANAPC13	1281.6122
ANAPC16	1537.6157	ANAPC16	2898.4509
ANAPC1	1362.5579	ANAPC1	806.0815
ANAPC2	132.5231	ANAPC2	388.4108
ANAPC4	337.3843	ANAPC4	565.1176
ANAPC5	3414.6412	ANAPC5	2567.4125
ANAPC7	1805.8449	ANAPC7	791.1647
ANGEL1	435.7639	ANGEL1	738.9558
ANGEL2	921.875	ANGEL2	745.2668
ANGPT1	46.875	ANGPT1	560.5278
ANGPT2	124.4213	ANGPT2	760.7573
removed	removed	ANGPT4	21.2278
ANGPTL1	16.4931	ANGPTL1	532.4154
ANGPTL2	883.6806	ANGPTL2	3646.0126
ANGPTL4	12.1528	ANGPTL4	887.5502
removed	removed	ANGPTL5	40.1606
removed	removed	ANGPTL7	96.3855
ANG	117.7807	ANG	380.9811
removed	removed	ANK1	20.654
ANK2	100.4051	ANK2	1369.4779
ANK3	1320.6019	ANK3	1325.3012
ANKAR	36.4583	ANKAR	40.1606
ANKDD1A	32.9861	ANKDD1A	107.86
removed	removed	ANKFN1	14.3431
ANKFY1	2739.294	ANKFY1	2047.0453
ANKHD1-EIF4EBP3	716.4786	ANKHD1-EIF4EBP3	572.5301
ANKHD1	5493.5619	ANKHD1	2174.0906
ANKH	1094.3287	ANKH	1419.3919
ANKIB1	4811.6319	ANKIB1	1438.8985
removed	removed	ANKK1	37.292
ANKLE2	1878.7616	ANKLE2	1511.1876
ANKMY1	78.4144	ANKMY1	178.428
ANKMY2	239.0046	ANKMY2	786.0011
ANKRA2	585.9375	ANKRA2	378.6575
ANKRD10	444.4444	ANKRD10	1298.9673
ANKRD11	686.1661	ANKRD11	1964.8365
ANKRD12	1037.037	ANKRD12	1615.6053
ANKRD13A	1298.3218	ANKRD13A	1615.0316
ANKRD13B	110.5324	ANKRD13B	99.8279
ANKRD13C	805.5556	ANKRD13C	702.2375
ANKRD13D	143.2292	ANKRD13D	367.7567
ANKRD16	103.0093	ANKRD16	154.1595
ANKRD17	2688.6574	ANKRD17	2637.4068
ANKRD19	11.8634	ANKRD19	56.2249
ANKRD20A3	19.6759	ANKRD20A3	22.3752
ANKRD20B	11.2847	ANKRD20B	13.1956
ANKRD22	880.787	ANKRD22	110.7286
ANKRD23	16.7824	ANKRD23	27.5387
removed	removed	ANKRD24	12.6219
ANKRD26	369.5023	ANKRD26	251.8646
ANKRD27	1824.6528	ANKRD27	798.6231
ANKRD28	1141.7824	ANKRD28	1488.8124
ANKRD29	21.7014	ANKRD29	385.5422
ANKRD30A	172.4537	ANKRD30A	143.4309
ANKRD30B	379.0509	ANKRD30B	26.3913
ANKRD31	6.6551	removed	removed
ANKRD32	563.0787	ANKRD32	115.3184
removed	removed	ANKRD34A	14.3431
removed	removed	ANKRD35	142.8571
ANKRD36BP1	69.7338	ANKRD36BP1	171.5433
ANKRD36B	57.2917	ANKRD36B	32.7022
ANKRD36	210.3588	ANKRD36	271.3712
ANKRD37	80.5729	ANKRD37	179.5353
ANKRD39	180.2662	ANKRD39	103.8439
ANKRD40	1667.8241	ANKRD40	1771.0843
ANKRD42	256.6551	ANKRD42	246.1274
ANKRD43	15.625	ANKRD43	108.4337
ANKRD44	109.6644	ANKRD44	59.0935
ANKRD45	5.4977	ANKRD45	13.1956
ANKRD46	709.4589	ANKRD46	569.1337
ANKRD49	283.8542	ANKRD49	317.8428
ANKRD50	1323.7847	ANKRD50	1151.463
ANKRD52	1269.9653	ANKRD52	962.708
removed	removed	ANKRD53	43.603
ANKRD54	223.9583	ANKRD54	285.1406
ANKRD56	26.9097	ANKRD56	46.4716
ANKRD57	979.7454	ANKRD57	944.3488
removed	removed	ANKRD58	6.8847
