gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
AK3	953.6963	AK3	1882.9291
AK5	94.5551	AK5	1842.3507
AK7	24.7897	AK7	21.9216
AKAP10	400.1771	AKAP10	724.347
AKAP11	1175.7415	AKAP11	2857.2761
AKAP12	689.5086	AKAP12	2464.5522
AKAP13	1846.1266	AKAP13	4651.1194
AKAP1	1207.2598	AKAP1	4112.8731
AKAP2	444.2709	AKAP2	1482.3228
AKAP3	13.1031	AKAP3	96.5485
AKAP5	1067.7291	AKAP5	381.0634
AKAP6	61.266	AKAP6	275.653
AKAP7	94.201	AKAP7	171.6418
AKAP8L	633.5547	AKAP8L	864.7388
AKAP8	413.2802	AKAP8	628.2649
AKAP9	1758.3001	AKAP9	4022.3881
AKD1	209.6503	AKD1	157.6493
AKIRIN1	1971.1377	AKIRIN1	945.8955
AKIRIN2	581.8504	AKIRIN2	578.8246
AKNA	352.0142	AKNA	770.5224
AKR1A1	3917.1315	AKR1A1	1292.444
removed	removed	AKR1B15	102.1455
AKR1B1	611.9522	AKR1B1	673.9739
AKR1C1	93.4927	AKR1C1	1240.6716
AKR1C2	49.9336	AKR1C2	1963.6194
AKR1C3	250.7304	AKR1C3	1101.2127
AKR1D1	6.7286	AKR1D1	75.5597
AKR1E2	44.2674	AKR1E2	30.3172
AKR7A2	1186.7198	AKR7A2	950.0933
AKR7A3	750.0664	AKR7A3	76.959
AKR7L	55.2457	AKR7L	11.6604
AKT1S1	2934.0416	AKT1S1	666.5112
AKT1	6325.2767	AKT1	2901.5858
AKT2	1647.8088	AKT2	3329.7575
AKT3	520.5843	AKT3	1058.3022
AKTIP	1098.1107	AKTIP	568.097
ALAD	1683.5768	ALAD	2525.1866
ALAS1	878.6189	ALAS1	698.2276
ALB	10738.5569	ALB	926.306
ALCAM	6506.95	ALCAM	7502.3321
ALDH16A1	586.4542	ALDH16A1	418.3769
ALDH18A1	4120.0531	ALDH18A1	1590.4851
