gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
ANO10	1357.4297	ANO10	1033.6776
ANO1	4340.1606	ANO1	5371.3516
ANO2	31.3253	ANO2	68.7023
removed	removed	ANO3	66.9062
ANO4	22.8916	ANO4	10.7768
ANO5	31.3253	ANO5	63.3139
ANO6	2037.3494	ANO6	6925.4603
ANO7	364.6586	ANO7	12.573
ANO8	428.1124	ANO8	342.6134
ANO9	237.3494	ANO9	65.559
ANP32A	2900	ANP32A	1789.8518
ANP32B	2365.8635	ANP32B	2317.9165
ANP32E	367.8715	ANP32E	618.3206
ANPEP	359.0361	ANPEP	6268.0736
ANTXR1	4732.5301	ANTXR1	4354.2883
ANTXR2	469.0763	ANTXR2	2357.4315
ANUBL1	143.3735	ANUBL1	138.3026
ANXA11	2856.2249	ANXA11	5472.3844
ANXA1	975.1004	ANXA1	20341.2663
ANXA2P1	65.8635	ANXA2P1	113.6057
ANXA2P2	5312.8514	ANXA2P2	6873.3722
ANXA2P3	8.4337	ANXA2P3	11.2259
ANXA2	15208.8353	ANXA2	20618.7696
ANXA3	488.755	ANXA3	944.7687
ANXA4	1187.9518	ANXA4	1178.7158
ANXA5	7086.747	ANXA5	13359.6767
ANXA6	7212.8514	ANXA6	9736.8657
ANXA7	2909.2369	ANXA7	3116.3
ANXA8L2	28.1124	ANXA8L2	486.3044
ANXA8	50.2008	ANXA8	872.9232
ANXA9	4782.7309	ANXA9	130.22
AOAH	60.6426	AOAH	107.3193
AOC2	15.261	AOC2	132.4652
AOC3	663.0522	AOC3	23272.115
AOX1	18.4739	AOX1	920.5209
AP1AR	583.1325	AP1AR	322.8559
AP1B1	4889.5582	AP1B1	2533.004
AP1G1	4427.7108	AP1G1	2357.4315
AP1G2	952.4739	AP1G2	853.7
AP1M1	1032.5301	AP1M1	1478.2218
AP1M2	2807.2289	AP1M2	541.5357
AP1S1	1149.3976	AP1S1	414.9079
AP1S2	250.2008	AP1S2	388.4149
AP1S3	238.5542	AP1S3	39.9641
AP2A1	2555.0482	AP2A1	1544.2613
AP2A2	1882.7309	AP2A2	2013.9201
AP2B1	12104.4177	AP2B1	5838.7966
AP2M1	6577.1084	AP2M1	5565.7836
AP2S1	2119.6787	AP2S1	985.1819
AP3B1	2134.5382	AP3B1	1247.8671
AP3B2	430.1205	AP3B2	54.7822
AP3D1	4026.9076	AP3D1	2245.6219
AP3M1	1575.502	AP3M1	1567.1307
AP3M2	839.759	AP3M2	458.4643
AP3S1	411.245	AP3S1	1048.4957
AP3S2	2851.4217	AP3S2	2369.4342
AP4B1	321.6506	AP4B1	418.4284
AP4E1	721.2851	AP4E1	384.8226
AP4M1	543.1325	AP4M1	345.0292
AP4S1	13.6546	AP4S1	53.4351
APAF1	451.8072	APAF1	517.7369
APBA1	138.9558	APBA1	476.8747
APBA2	7.2289	APBA2	51.639
APBA3	180.3213	APBA3	160.3053
APBB1IP	279.5181	APBB1IP	2361.4728
APBB1	670.6827	APBB1	801.0777
APBB2	1761.4458	APBB2	2464.3018
APBB3	95.9839	APBB3	331.8366
APC2	10.5141	removed	removed
APCDD1L	20.4819	APCDD1L	451.7288
APCDD1	121.2851	APCDD1	2459.3624
APC	794.7791	APC	1236.6412
APEH	3897.1888	APEH	1348.4508
APEX1	1801.2048	APEX1	2383.4755
APEX2	954.6185	APEX2	427.93
APH1A	8402.008	APH1A	3412.6628
APH1B	647.3896	APH1B	700.4939
API5	2214.4578	API5	2104.6251
APIP	302.0321	APIP	517.8042
APITD1	236.7189	APITD1	117.7279
APLF	24.0964	APLF	157.1621
APLNR	1134.5382	APLNR	1407.2744
APLN	51.4056	APLN	83.9695
APLP1	924.8996	APLP1	45.8015
APLP2	31579.9197	APLP2	12268.9717
APOA1BP	4865.8635	APOA1BP	1146.8343
APOA1	15.261	removed	removed
APOB48R	118.4739	APOB48R	35.9228
APOBEC3A	6.5863	removed	removed
APOBEC3B	120.7229	APOBEC3B	13.8797
APOBEC3C	192.7711	APOBEC3C	330.9385
APOBEC3D	76.7068	APOBEC3D	78.5811
APOBEC3F	265.4618	APOBEC3F	190.3907
APOBEC3G	286.3454	APOBEC3G	256.8478
APOBEC3H	8.0321	removed	removed
APOB	11.6466	APOB	36.8208
APOC1	1496.7871	APOC1	290.0763
APOC2	159.0361	APOC2	14.3691
APOC3	12.4498	removed	removed
APOD	1556.6265	APOD	28118.5451
APOE	2804.0161	APOE	1084.8675
APOL1	451.4056	APOL1	1080.8262
APOL2	420.8835	APOL2	727.885
APOL3	224.0964	APOL3	1323.3049
APOL4	149.7992	APOL4	342.6134
APOL6	1173.8956	APOL6	4289.6273
APOLD1	1333.3333	APOLD1	9712.1688
APOM	83.5341	APOM	46.6996
APOOL	261.8474	APOOL	224.0683
APOO	314.0562	APOO	145.9362
APPBP2	1528.5141	APPBP2	1234.396
APPL1	631.7269	APPL1	1389.762
APPL2	992.7711	APPL2	1187.6965
APP	38732.5301	APP	28518.6349
APRT	2119.2771	APRT	1077.2339
APTX	640.1606	APTX	425.2357
AQP11	12.8514	AQP11	41.7602
AQP1	2996.3855	AQP1	19345.7566
removed	removed	AQP2	6.7355
AQP3	252.6104	AQP3	843.736
AQP4	7.2289	AQP4	57.9255
removed	removed	AQP5	728.7831
removed	removed	AQP6	44.9035
removed	removed	AQP7P1	446.7894
removed	removed	AQP7P3	52.9861
AQP7	6.8273	AQP7	4052.9861
AQP9	40.5622	AQP9	12.573
removed	removed	AQPEP	1096.502
AQR	1843.7751	AQR	1054.3332
ARAF	960.241	ARAF	1198.9223
ARAP1	1327.3012	ARAP1	2307.9704
ARAP2	392.7711	ARAP2	272.115
ARAP3	354.2169	ARAP3	1071.8455
ARCN1	5940.9639	ARCN1	4429.2771
removed	removed	ARC	108.2173
AREG	881.9277	AREG	583.2959
ARF1	16754.2169	ARF1	7365.0651
ARF3	7139.3574	ARF3	3738.2128
ARF4	5598.3936	ARF4	3098.3386
ARF5	3960.992	ARF5	1828.4688
ARF6	2945.7831	ARF6	2365.5141
ARFGAP1	777.9116	ARFGAP1	798.8325
ARFGAP2	1442.9719	ARFGAP2	1849.5734
ARFGAP3	229.7189	ARFGAP3	1159.8563
ARFGEF1	3218.5422	ARFGEF1	1670.1347
ARFGEF2	1873.0924	ARFGEF2	1882.3529
ARFIP1	1071.8876	ARFIP1	1038.617
ARFIP2	1824.498	ARFIP2	1050.7409
ARFRP1	303.2129	ARFRP1	381.6794
ARG2	102.0161	ARG2	215.3839
ARGLU1	361.0442	ARGLU1	2358.7786
ARHGAP10	102.4096	ARHGAP10	836.1024
ARHGAP11A	921.6867	ARHGAP11A	72.7436
ARHGAP11B	71.4859	ARHGAP11B	6.2865
ARHGAP12	93.5743	ARHGAP12	1080.8262
ARHGAP15	32.1285	ARHGAP15	40.8621
ARHGAP17	646.5863	ARHGAP17	1631.7916
ARHGAP18	561.4458	ARHGAP18	889.5375
ARHGAP19	344.5783	ARHGAP19	938.0332
ARHGAP1	4706.4257	ARHGAP1	3303.0983
ARHGAP20	24.498	ARHGAP20	1705.8824
ARHGAP21	1100	ARHGAP21	3947.912
ARHGAP22	23.2932	ARHGAP22	55.6803
ARHGAP23	402.008	ARHGAP23	781.7692
ARHGAP24	165.0602	ARHGAP24	445.8913
ARHGAP25	177.51	ARHGAP25	450.8307
ARHGAP26	2242.5703	ARHGAP26	903.9066
ARHGAP27	774.2972	ARHGAP27	638.4733
ARHGAP28	24.8996	ARHGAP28	286.4841
ARHGAP29	3260.6426	ARHGAP29	3418.9493
ARHGAP30	184.3373	ARHGAP30	341.2663
ARHGAP31	618.0723	ARHGAP31	1969.4656
ARHGAP32	1806.8273	ARHGAP32	1021.5537
ARHGAP33	169.4779	ARHGAP33	128.4239
ARHGAP36	14.0562	removed	removed
ARHGAP39	350.6024	ARHGAP39	101.4818
ARHGAP42	57.4297	ARHGAP42	268.0512
ARHGAP4	120.4819	ARHGAP4	338.5721
ARHGAP5	236.1446	ARHGAP5	2308.4868
ARHGAP6	89.1566	ARHGAP6	154.4679
ARHGAP8	574.6586	ARHGAP8	249.4701
ARHGAP9	78.7149	ARHGAP9	107.3193
ARHGDIA	6105.6225	ARHGDIA	4302.2003
ARHGDIB	6848.5944	ARHGDIB	2890.8846
removed	removed	ARHGDIG	52.2676
ARHGEF10L	385.5422	ARHGEF10L	1335.8779
ARHGEF10	469.8795	ARHGEF10	1396.4975
ARHGEF11	1679.1165	ARHGEF11	1439.1558
ARHGEF12	4651.8072	ARHGEF12	4703.6372
ARHGEF15	269.8795	ARHGEF15	1161.6524
ARHGEF16	373.8956	ARHGEF16	217.7818
ARHGEF17	890.3614	ARHGEF17	1794.7912
ARHGEF18	843.7751	ARHGEF18	710.8217
ARHGEF19	224.498	ARHGEF19	337.674
ARHGEF1	1055.0201	ARHGEF1	1152.2227
ARHGEF2	2511.245	ARHGEF2	2972.6089
removed	removed	ARHGEF33	12.1239
ARHGEF35	516.0643	ARHGEF35	418.0512
ARHGEF37	332.5301	ARHGEF37	1510.5523
ARHGEF38	29.7189	ARHGEF38	22.9008
ARHGEF3	1215.6627	ARHGEF3	963.6282
ARHGEF4	11.6466	ARHGEF4	334.5308
ARHGEF5	411.245	ARHGEF5	461.1585
ARHGEF6	1352.2088	ARHGEF6	4942.0745
ARHGEF7	676.3052	ARHGEF7	2184.5532
ARHGEF9	259.8394	ARHGEF9	895.3749
ARID1A	2390.7631	ARID1A	2632.2407
ARID1B	1328.1124	ARID1B	2132.9142
ARID2	1059.8394	ARID2	873.3722
ARID3A	67.8715	ARID3A	46.6996
ARID3B	54.6185	ARID3B	91.154
ARID4A	299.1968	ARID4A	826.6727
ARID4B	1675.2691	ARID4B	1173.3902
ARID5A	268.6747	ARID5A	1662.326
ARID5B	1028.5141	ARID5B	6793.8931
ARIH1	2041.7671	ARIH1	1988.3251
ARIH2	1344.5783	ARIH2	1776.3808
ARL10	19.2771	ARL10	64.2119
ARL11	32.9317	ARL11	31.8815
ARL13B	277.1084	ARL13B	207.903
ARL15	253.4137	ARL15	470.1392
ARL16	428.1124	ARL16	436.0126
ARL17A	175.1486	ARL17A	100.0449
removed	removed	ARL17B	6.2236
ARL1	5007.2289	ARL1	1830.714
ARL2BP	1644.1767	ARL2BP	1769.6453
ARL2	538.9558	ARL2	1404.5802
ARL3	978.3133	ARL3	507.4091
ARL4A	217.2691	ARL4A	810.9564
ARL4C	815.261	ARL4C	2001.3471
ARL4D	381.9277	ARL4D	145.4872
ARL5A	733.7349	ARL5A	636.282
ARL5B	200.8032	ARL5B	184.1042
ARL6IP1	8269.8795	ARL6IP1	3702.2901
ARL6IP4	1348.5944	ARL6IP4	1117.198
ARL6IP5	4030.1205	ARL6IP5	5608.8909
ARL6IP6	167.0683	ARL6IP6	202.5146
ARL6	59.8394	ARL6	77.2339
ARL8A	1005.2209	ARL8A	1153.1208
ARL8B	2402.008	ARL8B	1753.9291
ARMC10	798.2851	ARMC10	585.9138
ARMC1	1071.8876	ARMC1	668.1634
ARMC2	41.3655	ARMC2	54.7822
ARMC3	73.0924	removed	removed
ARMC5	138.9558	ARMC5	184.5532
ARMC6	644.1767	ARMC6	451.2528
ARMC7	485.9438	ARMC7	278.4014
ARMC8	671.0843	ARMC8	836.1024
ARMC9	519.2771	ARMC9	170.6331
ARMCX1	745.3815	ARMCX1	706.3314
ARMCX2	226.506	ARMCX2	762.9097
ARMCX3	1599.5984	ARMCX3	1643.0175
ARMCX5	375.502	ARMCX5	349.7979
ARMCX6	178.7149	ARMCX6	239.7845
ARNT2	1691.9679	ARNT2	312.079
ARNTL2	12.0482	ARNTL2	50.2919
ARNTL	167.8715	ARNTL	333.6327
ARNT	1273.8956	ARNT	1990.5703
ARPC1A	2451.5743	ARPC1A	2245.7387
ARPC1B	2576.5382	ARPC1B	1263.0175
ARPC2	4021.2851	ARPC2	3801.0777
ARPC3	5066.6667	ARPC3	2427.93
ARPC4	3341.5743	ARPC4	2364.5218
ARPC5L	814.8594	ARPC5L	517.7369
ARPC5	1828.9157	ARPC5	2187.6965
ARPM1	42.5703	ARPM1	38.1679
ARPP19	6781.1245	ARPP19	4574.7643
ARRB1	252.2088	ARRB1	1214.6385
ARRB2	987.9518	ARRB2	665.0202
ARRDC1	789.9598	ARRDC1	484.0593
ARRDC2	787.9518	ARRDC2	1956.4436
ARRDC3	1625.7028	ARRDC3	8071.8455
ARRDC4	230.9237	ARRDC4	1189.0436
ARSA	1784.3373	ARSA	833.8572
ARSB	234.5382	ARSB	281.0956
ARSD	3569.0763	ARSD	2030.0853
ARSE	29.3173	ARSE	32.7795
ARSG	782.7309	ARSG	106.4212
ARSI	83.5341	ARSI	30.0853
ARSJ	36.9478	ARSJ	83.0714
ARSK	216.4659	ARSK	178.7158
removed	removed	ART4	19.3085
ART5	8.0321	ART5	10.3278
ARTN	752.2088	ARTN	7.1846
ARV1	774.2972	ARV1	349.3489
ARVCF	189.5582	ARVCF	288.7292
ARX	10.8434	removed	removed
AR	647.3896	AR	332.2856
AS3MT	952.2088	AS3MT	257.8536
ASAH1	22461.4458	ASAH1	8264.4814
removed	removed	ASAH2B	8.0826
ASAH2	10.4418	removed	removed
ASAM	140.1606	ASAM	2456.6682
ASAP1	1060.241	ASAP1	1299.057
ASAP2	875.1004	ASAP2	1246.0709
ASAP3	469.4779	ASAP3	1266.7265
ASB13	1748.1928	ASB13	707.6785
removed	removed	ASB14	19.7575
ASB16	55.5783	removed	removed
ASB1	200.6627	ASB1	761.0552
ASB2	10.0402	ASB2	26.9421
ASB3	286.3454	ASB3	312.5281
ASB6	578.5663	ASB6	632.3305
ASB7	462.6506	ASB7	406.8253
ASB8	1109.2369	ASB8	887.2923
ASB9	26.9076	ASB9	52.088
ASCC1	623.6948	ASCC1	543.3318
ASCC2	1268.6747	ASCC2	1224.9663
ASCC3	879.1165	ASCC3	911.5402
removed	removed	ASCL2	5.8374
ASF1A	216.8675	ASF1A	357.8806
ASF1B	1190.3614	ASF1B	55.6803
ASGR1	9.6386	ASGR1	14.3691
ASGR2	6.0241	removed	removed
ASH1L	2652.1727	ASH1L	2988.6349
ASH2L	1237.3494	ASH2L	1063.7629
ASL	708.0321	ASL	404.5802
ASMTL	812.8474	ASMTL	603.5025
ASNA1	2356.6265	ASNA1	848.2263
ASNSD1	896.3855	ASNSD1	1135.1594
ASNS	721.6867	ASNS	439.6048
removed	removed	ASPA	85.7656
ASPHD1	118.0723	ASPHD1	18.4104
ASPHD2	83.5341	ASPHD2	44.9035
ASPH	5612.5863	ASPH	19606.3224
ASPM	1161.8474	ASPM	21.5537
ASPN	579.5181	ASPN	920.0718
ASPRV1	40.3775	ASPRV1	121.1855
ASPSCR1	551.4056	ASPSCR1	199.8204
ASRGL1	42.5703	ASRGL1	150.4266
ASS1	3081.1245	ASS1	5813.2016
ASTE1	149.6185	ASTE1	252.6673
ASTL	12.0482	removed	removed
ASTN1	14.8594	ASTN1	109.5644
ASTN2	829.3173	ASTN2	121.6884
ASXL1	851.4056	ASXL1	2111.3606
ASXL2	434.9398	ASXL2	827.5707
removed	removed	ASXL3	22.4517
ATAD1	1074.6988	ATAD1	1138.7517
removed	removed	ATAD2B	335.8779
ATAD2	2425.3012	ATAD2	277.9524
ATAD3A	344.1767	ATAD3A	249.2142
ATAD3B	75.502	ATAD3B	147.7324
ATAD3C	17.2691	ATAD3C	109.5644
ATAD5	253.4137	ATAD5	50.7409
ATE1	205.6225	ATE1	311.63
ATF1	497.1888	ATF1	371.8006
ATF2	459.4378	ATF2	587.3372
ATF3	257.4297	ATF3	3673.5519
ATF4	4789.5582	ATF4	8043.5564
ATF5	1193.5743	ATF5	903.0085
ATF6B	2724.6827	ATF6B	1550.8936
ATF6	2683.1325	ATF6	1537.0454
ATF7IP2	132.9317	ATF7IP2	85.3166
ATF7IP	922.8916	ATF7IP	1374.4948
ATF7	1308.8353	ATF7	2835.9497
ATG10	103.6145	ATG10	158.9582
ATG12	648.5944	ATG12	571.172
ATG16L1	469.4779	ATG16L1	605.7476
ATG16L2	188.9398	ATG16L2	290.6646
ATG2A	762.249	ATG2A	629.9955
ATG2B	501.6064	ATG2B	1301.7512
ATG3	784.739	ATG3	732.3754
ATG4A	404.4177	ATG4A	326.8972
ATG4B	485.5422	ATG4B	838.7966
ATG4C	196.3855	ATG4C	248.7652
ATG4D	337.6988	ATG4D	203.6686
ATG5	448.5944	ATG5	768.7472
ATG7	717.5141	ATG7	746.1877
ATG9A	1313.6185	ATG9A	1753.1926
removed	removed	ATG9B	10.916
ATHL1	283.1325	ATHL1	612.0341
ATIC	2930.1205	ATIC	1104.6251
ATL1	50.6024	ATL1	453.974
ATL2	1599.5984	ATL2	1984.2838
ATL3	573.0924	ATL3	830.714
ATMIN	1553.8153	ATMIN	1767.4001
ATM	962.6506	ATM	1492.5909
ATN1	3976.7068	ATN1	5842.3889
ATOH8	34.1365	ATOH8	1246.52
ATOX1	1456.6265	ATOX1	655.5905
ATP10A	259.4378	ATP10A	316.5694
removed	removed	ATP10B	5.8374
ATP10D	455.0201	ATP10D	578.8056
ATP11A	540.9639	ATP11A	964.0772
ATP11B	246.1847	ATP11B	1403.233
ATP11C	141.7671	ATP11C	639.8743
ATP13A1	2683.1325	ATP13A1	889.5375
ATP13A2	1871.4859	ATP13A2	827.1217
ATP13A3	1943.3735	ATP13A3	1876.9645
removed	removed	ATP13A4	273.9111
removed	removed	ATP13A5	18.4104
ATP1A1	19008.0241	ATP1A1	13900.2964
ATP1A2	14.4578	ATP1A2	573.8662
ATP1A3	601.6064	removed	removed
ATP1A4	20.8835	removed	removed
ATP1B1	8097.4739	ATP1B1	2145.1504
ATP1B2	40.5622	ATP1B2	206.1069
ATP1B3	2381.5261	ATP1B3	1409.5195
ATP2A1	6.0241	ATP2A1	8.5317
ATP2A2	7068.6747	ATP2A2	5374.4948
ATP2A3	5168.2731	ATP2A3	554.1087
ATP2B1	1147.3896	ATP2B1	1123.4845
ATP2B2	36.9478	ATP2B2	33.2286
ATP2B4	8020.0803	ATP2B4	10626.8523
ATP2C1	2354.3976	ATP2C1	2604.9888
ATP2C2	710.8434	ATP2C2	58.8235
ATP5A1	9643.7751	ATP5A1	9986.0799
ATP5B	11402.4096	ATP5B	11839.6947
ATP5C1	2306.8273	ATP5C1	2640.3233
ATP5D	858.6345	ATP5D	645.2627
ATP5EP2	265.4618	ATP5EP2	37.7189
ATP5E	17297.992	ATP5E	4130.6691
ATP5F1	3233.3333	ATP5F1	2334.0817
ATP5G1	1206.8273	ATP5G1	523.5743
ATP5G2	6249.3976	ATP5G2	5270.7678
ATP5G3	2313.253	ATP5G3	3532.555
ATP5H	3423.2932	ATP5H	1964.9753
ATP5I	1343.9438	ATP5I	1087.1127
ATP5J2	1326.506	ATP5J2	753.48
ATP5J	2057.9518	ATP5J	1596.1069
ATP5L	2265.4618	ATP5L	2491.6929
ATP5O	2847.3896	ATP5O	2888.6394
ATP5SL	1066.2651	ATP5SL	717.5573
ATP5S	71.4859	ATP5S	138.7517
ATP6AP1L	55.0201	ATP6AP1L	92.9502
ATP6AP1	12072.6908	ATP6AP1	2389.762
ATP6AP2	11197.5904	ATP6AP2	3016.1652
ATP6V0A1	1573.494	ATP6V0A1	1448.5855
ATP6V0A2	393.5743	ATP6V0A2	397.8446
ATP6V0A4	362.249	ATP6V0A4	136.5065
ATP6V0B	4722.8916	ATP6V0B	1049.8428
ATP6V0C	2432.3494	ATP6V0C	1536.1473
ATP6V0D1	2116.0643	ATP6V0D1	1511.0013
ATP6V0D2	30.1205	removed	removed
ATP6V0E1	3539.3574	ATP6V0E1	2894.0278
ATP6V0E2	1856.6225	ATP6V0E2	880.3996
ATP6V1A	2616.8675	ATP6V1A	1480.467
ATP6V1B1	5058.6345	ATP6V1B1	955.0965
ATP6V1B2	2171.0843	ATP6V1B2	1802.4248
ATP6V1C1	2349.3976	ATP6V1C1	1386.6188
ATP6V1C2	40.0803	ATP6V1C2	81.2079
ATP6V1D	660.241	ATP6V1D	942.0745
ATP6V1E1	2922.8916	ATP6V1E1	2557.2519
ATP6V1E2	47.7912	ATP6V1E2	79.4791
ATP6V1F	2170.6667	ATP6V1F	1332.7301
ATP6V1G1	1655.8233	ATP6V1G1	1237.0903
ATP6V1G2	16.8675	ATP6V1G2	19.3085
ATP6V1H	1630.5221	ATP6V1H	1073.1926
ATP7A	324.8996	ATP7A	542.8828
ATP7B	359.4378	ATP7B	263.5833
ATP8A1	55.0201	ATP8A1	387.5168
ATP8A2	13.253	ATP8A2	6.7355
ATP8B1	2980.1365	ATP8B1	857.8312
ATP8B2	731.3253	ATP8B2	1046.6996
ATP8B3	110.4418	ATP8B3	17.5123
ATP8B4	38.9558	ATP8B4	157.1621
ATP8B5P	38.5542	ATP8B5P	32.7795
ATP9A	7287.5502	ATP9A	5702.7391
ATP9B	351.8072	ATP9B	525.3705
ATPAF1	1893.9357	ATPAF1	1691.5222
ATPAF2	334.1365	ATPAF2	215.9856
ATPBD4	143.3735	ATPBD4	149.0795
ATPIF1	1132.5301	ATPIF1	576.1114
ATRIP	587.3574	ATRIP	220.7993
removed	removed	ATRNL1	15.7162
ATRN	2261.0442	ATRN	2227.6605
ATRX	2060.6426	ATRX	2352.0431
ATR	928.9157	ATR	859.0031
ATXN10	3504.0161	ATXN10	1838.3476
ATXN1L	826.506	ATXN1L	1959.4118
ATXN1	919.6787	ATXN1	856.758
ATXN2L	1956.2249	ATXN2L	1806.9151
ATXN2	1021.6867	ATXN2	1057.4764
ATXN3	173.0924	ATXN3	583.7449
ATXN7L1	123.6948	ATXN7L1	291.4234
ATXN7L2	64.257	ATXN7L2	68.2533
ATXN7L3B	2003.2129	ATXN7L3B	2879.2097
ATXN7L3	1067.4699	ATXN7L3	1006.7355
ATXN7	598.3936	ATXN7	811.8545
AUH	220.0803	AUH	364.167
AUP1	3008.1285	AUP1	1829.5195
AURKAIP1	699.5984	AURKAIP1	627.3013
AURKAPS1	12.0482	AURKAPS1	8.5317
AURKA	2059.4378	AURKA	38.617
AURKB	329.7189	AURKB	11.6749
AURKC	6.4257	AURKC	17.0633
AUTS2	372.2892	AUTS2	1451.2797
AVEN	266.6667	AVEN	225.4154
AVIL	19.6787	AVIL	35.4737
AVL9	452.6104	AVL9	280.1976
AVPI1	256.2249	AVPI1	416.2551
AVPR1A	40.9639	AVPR1A	133.8123
AVPR2	6.8273	AVPR2	97.8895
AXIN1	377.1084	AXIN1	462.5056
AXIN2	252.2088	AXIN2	261.7872
AXL	1112.8514	AXL	1923.6641
AZGP1	28130.1205	AZGP1	10467.445
AZI1	301.2048	AZI1	119.8922
AZI2	810.4418	AZI2	1290.0763
AZIN1	5144.9799	AZIN1	3450.8307
AZU1	26.506	AZU1	7.6336
B2M	22436.1446	B2M	33006.2865
B3GALNT1	832.1285	B3GALNT1	271.2169
B3GALNT2	720.5221	B3GALNT2	502.5415
removed	removed	B3GALT1	7.1846
B3GALT4	114.4578	B3GALT4	204.3107
B3GALT5	6.8273	B3GALT5	85.7656
B3GALT6	298.3936	B3GALT6	439.6048
B3GALTL	289.1566	B3GALTL	273.4621
removed	removed	B3GAT1	42.2093
removed	removed	B3GAT2	10.6556
B3GAT3	717.6707	B3GAT3	373.5968
B3GNT1	504.0161	B3GNT1	782.6673
B3GNT2	1294.3775	B3GNT2	1077.2339
B3GNT3	414.8594	B3GNT3	326.4481
B3GNT4	16.8675	removed	removed
B3GNT5	63.8554	B3GNT5	662.326
B3GNT7	54.2169	B3GNT7	89.8069
B3GNT8	51.004	B3GNT8	58.3745
B3GNT9	1022.8032	B3GNT9	322.6762
B3GNTL1	76.8835	B3GNTL1	48.9358
B4GALNT1	55.2811	B4GALNT1	25.7521
B4GALNT2	592.3695	removed	removed
B4GALNT3	60.6426	B4GALNT3	56.1293
B4GALNT4	244.5783	B4GALNT4	98.3386
B4GALT1	9298.7952	B4GALT1	4373.5968
B4GALT2	1420.0803	B4GALT2	1234.8451
B4GALT3	1653.012	B4GALT3	680.7364
B4GALT4	353.8153	B4GALT4	428.379
B4GALT5	356.2249	B4GALT5	2181.859
B4GALT6	25.7028	B4GALT6	148.1814
B4GALT7	465.4618	B4GALT7	378.9852
B9D1	161.0442	B9D1	120.3098
B9D2	90.7068	B9D2	46.6996
BAALC	43.3735	BAALC	217.3327
BACE1	1507.6305	BACE1	1533.9021
BACE2	211.245	BACE2	1154.9169
BACH1	280.7229	BACH1	735.5186
BACH2	43.7751	BACH2	284.6879
BAD	821.4498	BAD	598.3925
BAG1	5076.9478	BAG1	1180.2155
BAG2	63.4538	BAG2	116.3
BAG3	362.6506	BAG3	1612.4832
BAG4	273.494	BAG4	300.4041
BAG5	705.6225	BAG5	1651.1001
BAHCC1	76.3052	BAHCC1	490.7948
BAHD1	1302.4096	BAHD1	625.0561
BAI1	9.2369	BAI1	39.515
BAI2	567.0683	BAI2	171.9802
removed	removed	BAI3	19.7575
BAIAP2L1	1846.1847	BAIAP2L1	406.8253
removed	removed	BAIAP2L2	5.8374
BAIAP2	1371.8876	BAIAP2	643.4665
BAIAP3	527.9157	BAIAP3	191.6075
BAK1	535.743	BAK1	285.137
BAMBI	800.8032	BAMBI	478.2218
BANF1	2015.6627	BANF1	1314.3242
removed	removed	BANK1	264.4814
BANP	180.3213	BANP	223.6192
BAP1	1872.2892	BAP1	1471.0373
BARD1	114.4578	BARD1	55.2313
BARX2	23.6948	BARX2	1164.3467
BASP1	273.8956	BASP1	211.4953
BAT1	2838.5542	BAT1	5245.6219
BAT2L1	2414.9679	BAT2L1	6327.8222
BAT2L2	6177.9116	BAT2L2	4415.357
BAT2	4787.5502	BAT2	4625.0561
BAT3	4754.2169	BAT3	3692.4113
BAT4	297.992	BAT4	239.3354
BAT5	1302.8112	BAT5	665.4692
BATF2	37.751	BATF2	69.6004
removed	removed	BATF3	20.6556
BATF	173.0924	BATF	62.4158
BAX	512.4498	BAX	228.1096
BAZ1A	794.3775	BAZ1A	821.7333
BAZ1B	3160.241	BAZ1B	2044.4544
removed	removed	BAZ2A	3055.9946
BAZ2B	269.9719	BAZ2B	1266.9376
BBC3	79.1165	BBC3	36.8208
BBOX1	22.49	BBOX1	775.9317
BBS10	295.1807	BBS10	657.8357
BBS12	96.3855	BBS12	162.5505
BBS1	874.6988	BBS1	906.6008
BBS2	1078.7149	BBS2	1151.3247
BBS4	716.8675	BBS4	411.3157
BBS5	100.0241	BBS5	206.5469
BBS7	245.7831	BBS7	339.9192
BBS9	433.7349	BBS9	408.6215
BBX	1479.1165	BBX	2118.5451
BCAM	7733.3333	BCAM	3260.4401
BCAN	11.6466	BCAN	11.2259
BCAP29	1737.751	BCAP29	1755.2762
BCAP31	7263.4538	BCAP31	6570.7229
BCAR1	1154.2169	BCAR1	775.9317
BCAR3	2322.8916	BCAR3	1044.0009
BCAS1	11192.7711	BCAS1	36.8208
BCAS2	859.6506	BCAS2	624.5038
BCAS3	1047.3896	BCAS3	581.0507
BCAS4	2176.3052	BCAS4	538.3925
BCAT1	296.7871	BCAT1	374.4948
BCAT2	1397.1888	BCAT2	431.5222
BCCIP	918.6627	BCCIP	766.7445
BCDIN3D	195.9558	BCDIN3D	177.1935
BCHE	10.0402	BCHE	77.683
BCKDHA	1400.8032	BCKDHA	829.8159
BCKDHB	607.6305	BCKDHB	442.2991
BCKDK	1344.1767	BCKDK	1091.6031
BCL10	381.9277	BCL10	427.0319
BCL11A	14.4578	BCL11A	181.41
BCL11B	12.8514	BCL11B	64.661
BCL2A1	14.0562	BCL2A1	17.9614
BCL2L11	1220.4819	BCL2L11	869.78
BCL2L12	301.7309	BCL2L12	120.0449
BCL2L13	1802.4096	BCL2L13	1801.9758
removed	removed	BCL2L14	15.2672
