gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
AMBRA1	1103.1297	AMBRA1	1051.9534
AMD1	1238.2068	AMD1	1886.8423
AMDHD1	7.5043	AMDHD1	19.4929
AMDHD2	198.0297	AMDHD2	109.0939
AMFR	4227.4131	AMFR	3626.0015
AMICA1	232.6328	AMICA1	343.9333
AMIGO1	75.0428	AMIGO1	226.6457
AMIGO2	929.6932	AMIGO2	2280.0033
AMIGO3	95.4712	AMIGO3	40.6376
AMMECR1L	822.136	AMMECR1L	975.3035
AMMECR1	336.0251	AMMECR1	291.7321
AMN1	183.0211	AMN1	261.6668
AMOTL1	1345.3513	AMOTL1	2995.9528
AMOTL2	1309.9144	AMOTL2	2219.5424
AMOT	1106.048	AMOT	1639.3822
AMPD1	7.5043	AMPD1	34.6907
AMPD2	549.4803	AMPD2	672.3383
AMPD3	280.5768	AMPD3	232.5927
AMPH	110.4797	AMPH	57.4874
AMT	50.6372	AMT	158.2225
removed	removed	AMY1A	29.0741
AMY2B	62.3648	AMY2B	382.767
AMZ1	11.2564	AMZ1	8.5901
AMZ2P1	228.8807	AMZ2P1	207.4833
AMZ2	2228.7723	AMZ2	1128.2729
ANAPC10	85.8824	ANAPC10	124.556
ANAPC11	1438.7379	ANAPC11	403.7334
ANAPC13	1643.7842	ANAPC13	1415.7
ANAPC16	1229.4518	ANAPC16	2574.3785
ANAPC1	569.0748	ANAPC1	1180.4741
ANAPC2	656.6248	ANAPC2	538.201
ANAPC4	335.6082	ANAPC4	660.4444
ANAPC5	1818.5381	ANAPC5	1846.8654
ANAPC7	1045.5969	ANAPC7	805.154
ANGEL1	886.7562	ANGEL1	769.4722
ANGEL2	675.8024	ANGEL2	910.5476
ANGPT1	104.2262	ANGPT1	236.227
ANGPT2	336.0251	ANGPT2	260.0149
removed	removed	ANGPT4	18.8321
ANGPTL1	71.7076	ANGPTL1	296.3575
ANGPTL2	2873.3068	ANGPTL2	1712.0674
ANGPTL4	203.0326	ANGPTL4	347.8979
ANGPTL7	8.755	ANGPTL7	445.6926
ANG	425.4178	ANG	372.2673
ANK1	20.0114	ANK1	11.5636
ANK2	431.4963	ANK2	610.8863
ANK3	1482.5129	ANK3	1721.3182
ANKAR	29.1833	ANKAR	81.2753
ANKDD1A	55.4483	ANKDD1A	107.0455
ANKFN1	148.4181	ANKFN1	7.9293
ANKFY1	2224.1863	ANKFY1	2564.4668
ANKHD1-EIF4EBP3	868.7793	ANKHD1-EIF4EBP3	1015.4489
ANKHD1	2648.3534	ANKHD1	3857.722
ANKH	1895.6654	ANKH	1526.0593
ANKIB1	1460.8339	ANKIB1	1920.5418
removed	removed	ANKK1	40.6376
ANKLE1	5.4198	ANKLE1	19.8232
ANKLE2	1444.5746	ANKLE2	1548.856
ANKMY1	132.5757	ANKMY1	181.0523
ANKMY2	416.0708	ANKMY2	818.0392
ANKRA2	281.4106	ANKRA2	449.6572
ANKRD10	1471.2565	ANKRD10	1440.9251
ANKRD11	1935.7425	ANKRD11	2617.0579
ANKRD12	784.6146	ANKRD12	2262.8232
ANKRD13A	930.5312	ANKRD13A	1826.7118
ANKRD13B	113.3981	ANKRD13B	112.6621
ANKRD13C	662.0446	ANKRD13C	676.303
ANKRD13D	749.1777	ANKRD13D	360.4526
ANKRD16	199.2512	ANKRD16	215.6637
ANKRD17	3213.0841	ANKRD17	5074.7501
ANKRD19	36.2707	ANKRD19	31.0564
ANKRD22	171.3478	ANKRD22	35.6818
ANKRD23	23.7636	ANKRD23	47.5758
ANKRD24	10.4226	ANKRD24	21.4752
ANKRD26	163.8435	ANKRD26	427.8517
ANKRD27	717.9098	ANKRD27	898.3233
ANKRD28	1211.5249	ANKRD28	1873.2964
ANKRD29	27.0988	ANKRD29	242.8347
ANKRD30A	938.0355	ANKRD30A	2440.902
ANKRD30B	105.8938	ANKRD30B	132.4853
removed	removed	ANKRD31	6.9381
ANKRD32	148.4181	ANKRD32	215.4126
ANKRD34A	20.4283	ANKRD34A	9.5812
ANKRD35	36.2707	ANKRD35	142.0666
ANKRD36BP1	125.9052	ANKRD36BP1	337.3255
ANKRD36B	34.1862	ANKRD36B	89.8654
ANKRD36	202.6157	ANKRD36	407.0373
ANKRD37	59.4631	ANKRD37	127.4998
ANKRD39	164.2604	ANKRD39	73.346
ANKRD40	4510.4914	ANKRD40	1576.6086
ANKRD42	574.9115	ANKRD42	308.2514
ANKRD43	12.924	ANKRD43	57.8178
ANKRD44	128.8235	ANKRD44	145.0401
removed	removed	ANKRD45	19.1625
ANKRD46	279.422	ANKRD46	641.6519
ANKRD49	148.835	ANKRD49	366.0692
ANKRD50	1843.5524	ANKRD50	1938.0524
ANKRD52	1474.1748	ANKRD52	1647.3115
ANKRD53	15.4255	ANKRD53	25.4398
ANKRD54	561.5706	ANKRD54	290.0801
ANKRD55	5.0029	removed	removed
ANKRD56	43.3581	ANKRD56	98.1251
ANKRD57	215.1228	ANKRD57	1105.8066
