gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
AMZ2	1055.3746	AMZ2	1070.0533
ANAPC10	100.6402	ANAPC10	125.7681
ANAPC11	1267.4379	ANAPC11	648.9144
ANAPC13	2244.7175	ANAPC13	1087.6649
ANAPC16	1940.9188	ANAPC16	2496.9275
ANAPC1	1961.1367	ANAPC1	1175.338
ANAPC2	952.4879	ANAPC2	816.8783
ANAPC4	417.3874	ANAPC4	550.1844
ANAPC5	3384.4771	ANAPC5	2554.6907
ANAPC7	1378.4118	ANAPC7	1006.5547
ANGEL1	376.9516	ANGEL1	822.6137
ANGEL2	426.8224	ANGEL2	666.1204
ANGPT1	24.2615	ANGPT1	109.7911
ANGPT2	181.9611	ANGPT2	111.8394
ANGPTL1	8.9857	ANGPTL1	70.4629
ANGPTL2	1188.8128	ANGPTL2	1197.8697
ANGPTL4	48.523	ANGPTL4	512.4949
removed	removed	ANGPTL7	180.254
ANG	174.5479	ANG	218.9226
ANK1	13.9279	ANK1	9.4224
ANK2	71.4366	ANK2	171.2413
ANK3	1574.3008	ANK3	1677.5912
ANKAR	13.0293	ANKAR	45.0635
ANKDD1A	47.1751	ANKDD1A	64.3179
removed	removed	ANKFN1	9.0127
ANKFY1	2053.2405	ANKFY1	2054.0762
ANKHD1-EIF4EBP3	1534.5614	ANKHD1-EIF4EBP3	1351.2741
ANKHD1	1454.9972	ANKHD1	2481.1676
ANKH	2471.0772	ANKH	1194.5924
ANKIB1	891.8342	ANKIB1	1554.281
ANKK1	11.6815	ANKK1	43.4248
removed	removed	ANKLE1	34.0025
ANKLE2	1937.3245	ANKLE2	2002.8677
ANKMY1	168.0332	ANKMY1	217.9435
ANKMY2	591.2614	ANKMY2	789.0209
ANKRA2	296.9785	ANKRA2	305.2028
ANKRD10	1059.225	ANKRD10	1159.152
ANKRD11	1911.832	ANKRD11	2943.5027
ANKRD12	643.8279	ANKRD12	1263.007
ANKRD13A	1160.5077	ANKRD13A	1652.6014
ANKRD13B	113.6695	ANKRD13B	197.8697
ANKRD13C	673.0316	ANKRD13C	624.3343
ANKRD13D	317.6457	ANKRD13D	433.8386
ANKRD16	128.8465	ANKRD16	213.0274
ANKRD17	2880.3774	ANKRD17	5152.3966
ANKRD19	33.6965	ANKRD19	49.9795
removed	removed	ANKRD20A3	10.2417
ANKRD22	411.5467	ANKRD22	36.0508
ANKRD23	23.8122	ANKRD23	46.7022
ANKRD24	35.4937	ANKRD24	50.7989
ANKRD26	118.1624	ANKRD26	338.3859
ANKRD27	570.1449	ANKRD27	879.1479
ANKRD28	787.1504	ANKRD28	1427.6936
removed	removed	ANKRD29	140.1065
ANKRD30A	1050.4324	ANKRD30A	429.3322
ANKRD30B	63.3494	ANKRD30B	34.0025
ANKRD32	210.2662	ANKRD32	158.1319
ANKRD34A	22.4643	ANKRD34A	18.8447
ANKRD34B	38.6387	removed	removed
ANKRD35	19.7686	ANKRD35	201.5567
ANKRD36BP1	32.7979	ANKRD36BP1	215.0758
ANKRD36B	6.29	ANKRD36B	18.8447
ANKRD36	31.4501	ANKRD36	183.941
ANKRD37	206.7483	ANKRD37	63.8017
ANKRD39	86.7123	ANKRD39	125.7681
ANKRD40	3637.4256	ANKRD40	1386.7268
ANKRD42	280.3549	ANKRD42	227.7755
ANKRD43	49.8708	ANKRD43	22.9414
ANKRD44	19.3193	ANKRD44	58.5825
removed	removed	ANKRD45	28.2671
ANKRD46	312.9552	ANKRD46	510.5981
ANKRD49	230.4841	ANKRD49	252.3556
ANKRD50	1513.1978	ANKRD50	1308.0705
ANKRD52	1006.4023	ANKRD52	1775.9115
removed	removed	ANKRD53	12.6997
ANKRD54	612.3779	ANKRD54	390.4138
ANKRD56	105.1331	ANKRD56	65.9566
ANKRD57	948.8936	ANKRD57	1291.6837
ANKRD58	28.3051	ANKRD58	7.7837
