gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
AMACR	530.4507	AMACR	304.5617
AMBRA1	892.2046	AMBRA1	771.9141
AMD1	1391.5956	AMD1	1815.2683
AMDHD1	33.4957	AMDHD1	16.5474
AMDHD2	161.0292	AMDHD2	186.4937
AMFR	2070.6456	AMFR	2889.0877
AMICA1	293.24	AMICA1	194.9911
AMIGO1	61.2058	AMIGO1	135.9571
AMIGO2	1315.4659	AMIGO2	1608.6717
AMIGO3	55.4202	AMIGO3	39.8032
AMMECR1L	814.2509	AMMECR1L	1053.6673
AMMECR1	332.5213	AMMECR1	242.8444
AMN1	129.7199	AMN1	150.7156
AMOTL1	1424.7868	AMOTL1	2083.1843
AMOTL2	2307.5518	AMOTL2	6706.619
AMOT	795.3715	AMOT	980.7692
AMPD2	834.9574	AMPD2	432.4687
AMPD3	352.9233	AMPD3	284.4365
AMPH	151.3398	AMPH	200.3578
AMT	36.2363	AMT	107.3479
AMY1A	18.8794	AMY1A	6.7084
AMY2B	51.3733	AMY2B	135.2326
AMZ1	24.3605	removed	removed
AMZ2P1	160.7795	AMZ2P1	198.5689
AMZ2	1220.7674	AMZ2	1208.4079
ANAPC10	127.5883	ANAPC10	137.2987
ANAPC11	833.1303	ANAPC11	607.3345
ANAPC13	1013.7942	ANAPC13	1108.5689
ANAPC16	1781.9732	ANAPC16	2169.4991
ANAPC1	623.9342	ANAPC1	744.186
ANAPC2	574.6041	ANAPC2	536.6726
ANAPC4	489.6468	ANAPC4	505.3667
ANAPC5	1779.2326	ANAPC5	1978.5331
ANAPC7	816.3825	ANAPC7	782.2004
ANGEL1	346.8331	ANGEL1	380.5903
ANGEL2	610.8404	ANGEL2	623.4347
ANGPT1	263.3983	ANGPT1	1247.3166
ANGPT2	1278.3191	ANGPT2	656.0823
removed	removed	ANGPT4	88.1038
ANGPTL1	45.3715	ANGPTL1	597.4955
ANGPTL2	5896.7722	ANGPTL2	12279.9642
ANGPTL4	155.9074	ANGPTL4	4762.9696
removed	removed	ANGPTL5	55.4562
ANGPTL6	6.0353	removed	removed
removed	removed	ANGPTL7	74.6869
ANG	226.9793	ANG	447.9606
ANK1	12.4848	ANK1	41.5921
ANK2	335.5664	ANK2	3944.9911
ANK3	1040.4994	ANK3	475.4025
ANKAR	24.056	ANKAR	46.5116
ANKDD1A	92.2655	ANKDD1A	570.2147
ANKFY1	2189.4032	ANKFY1	2536.2254
ANKHD1-EIF4EBP3	974.6681	ANKHD1-EIF4EBP3	1224.0564
ANKHD1	1767.8776	ANKHD1	1658.314
ANKH	7880.6334	ANKH	1741.0555
ANKIB1	1774.665	ANKIB1	1609.1234
removed	removed	ANKK1	8.4973
ANKLE2	2053.2887	ANKLE2	1644.9016
ANKMY1	167.7832	ANKMY1	176.6547
ANKMY2	353.2278	ANKMY2	537.5671
ANKRA2	295.9805	ANKRA2	203.9356
ANKRD10	1224.7442	ANKRD10	1055.644
ANKRD11	1448.6145	ANKRD11	2181.9857
ANKRD12	1110.5359	ANKRD12	1542.4866
ANKRD13A	1089.2205	ANKRD13A	1080.5009
ANKRD13B	133.9829	ANKRD13B	117.6208
ANKRD13C	605.9683	ANKRD13C	723.1664
ANKRD13D	473.8124	ANKRD13D	300.9839
ANKRD16	110.2314	ANKRD16	109.1011
ANKRD17	2850.7917	ANKRD17	2919.0519
ANKRD19	29.2326	ANKRD19	34.8837
ANKRD1	23.447	ANKRD1	10.7335
removed	removed	ANKRD20A3	5.3667
removed	removed	ANKRD20B	6.7084
ANKRD22	162.3021	ANKRD22	27.2809
ANKRD23	18.2704	ANKRD23	12.9696
ANKRD24	9.4397	ANKRD24	12.5224
removed	removed	ANKRD26P1	6.7084
ANKRD26	278.9281	ANKRD26	229.8748
ANKRD27	626.0658	ANKRD27	832.2898
ANKRD28	1490.5603	ANKRD28	1394.4544
ANKRD29	53.2887	ANKRD29	335.4204
ANKRD2	5.4811	removed	removed
ANKRD30A	469.5493	ANKRD30A	137.2987
ANKRD30B	59.0743	ANKRD30B	21.9141
removed	removed	ANKRD31	5.3667
ANKRD32	211.3276	ANKRD32	125.6708
ANKRD34A	14.0073	ANKRD34A	8.0501
ANKRD35	115.408	ANKRD35	177.5492
ANKRD36BP1	70.341	ANKRD36BP1	110.0179
ANKRD36B	17.6614	ANKRD36B	38.9088
ANKRD36	90.4385	ANKRD36	141.771
ANKRD37	179.8721	ANKRD37	114.8569
ANKRD39	109.0134	ANKRD39	100.6261
ANKRD40	1696.1023	ANKRD40	4193.2021
ANKRD42	364.4945	ANKRD42	238.8193
ANKRD43	45.676	ANKRD43	30.8587
ANKRD44	109.9269	ANKRD44	119.4097
ANKRD45	8.2217	ANKRD45	6.7084
ANKRD46	334.6529	ANKRD46	678.4436
ANKRD49	186.9671	ANKRD49	208.4079
ANKRD50	1784.4093	ANKRD50	1036.6726
ANKRD52	788.3678	ANKRD52	1045.6172
ANKRD53	9.7442	ANKRD53	84.9732
ANKRD54	280.4507	ANKRD54	255.3667
ANKRD56	51.7661	ANKRD56	46.9589
ANKRD57	474.7259	ANKRD57	635.5098
