gene_id	TCGA-BH-A0E1-01A-11R-A056-07	gene_id	TCGA-BH-A0E1-11A-13R-A089-07
AMZ2	1536.6007	AMZ2	1107.7903
ANAPC10	125.5095	ANAPC10	186.6732
ANAPC11	1008.4313	ANAPC11	701.6169
ANAPC13	1177.8969	ANAPC13	1195.4777
ANAPC16	1749.6105	ANAPC16	2936.3057
ANAPC1	601.8122	ANAPC1	747.6727
ANAPC2	614.4819	ANAPC2	770.7006
ANAPC4	381.6756	ANAPC4	508.0843
ANAPC5	3425.9741	ANAPC5	2682.0186
ANAPC7	1063.0695	ANAPC7	1021.0681
ANGEL1	376.5285	ANGEL1	658.5007
ANGEL2	1130.7734	ANGEL2	658.9907
ANGPT1	60.1812	ANGPT1	71.5336
ANGPT2	264.0847	ANGPT2	129.8383
removed	removed	ANGPT4	6.3694
ANGPTL1	29.6947	ANGPTL1	91.6218
ANGPTL2	669.1201	ANGPTL2	1512.0039
ANGPTL4	232.4104	ANGPTL4	1314.0617
ANGPTL6	8.3897	removed	removed
removed	removed	ANGPTL7	74.9633
ANG	804.1398	ANG	424.0666
ANK1	15.4412	removed	removed
ANK2	83.937	ANK2	219.9902
ANK3	1517.992	ANK3	1799.1181
ANKAR	25.7354	ANKAR	37.2366
ANKDD1A	23.7557	ANKDD1A	40.6663
removed	removed	ANKFN1	5.3895
ANKFY1	1716.7484	ANKFY1	1886.3302
ANKHD1-EIF4EBP3	1664.6441	ANKHD1-EIF4EBP3	1262.8466
ANKHD1	1738.0177	ANKHD1	2382.8907
ANKH	2159.3971	ANKH	1043.1161
ANKIB1	1155.321	ANKIB1	1104.3606
removed	removed	ANKK1	50.9554
removed	removed	ANKLE1	39.1965
ANKLE2	1624.101	ANKLE2	1671.2396
ANKMY1	289.0282	ANKMY1	257.7168
ANKMY2	576.4727	ANKMY2	774.1303
ANKRA2	294.1753	ANKRA2	396.8643
ANKRD10	956.5646	ANKRD10	798.0451
ANKRD11	1170.1842	ANKRD11	2302.2097
ANKRD12	1385.7517	ANKRD12	870.6516
ANKRD13A	720.195	ANKRD13A	1599.2161
ANKRD13B	114.8194	ANKRD13B	144.047
ANKRD13C	549.9455	ANKRD13C	565.4091
ANKRD13D	823.5324	ANKRD13D	327.2905
ANKRD16	221.3164	ANKRD16	214.7085
ANKRD17	2401.7057	ANKRD17	2922.587
ANKRD19	59.3894	ANKRD19	109.2602
removed	removed	ANKRD20A3	17.6384
ANKRD20B	11.8779	ANKRD20B	12.7389
ANKRD22	19.4005	ANKRD22	101.9108
ANKRD23	17.0249	ANKRD23	32.3371
ANKRD24	34.8418	ANKRD24	49.4855
ANKRD26	305.6572	ANKRD26	160.7055
ANKRD27	821.1569	ANKRD27	725.1347
ANKRD28	1560.3564	ANKRD28	1563.4493
ANKRD29	208.2587	ANKRD29	154.8261
ANKRD30A	538.0676	ANKRD30A	197.4522
ANKRD30B	327.8293	ANKRD30B	14.2087
ANKRD32	176.5844	ANKRD32	138.1676
ANKRD34A	43.9481	ANKRD34A	21.5581
ANKRD35	35.6336	ANKRD35	302.7927
ANKRD36BP1	64.9324	ANKRD36BP1	140.6173
removed	removed	ANKRD36B	28.4174
ANKRD36	51.8667	ANKRD36	137.6776
ANKRD37	59.0568	ANKRD37	140.9897
ANKRD39	248.6434	ANKRD39	131.3082
ANKRD40	1220.6493	ANKRD40	1286.6242
ANKRD42	359.8995	ANKRD42	266.0461
ANKRD43	47.9074	ANKRD43	11.7589
ANKRD44	17.0249	ANKRD44	40.6663
removed	removed	ANKRD45	19.1083
ANKRD46	361.5664	ANKRD46	492.9642
ANKRD49	171.8332	ANKRD49	286.1342
ANKRD50	1113.3525	ANKRD50	748.6526
ANKRD52	1634.7911	ANKRD52	1185.2033
removed	removed	ANKRD53	19.1083
ANKRD54	557.4681	ANKRD54	385.5953
ANKRD55	9.1064	ANKRD55	7.3493
ANKRD56	155.996	ANKRD56	112.6899
ANKRD57	2461.095	ANKRD57	869.6717
ANKRD58	7.1267	removed	removed
ANKRD5	250.2272	ANKRD5	231.7491
ANKRD6	118.6599	ANKRD6	283.6502
ANKRD9	81.1655	ANKRD9	84.7624
ANKS1A	798.9848	ANKS1A	1682.5086
ANKS1B	38.801	ANKS1B	59.2847
ANKS3	124.3217	ANKS3	249.3876
ANKS6	45.9278	ANKS6	171.4846
ANKZF1	382.8634	ANKZF1	628.1235
ANLN	1519.9717	ANLN	40.1764
ANO10	991.8023	ANO10	930.9162
ANO1	1644.6893	ANO1	10310.632
ANO2	60.1812	ANO2	18.6183
removed	removed	ANO3	5.8795
ANO4	53.4504	removed	removed
ANO5	21.3802	ANO5	39.6864
ANO6	1624.8929	ANO6	2381.6756
