gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
SUSD2	220.4402	SUSD2	288.4811
SUSD3	1960.0667	SUSD3	294.5973
SUSD4	34.2285	SUSD4	150.3568
SUSD5	57.0475	SUSD5	132.7727
SUV39H1	152.1985	SUV39H1	162.844
SUV39H2	208.8155	SUV39H2	138.1244
SUV420H1	1684.0859	SUV420H1	2032.1101
SUV420H2	75.3458	SUV420H2	101.9368
SUZ12P	159.3025	SUZ12P	195.7187
SUZ12	1333.8356	SUZ12	1209.9898
SV2A	43.7006	SV2A	153.4149
SV2B	47.3602	SV2B	274.21
SVEP1	696.0723	SVEP1	5677.9638
SVIL	1070.8875	SVIL	2979.8522
SVIP	611.1619	SVIP	417.686
removed	removed	SVOPL	8.4098
SWAP70	2377.2671	SWAP70	3542.5586
SYAP1	10227.8672	SYAP1	906.9827
SYBU	969.1728	SYBU	775.739
removed	removed	SYCE1L	8.6646
SYCE1	291.0263	SYCE1	79.1616
SYCE2	7.5346	removed	removed
removed	removed	SYCP2L	5.8614
SYCP2	504.1709	SYCP2	402.3955
SYDE1	157.3651	SYDE1	450.8155
SYDE2	444.1096	SYDE2	288.4811
SYF2	1066.0352	SYF2	1329.001
SYK	410.7422	SYK	665.3925
SYMPK	1257.844	SYMPK	1371.0499
SYN1	8.1804	SYN1	6.371
SYN2	32.5063	SYN2	390.1631
removed	removed	SYN3	18.8583
SYNCRIP	5669.8778	SYNCRIP	4875.1274
SYNC	840.6824	SYNC	364.9235
SYNE1	1008.9877	SYNE1	3855.5046
SYNE2	3142.1344	SYNE2	8572.8848
SYNGAP1	346.3753	SYNGAP1	567.0234
SYNGR1	267.5292	SYNGR1	853.6264
SYNGR2	5526.075	SYNGR2	1788.2263
SYNJ1	722.889	SYNJ1	670.7441
SYNJ2BP	1939.6157	SYNJ2BP	1710.7543
SYNJ2	1318.1207	SYNJ2	974.0061
SYNM	456.3802	SYNM	11610.3466
SYNPO2L	40.4714	SYNPO2L	10.4485
SYNPO2	827.7272	SYNPO2	5593.527
SYNPO	1152.1447	SYNPO	4303.7717
SYNRG	1514.0197	SYNRG	1551.7329
SYPL1	6909.6389	SYPL1	3724.261
SYPL2	17.2219	SYPL2	24.21
SYP	42.4089	SYP	42.5586
SYS1-DBNDD2	31.4063	SYS1-DBNDD2	13.8634
SYS1	1345.7618	SYS1	932.3191
SYT11	468.6508	SYT11	586.1366
SYT12	485.0116	SYT12	295.6167
SYT13	2118.9387	SYT13	15.0357
SYT15	71.0403	SYT15	450.8155
SYT17	375.8678	SYT17	148.318
SYT1	6597.9226	SYT1	141.1825
removed	removed	SYT2	26.2487
removed	removed	SYT3	6.1162
SYT6	40.4714	SYT6	15.5454
SYT7	1585.06	SYT7	1026.7584
removed	removed	SYT8	48.9297
SYT9	1255.9066	SYT9	98.369
SYTL1	605.7801	SYTL1	277.5229
SYTL2	3910.2309	SYTL2	2496.9419
SYTL3	188.795	SYTL3	120.2854
SYTL4	878.5318	SYTL4	825.9429
SYTL5	587.6971	SYTL5	269.8777
SYVN1	1763.5219	SYVN1	1362.895
TAB1	253.6484	TAB1	628.5347
TAB2	2802.002	TAB2	3406.9827
TAB3	1108.6594	TAB3	1077.2171
TAC1	12.2706	TAC1	15.5454
TACC1	1895.4846	TACC1	9046.6361
TACC2	732.1457	TACC2	1104.2304
TACC3	269.7379	TACC3	106.7788
TACO1	345.7295	TACO1	236.2385
TACR1	32.291	TACR1	732.6707
TACR2	26.2634	TACR2	12.4873
TACSTD2	8314.9454	TACSTD2	4747.7064
TADA1	388.7842	TADA1	343.527
TADA2A	222.3777	TADA2A	232.4159
TADA2B	1495.9367	TADA2B	1103.211
TADA3	1489.1879	TADA3	1080.4001
TAF10	559.4963	TAF10	355.2497
TAF11	480.2734	TAF11	496.1774
TAF12	552.3922	TAF12	335.8818
TAF13	261.7728	TAF13	170.7441
TAF15	1908.4011	TAF15	1849.8981
TAF1A	80.9429	TAF1A	120.0306
TAF1B	296.2166	TAF1B	261.7227
TAF1C	247.9953	TAF1C	938.8379
TAF1D	539.3509	TAF1D	655.9455
TAF1L	40.4714	TAF1L	58.6137
TAF1	1675.9055	TAF1	2055.8104
TAF2	1188.0954	TAF2	857.7982
TAF3	249.0716	TAF3	376.1468
TAF4B	70.1792	TAF4B	268.8583
TAF4	464.5606	TAF4	484.1998
TAF5L	616.1132	TAF5L	645.2599
TAF5	128.5184	TAF5	168.9602
TAF6L	141.6501	TAF6L	184.2508
TAF6	730.6388	TAF6	777.0872
TAF7	2682.0946	TAF7	2707.1865
TAF8	618.4812	TAF8	631.7533
TAF9B	1510.7906	TAF9B	961.5189
TAF9	1533.6096	TAF9	986.5698
TAGAP	189.8714	TAGAP	278.0326
TAGLN2	7528.7659	TAGLN2	6589.7044
TAGLN	3610.9122	TAGLN	13721.5877
TAL1	79.436	TAL1	477.0642
TALDO1	2280.6092	TALDO1	1375.3823
TANC1	917.2811	TANC1	1996.9419
TANC2	1729.5086	TANC2	969.1641
TANK	802.1097	TANK	1711.5189
TAOK1	874.2264	TAOK1	1245.9225
TAOK2	2144.1257	TAOK2	1633.2824
TAOK3	1109.3052	TAOK3	1212.7931
TAP1	1302.4057	TAP1	1265.2905
TAP2	524.0471	TAP2	1164.6432
TAPBPL	381.7835	TAPBPL	396.5877
TAPBP	3582.1538	TAPBP	2707.6962
TAPT1	1042.1398	TAPT1	1154.1794
TARBP1	888.865	TARBP1	917.1764
TARBP2	393.5203	TARBP2	214.3221
TARDBP	3821.5381	TARDBP	3707.6962
TARP	42.1936	TARP	11.7227
TARS2	680.0495	TARS2	389.6534
TARSL2	364.4583	TARSL2	385.5759
TARS	1595.6084	TARS	1161.0601
removed	removed	TAS1R1	5.8614
TAS1R3	18.083	TAS1R3	12.9969
removed	removed	TAS2R10	6.371
TAS2R14	10.3697	TAS2R14	8.9348
TAS2R20	15.4997	TAS2R20	17.3293
removed	removed	TAS2R3	5.8614
TAS2R4	5.1666	TAS2R4	11.4679
TAS2R5	9.2568	TAS2R5	22.6809
TASP1	234.0025	TASP1	256.6259
TATDN1	280.9321	TATDN1	396.0245
TATDN2	1443.4099	TATDN2	1358.3078
TATDN3	235.9399	TATDN3	252.8033
TAT	24.3259	TAT	3924.8216
TAX1BP1	3915.3974	TAX1BP1	3299.6942
TAX1BP3	1506.7176	TAX1BP3	1402.3344
TAZ	191.8088	TAZ	323.6493
TBC1D10A	250.6453	TBC1D10A	476.5698
TBC1D10B	1538.7762	TBC1D10B	884.5566
TBC1D10C	37.4576	TBC1D10C	55.3007
TBC1D12	400.409	TBC1D12	595.8206
TBC1D13	703.0838	TBC1D13	1180.1733
TBC1D14	1523.0612	TBC1D14	2301.9878
TBC1D15	1409.8272	TBC1D15	1732.9256
TBC1D16	392.6592	TBC1D16	648.0632
TBC1D17	643.6747	TBC1D17	951.8374
TBC1D19	211.614	TBC1D19	148.8277
TBC1D1	982.2937	TBC1D1	1237.5127
TBC1D20	1577.956	TBC1D20	1623.0887
TBC1D22A	178.6771	TBC1D22A	320.0815
TBC1D22B	444.8135	TBC1D22B	405.2905
TBC1D23	1191.5397	TBC1D23	1070.3364
TBC1D24	386.6918	TBC1D24	290.4128
TBC1D25	276.1961	TBC1D25	474.261
TBC1D2B	1235.025	TBC1D2B	2373.8532
TBC1D2	650.9876	TBC1D2	318.0428
TBC1D3B	78.1443	TBC1D3B	88.4302
TBC1D3C	17.2219	removed	removed
removed	removed	TBC1D3G	35.9327
TBC1D3H	10.7637	TBC1D3H	7.3904
TBC1D3	272.6915	TBC1D3	302.3114
TBC1D4	954.954	TBC1D4	2260.1937
TBC1D5	1608.5248	TBC1D5	2128.9501
TBC1D7	254.0229	TBC1D7	151.3761
TBC1D8B	690.8132	TBC1D8B	355.2497
TBC1D8	1050.1049	TBC1D8	1222.7319
TBC1D9B	2860.987	TBC1D9B	3650.1019
TBC1D9	12224.3152	TBC1D9	8384.0469
TBCA	1245.3582	TBCA	863.1498
TBCB	502.3088	TBCB	580.8792
TBCCD1	343.5768	TBCCD1	363.1498
TBCC	312.5774	TBCC	356.2691
TBCD	1819.4909	TBCD	1257.3675
TBCEL	753.4578	TBCEL	557.0846
TBCE	367.1277	TBCE	277.6988
TBCK	1052.699	TBCK	485.6065
TBK1	1036.5427	TBK1	816.7686
TBKBP1	71.9014	TBKBP1	375.6371
TBL1XR1	3513.6968	TBL1XR1	3261.4679
TBL1X	880.254	TBL1X	1159.5311
TBL2	1157.9571	TBL2	593.2722
TBL3	643.453	TBL3	504.5872
TBPL1	216.7806	TBPL1	303.262
TBP	261.3422	TBP	321.6106
TBRG1	930.2879	TBRG1	1193.4251
TBRG4	581.8847	TBRG4	569.8267
TBX15	192.4547	TBX15	429.4088
TBX18	122.706	TBX18	268.3486
TBX19	31.8648	TBX19	117.9918
TBX1	6.8888	TBX1	132.0082
TBX21	9.6873	TBX21	25.4842
TBX2	92.783	TBX2	244.3935
TBX3	263.495	TBX3	3336.1366
TBX5	30.5689	TBX5	68.2977
TBX6	77.4985	TBX6	19.368
TBXA2R	51.2351	TBXA2R	44.5973
TBXAS1	213.1209	TBXAS1	210.4995
TC2N	8911.684	TC2N	2912.0795
removed	removed	TCAP	7.6453
TCEA1	2702.3303	TCEA1	1449.0316
TCEA2	186.2117	TCEA2	282.8746
TCEA3	1593.4557	TCEA3	439.6024
TCEAL1	915.1284	TCEAL1	664.1182
TCEAL2	5.5971	TCEAL2	62.1814
TCEAL3	815.8872	TCEAL3	536.1876
TCEAL4	3366.2343	TCEAL4	2748.7258
TCEAL5	14.4233	TCEAL5	35.9327
TCEAL6	43.0547	TCEAL6	31.3456
TCEAL7	33.3674	TCEAL7	163.3537
TCEAL8	1193.0467	TCEAL8	903.4149
TCEANC	353.4794	TCEANC	94.2915
TCEB1	552.6075	TCEB1	377.9307
TCEB2	1084.5487	TCEB2	621.5596
TCEB3	1758.7127	TCEB3	1648.7411
TCERG1	974.5439	TCERG1	1185.7798
TCF12	2699.5318	TCF12	2358.081
removed	removed	TCF15	38.736
TCF19	290.1889	TCF19	254.842
TCF20	764.4368	TCF20	1502.0387
removed	removed	TCF21	7.6453
TCF25	888.0039	TCF25	1763.2518
TCF3	731.7152	TCF3	888.3792
TCF4	2255.2069	TCF4	3937.8186
TCF7L1	337.7644	TCF7L1	1094.8012
TCF7L2	697.702	TCF7L2	1385.0663
TCF7	128.5184	TCF7	448.7768
TCFL5	343.1462	TCFL5	345.5657
removed	removed	TCHH	10.9582
TCHP	285.0374	TCHP	419.0061
TCIRG1	727.625	TCIRG1	593.7819
TCN1	21.9579	TCN1	74.9235
TCN2	199.1281	TCN2	664.3731
TCOF1	604.4885	TCOF1	853.4659
TCP10L	25.0751	TCP10L	20.3568
TCP11L1	116.2478	TCP11L1	292.1687
TCP11L2	201.4962	TCP11L2	517.3293
TCP1	3415.9389	TCP1	3045.9047
TCTA	1641.4617	TCTA	739.0418
TCTE1	6.0277	removed	removed
TCTE3	43.7006	TCTE3	33.1295
TCTEX1D1	12.4859	TCTEX1D1	7.6453
TCTEX1D2	189.2256	TCTEX1D2	71.3558
TCTEX1D4	5.8124	TCTEX1D4	9.4292
TCTN1	1145.4712	TCTN1	441.9215
TCTN2	754.3189	TCTN2	668.9602
TCTN3	1895.0541	TCTN3	1198.2671
TDG	567.8919	TDG	465.0866
TDO2	24.9717	removed	removed
TDP1	561.649	TDP1	401.3761
TDP2	993.2727	TDP2	839.1947
TDRD10	6.4582	TDRD10	77.2171
TDRD12	6.2429	TDRD12	23.5423
TDRD1	25.6176	TDRD1	33.6391
TDRD3	470.8035	TDRD3	526.5036
TDRD5	6.6735	TDRD5	159.7859
TDRD6	5.3818	TDRD6	69.8267
TDRD7	671.8691	TDRD7	511.213
TDRD9	34.6591	TDRD9	127.1662
TDRKH	319.4661	TDRKH	230.3772
TEAD1	1036.758	TEAD1	3259.9388
TEAD2	569.1836	TEAD2	853.7207
TEAD3	739.6803	TEAD3	764.0163
TEAD4	222.3777	TEAD4	156.2181
TECPR1	155.2123	TECPR1	346.84
TECPR2	1004.4669	TECPR2	1077.472
TECR	1342.8771	TECR	937.3089
TECTA	42.6242	TECTA	25.2294
TEC	23.4648	TEC	71.8654
TEF	642.8072	TEF	1840.9786
TEKT2	5.3818	TEKT2	12.9969
TEKT3	45.4227	TEKT3	6.8807
TEKT5	7.3193	removed	removed
TEK	494.4836	TEK	1541.0296
TELO2	383.8329	TELO2	328.4913
TENC1	2025.2947	TENC1	5835.8741
TEP1	1128.4646	TEP1	1062.1814
removed	removed	TEPP	10.4485
TERF1	499.6502	TERF1	648.0632
TERF2IP	1021.043	TERF2IP	1679.1539
TERF2	443.2485	TERF2	661.5698
TESC	12.7011	TESC	128.9501
TESK1	641.3003	TESK1	820.8461
TESK2	370.0554	TESK2	352.4465
TES	867.71	TES	1735.762
TET1	64.3668	TET1	124.1081
TET2	1325.0094	TET2	1212.7931
TET3	745.2774	TET3	724.0061
TEX10	444.5401	TEX10	443.1702
TEX14	59.4155	TEX14	16.055
TEX261	2736.9894	TEX261	2453.6188
TEX264	1088.8542	TEX264	627.6758
TEX2	2310.9628	TEX2	2215.3415
TEX9	101.6092	TEX9	89.9592
TFAM	900.705	TFAM	707.6962
TFAP2A	3017.2757	TFAP2A	2072.1203
TFAP2B	1426.4033	TFAP2B	960.2446
TFAP2C	377.1595	TFAP2C	1536.4424
TFAP2E	7.104	TFAP2E	17.8389
TFAP4	217.2111	TFAP4	250.5097
TFB1M	145.9555	TFB1M	111.8756
TFB2M	521.1775	TFB2M	269.368
TFCP2L1	93.4288	TFCP2L1	1009.684
TFCP2	783.1656	TFCP2	678.6442
TFDP1	1580.7545	TFDP1	1221.7125
TFDP2	281.7932	TFDP2	322.63
TFDP3	12.0553	removed	removed
TFE3	948.711	TFE3	1562.946
TFEB	234.6483	TFEB	365.4434
TFEC	174.5869	TFEC	113.4047
TFF1	14692.4277	TFF1	18.0938
TFF2	10.1179	removed	removed
TFF3	11443.5176	TFF3	593.527
TFG	2665.9491	TFG	1455.4027
TFIP11	582.7889	TFIP11	796.6743
TFPI2	6.6735	TFPI2	152.6504
TFPI	443.2485	TFPI	3049.1845
TFPT	113.2641	TFPT	108.5474
TFR2	11.8401	removed	removed
TFRC	1578.6018	TFRC	1587.9205
TF	39.1798	TF	779.8165
TGDS	253.3771	TGDS	273.4455
TGFA	78.1443	TGFA	285.1682
TGFB1I1	264.7866	TGFB1I1	727.3191
TGFB1	589.6346	TGFB1	502.0387
TGFB2	208.6002	TGFB2	310.6524
TGFB3	3384.9631	TGFB3	637.8695
TGFBI	1413.0563	TGFBI	1788.736
TGFBR1	1704.5369	TGFBR1	1917.1764
TGFBR2	2619.6652	TGFBR2	12864.1692
TGFBR3	1346.3215	TGFBR3	6878.4404
TGFBRAP1	440.2346	TGFBRAP1	470.1835
TGIF1	1244.7123	TGIF1	1178.3894
TGIF2	446.723	TGIF2	628.7615
removed	removed	TGM1	23.7003
TGM2	712.9864	TGM2	952.5994
removed	removed	TGM5	17.3293
TGOLN2	10297.1853	TGOLN2	10013.5066
TGS1	593.079	TGS1	598.1142
TG	10.5484	removed	removed
TH1L	1416.5007	TH1L	1244.1386
THADA	1368.9252	THADA	918.1957
THAP10	56.617	THAP10	70.5912
THAP11	384.4788	THAP11	590.4689
THAP1	306.3344	THAP1	284.4037
THAP2	173.08	THAP2	195.4638
THAP3	211.952	THAP3	222.3038
THAP4	948.4958	THAP4	670.7441
THAP5	1083.0418	THAP5	884.5566
THAP6	578.2251	THAP6	490.0612
THAP7	135.8377	THAP7	206.9317
THAP8	93.4288	THAP8	83.3333
THAP9	240.0301	THAP9	199.5413
THBD	1756.4178	THBD	2183.2314
THBS1	14335.0735	THBS1	7507.6453
THBS2	6463.1613	THBS2	4824.4139
THBS3	468.6508	THBS3	658.0224
THBS4	954.5213	THBS4	980.3772
THEM4	436.1444	THEM4	339.9592
removed	removed	THEM5	6.371
THEMIS	49.2977	THEMIS	49.949
THG1L	187.5034	THG1L	132.5178
THNSL1	352.6183	THNSL1	234.7095
THNSL2	1306.4959	THNSL2	863.1498
THOC1	690.3826	THOC1	529.052
THOC2	1951.4558	THOC2	1964.0673
THOC3	655.293	THOC3	500
THOC4	319.6814	THOC4	336.6463
THOC5	196.5449	THOC5	461.264
THOC6	441.5435	THOC6	213.025
THOC7	810.5054	THOC7	678.8991
THOP1	218.0722	THOP1	330.5301
THPO	152.1985	THPO	11.213
THRAP3	4560.3574	THRAP3	4073.1397
THRA	721.5069	THRA	1455.4918
THRB	494.0531	THRB	1835.1172
THRSP	39.3951	THRSP	390.1631
THSD1P1	270.1362	THSD1P1	256.4348
THSD1	165.976	THSD1	546.3812
THSD4	5480.2217	THSD4	3453.1091
THSD7A	115.3867	THSD7A	286.9521
THSD7B	57.9086	THSD7B	76.9623
THTPA	407.5131	THTPA	319.317
THUMPD1	2825.8974	THUMPD1	2212.0285
THUMPD2	231.8497	THUMPD2	240.0612
THUMPD3	1419.5146	THUMPD3	772.9358
THY1	1958.1293	THY1	969.419
THYN1	612.6689	THYN1	579.2559
TIA1	1888.5959	TIA1	2145.7696
TIAF1	344.9308	TIAF1	287.4363
TIAL1	1824.8749	TIAL1	1712.2834
TIAM1	435.7139	TIAM1	478.3384
TIAM2	73.4772	TIAM2	161.9852
TICAM1	325.4938	TICAM1	374.8726
TICAM2	89.2116	TICAM2	97.5025
TIE1	484.1505	TIE1	1679.1539
TIFA	636.7795	TIFA	467.3802
TIGD1	113.6645	TIGD1	140.9276
TIGD2	145.9555	TIGD2	250
TIGD3	8.8262	TIGD3	5.8614
TIGD4	25.6176	TIGD4	29.3068
TIGD5	66.3043	TIGD5	94.8012
TIGD6	253.3771	TIGD6	243.8838
TIGD7	409.4354	TIGD7	344.5362
TIGIT	31.43	TIGIT	16.8196
TIMELESS	583.1764	TIMELESS	293.578
TIMM10	326.1396	TIMM10	203.8736
TIMM13	445.4012	TIMM13	351.9368
TIMM16	114.3017	TIMM16	65.3389
TIMM17A	1164.6305	TIMM17A	553.0071
TIMM17B	487.1643	TIMM17B	241.5902
TIMM22	503.7404	TIMM22	384.0469
TIMM44	276.8419	TIMM44	304.5362
TIMM50	496.8516	TIMM50	416.157
TIMM8A	86.1095	TIMM8A	86.1366
TIMM8B	432.2695	TIMM8B	238.2773
TIMM9	458.3176	TIMM9	448.0122
TIMP1	9661.9127	TIMP1	1447.5025
TIMP2	7705.9362	TIMP2	17004.3323
TIMP3	14311.8239	TIMP3	37471.7125
TIMP4	168.7746	TIMP4	1111.6208
TINAGL1	235.7247	TINAGL1	2422.7829
TINF2	1244.4971	TINF2	1203.3639
TIPARP	2977.0174	TIPARP	1923.5474
TIPIN	64.7974	TIPIN	74.4139
TIPRL	847.3172	TIPRL	947.5025
TIRAP	421.5058	TIRAP	244.1386
TJAP1	371.1318	TJAP1	648.318
TJP1	2768.2041	TJP1	4224.261
TJP2	1660.8363	TJP2	2279.052
TJP3	627.3075	TJP3	255.3517
TK1	274.9045	TK1	50.2039
TK2	847.3172	TK2	1108.053
TKT	1598.407	TKT	2310.1427
TLCD1	130.4558	TLCD1	26.7584
TLE1	373.2845	TLE1	897.5535
TLE2	216.1348	TLE2	692.4057
TLE3	3028.6852	TLE3	1517.3293
TLE4	203.8642	TLE4	691.896
TLE6	38.3187	TLE6	10.1937
TLK1	2167.3753	TLK1	1995.158
TLK2	736.6665	TLK2	740.8257
TLL1	115.8172	TLL1	516.3099
TLL2	7.3193	removed	removed
TLN1	6232.8185	TLN1	12494.6483
TLN2	930.6281	TLN2	2153.9195
TLR10	86.9706	TLR10	58.3588
TLR1	356.2779	TLR1	352.4465
TLR2	334.7506	TLR2	392.9664
TLR3	429.2557	TLR3	471.4577
TLR4	574.3501	TLR4	1600.4077
TLR5	195.2532	TLR5	452.8542
TLR6	39.1798	TLR6	53.5168
TLR7	369.8402	TLR7	185.7798
TLR8	41.9784	TLR8	33.894
TLR9	10.4903	TLR9	23.6646
TLX1NB	27.1245	removed	removed
TLX1	474.6784	removed	removed
TM2D1	411.388	TM2D1	359.3272
TM2D2	692.5354	TM2D2	696.738
TM2D3	705.2365	TM2D3	765.8002
TM4SF18	170.2815	TM4SF18	891.1825
removed	removed	TM4SF19	5.3466
TM4SF1	6015.1768	TM4SF1	8456.6769
removed	removed	TM4SF4	5.0968
TM6SF1	247.3494	TM6SF1	351.4271
TM6SF2	6.1504	removed	removed
TM7SF2	465.8522	TM7SF2	252.2936
TM7SF3	1687.5303	TM7SF3	1238.2773
TM9SF1	2264.3862	TM9SF1	1255.4536
TM9SF2	6837.0917	TM9SF2	4405.1988
TM9SF3	10355.7397	TM9SF3	7115.9531
TM9SF4	2436.6826	TM9SF4	1793.578
TMBIM1	1671.3847	TMBIM1	3951.0703
TMBIM4	3416.2144	TMBIM4	1561.817
TMBIM6	33033.9594	TMBIM6	18749.2355
removed	removed	TMC2	11.9776
removed	removed	TMC3	9.684
TMC4	2069.2105	TMC4	627.1662
TMC5	3133.7388	TMC5	978.0836
TMC6	407.7283	TMC6	492.3547
TMC7	171.5731	TMC7	163.0989
TMC8	118.4005	TMC8	172.528
TMCC1	1584.1989	TMCC1	970.4383
TMCC2	17.2219	TMCC2	71.6106
TMCC3	244.5509	TMCC3	556.3201
TMCO1	3132.6624	TMCO1	1787.4618
TMCO3	1811.3126	TMCO3	1322.1203
TMCO4	464.5606	TMCO4	593.7819
TMCO6	123.7824	TMCO6	212.7931
TMCO7	215.2737	TMCO7	380.9888
TMED10P1	63.721	TMED10P1	62.946
TMED10	12109.5743	TMED10	7327.2171
TMED1	322.9148	TMED1	293.6442
TMED2	10039.2874	TMED2	5119.2661
TMED3	3451.2674	TMED3	931.7023
TMED4	1372.5849	TMED4	845.5657
TMED5	2793.3889	TMED5	2007.9001
removed	removed	TMED6	7.1356
TMED7-TICAM2	210.8778	TMED7-TICAM2	120.6295
TMED7	5013.2953	TMED7	2665.4052
TMED8	994.9949	TMED8	538.4811
TMED9	2803.0784	TMED9	1734.1998
TMEFF1	57.2585	TMEFF1	76.1035
TMEM100	35.3049	TMEM100	383.792
TMEM101	701.5769	TMEM101	758.1549
TMEM102	130.4558	TMEM102	132.5178
TMEM104	373.7151	TMEM104	297.1458
removed	removed	TMEM105	8.4098
TMEM106A	348.3128	TMEM106A	174.5668
TMEM106B	2664.0116	TMEM106B	2118.7564
TMEM106C	897.9065	TMEM106C	817.0234
TMEM107	361.0139	TMEM107	198.0122
TMEM108	14.8539	TMEM108	58.104
TMEM109	2744.524	TMEM109	2867.9918
TMEM110	247.9048	TMEM110	221.9597
TMEM111	1240.1916	TMEM111	879.2049
TMEM115	941.8223	TMEM115	868.7564
TMEM116	360.5834	TMEM116	206.1672
TMEM117	104.623	TMEM117	127.1662
TMEM119	1581.8309	TMEM119	855.7594
TMEM11	322.0494	TMEM11	331.2946
TMEM120A	406.2214	TMEM120A	494.3935
TMEM120B	215.3253	TMEM120B	374.8598
TMEM121	59.2003	TMEM121	27.7778
TMEM123	5684.5164	TMEM123	6445.9735
TMEM125	571.7669	TMEM125	189.8573
TMEM126A	309.5635	TMEM126A	205.6575
TMEM126B	556.4824	TMEM126B	473.4964
TMEM127	3389.2686	TMEM127	2343.0173
TMEM128	669.2858	TMEM128	648.318
TMEM129	599.5372	TMEM129	700.051
TMEM130	26.6939	TMEM130	63.2008
TMEM131	2545.6111	TMEM131	1886.3405
TMEM132A	714.4933	TMEM132A	232.6707
TMEM132B	11.8401	removed	removed
TMEM132C	35.3049	TMEM132C	790.265
TMEM132E	8.6109	TMEM132E	8.9195
TMEM133	58.7697	TMEM133	114.1692
TMEM134	407.9436	TMEM134	234.9643
TMEM135	1398.633	TMEM135	845.3109
TMEM136	134.1155	TMEM136	240.5708
TMEM138	546.5798	TMEM138	437.3089
TMEM139	45.4227	TMEM139	262.2324
TMEM140	387.5981	TMEM140	1011.3252
TMEM141	1136.8602	TMEM141	359.8369
TMEM143	159.5178	TMEM143	112.3853
TMEM144	669.0706	TMEM144	478.5933
TMEM145	50.374	removed	removed
TMEM147	794.3598	TMEM147	566.2589
TMEM149	65.8996	TMEM149	44.7452
TMEM14A	680.9106	TMEM14A	345.8206
TMEM14B	1067.7574	TMEM14B	642.2018
TMEM14C	2016.2532	TMEM14C	1383.0275
TMEM150A	343.1462	TMEM150A	303.0071
removed	removed	TMEM150B	7.9001
TMEM150C	2150.7992	TMEM150C	801.9878
TMEM151B	8.8284	TMEM151B	23.7105
TMEM154	165.1149	TMEM154	179.4088
TMEM156	807.9221	TMEM156	12.7421
TMEM158	25.187	TMEM158	20.897
TMEM159	1117.9162	TMEM159	915.3925
TMEM160	32.291	TMEM160	26.2487
TMEM161A	326.1396	TMEM161A	223.2416
TMEM161B	356.0626	TMEM161B	333.3333
TMEM163	35.0896	TMEM163	72.8848
TMEM164	676.8204	TMEM164	675.0765
TMEM165	2146.0632	TMEM165	990.316
TMEM167A	3359.9914	TMEM167A	2077.7268
TMEM167B	2575.9647	TMEM167B	1624.3629
TMEM168	798.45	TMEM168	1100.1529
TMEM169	12.0553	TMEM169	31.0907
TMEM170A	377.3747	TMEM170A	864.9337
TMEM170B	226.0373	TMEM170B	508.4098
TMEM173	587.4818	TMEM173	832.5688
TMEM175	325.0632	TMEM175	265.0357
TMEM176A	369.6249	TMEM176A	464.0673
TMEM176B	900.9203	TMEM176B	1136.3405
TMEM177	205.5864	TMEM177	108.053
TMEM178	29.7078	TMEM178	78.2365
TMEM179B	1243.636	TMEM179B	648.0632
TMEM17	47.5755	TMEM17	73.6493
TMEM180	24.9717	TMEM180	51.2232
TMEM181	2950.1103	TMEM181	1912.0795
TMEM182	70.3945	TMEM182	97.8593
TMEM183A	877.2402	TMEM183A	742.3547
TMEM184A	538.6814	TMEM184A	194.1335
TMEM184B	1276.321	TMEM184B	1442.1203
TMEM184C	783.8114	TMEM184C	694.1896
TMEM185A	577.5792	TMEM185A	566.7686
TMEM185B	510.1986	TMEM185B	595.3109
TMEM186	289.3278	TMEM186	196.4832
TMEM187	219.3639	TMEM187	160.0408
TMEM188	202.5725	TMEM188	361.6208
removed	removed	TMEM189-UBE2V1	5.5836
TMEM189	381.8976	TMEM189	472.9179
TMEM18	354.1144	TMEM18	775.7288
TMEM191A	6.4582	TMEM191A	5.6065
TMEM192	1067.1116	TMEM192	845.3109
TMEM194A	621.2798	TMEM194A	740.8257
TMEM194B	105.6994	TMEM194B	133.5372
removed	removed	TMEM195	48.6748
TMEM198	54.8991	TMEM198	44.0877
TMEM199	586.4055	TMEM199	376.9878
TMEM19	875.0875	TMEM19	738.0224
TMEM200A	221.0861	TMEM200A	162.5892
TMEM200B	145.5228	TMEM200B	177.8695
TMEM200C	12.4859	TMEM200C	20.6422
TMEM201	169.8509	TMEM201	285.423
TMEM203	858.5114	TMEM203	602.7013
TMEM204	191.163	TMEM204	357.2885
TMEM205	1465.7984	TMEM205	734.9643
TMEM206	139.9279	TMEM206	85.8818
TMEM208	285.4529	TMEM208	261.213
TMEM209	826.0051	TMEM209	625.8919
TMEM20	19.5899	TMEM20	92.2528
removed	removed	TMEM213	81.0398
TMEM214	2964.9642	TMEM214	1806.3201
TMEM215	5.3818	removed	removed
TMEM216	278.9947	TMEM216	260.9582
TMEM217	14.3652	TMEM217	10.8665
TMEM218	474.6784	TMEM218	297.1458
TMEM219	4020.6663	TMEM219	1341.4883
TMEM220	53.8184	TMEM220	290.0102
TMEM222	722.6737	TMEM222	557.8491
TMEM223	200.4198	TMEM223	179.9185
TMEM229B	821.269	TMEM229B	238.5321
TMEM22	61.353	TMEM22	232.9256
TMEM231	140.9956	TMEM231	271.4042
TMEM232	74.2694	TMEM232	28.5423
