gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
ANKRD27	403.8534	ANKRD27	987.5127
ANKRD28	1155.1585	ANKRD28	1732.4159
ANKRD29	29.7078	ANKRD29	471.4577
ANKRD30A	2380.2809	ANKRD30A	1917.686
ANKRD30B	250.148	ANKRD30B	62.4363
ANKRD32	228.6206	ANKRD32	199.2864
ANKRD34A	17.6524	ANKRD34A	12.2324
ANKRD35	14.8539	ANKRD35	120.0306
ANKRD36BP1	106.1299	ANKRD36BP1	264.7808
ANKRD36B	41.7631	ANKRD36B	111.366
ANKRD36	174.1564	ANKRD36	420.7441
ANKRD37	84.5121	ANKRD37	139.2788
ANKRD39	114.5256	ANKRD39	80.2752
ANKRD40	1771.7023	ANKRD40	2330.2752
ANKRD42	716.646	ANKRD42	311.1621
ANKRD43	609.0092	ANKRD43	29.3068
ANKRD44	113.6645	ANKRD44	134.3017
ANKRD45	5.3818	ANKRD45	16.5647
ANKRD46	677.6449	ANKRD46	676.1009
ANKRD49	454.8733	ANKRD49	385.3211
ANKRD50	1469.8886	ANKRD50	1977.0642
ANKRD52	1235.2403	ANKRD52	1486.4934
removed	removed	ANKRD53	48.6748
ANKRD54	255.9604	ANKRD54	297.9103
