gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
ANKHD1-EIF4EBP3	1309.8468	ANKHD1-EIF4EBP3	1350.6602
ANKHD1	4610.8497	ANKHD1	1799.4491
removed	removed	ANKH	1797.7292
ANKIB1	1279.7688	ANKIB1	1349.8738
removed	removed	ANKK1	37.8469
removed	removed	ANKLE1	13.8772
ANKLE2	1685.2601	ANKLE2	1469.7225
ANKMY1	295.3757	ANKMY1	244.323
ANKMY2	314.7399	ANKMY2	599.2431
ANKRA2	326.5896	ANKRA2	284.2725
ANKRD10	677.8555	ANKRD10	1237.9815
ANKRD11	1301.7023	ANKRD11	2404.4449
ANKRD12	1236.4162	ANKRD12	1556.7704
ANKRD13A	650.578	ANKRD13A	1211.9428
ANKRD13B	570.2312	ANKRD13B	137.931
ANKRD13C	593.0636	ANKRD13C	555.0883
ANKRD13D	1582.3699	ANKRD13D	497.4769
ANKRD16	183.789	ANKRD16	144.2389
ANKRD17	3313.2948	ANKRD17	2726.6611
ANKRD19	67.052	ANKRD19	26.4929
ANKRD20A3	8.9595	ANKRD20A3	10.9336
ANKRD20B	6.6474	ANKRD20B	5.0463
ANKRD22	67.341	ANKRD22	50.0421
ANKRD23	28.6127	ANKRD23	34.0622
ANKRD24	10.4046	ANKRD24	33.2212
ANKRD26	396.8208	ANKRD26	289.7393
ANKRD27	997.1098	ANKRD27	832.6325
ANKRD28	1335.8382	ANKRD28	1125.7359
ANKRD29	267.052	ANKRD29	246.8461
ANKRD2	8.6705	removed	removed
ANKRD30A	9.8266	ANKRD30A	408.3263
removed	removed	ANKRD30B	29.016
ANKRD32	340.1734	ANKRD32	143.8183
ANKRD34A	12.7168	ANKRD34A	23.5492
removed	removed	ANKRD35	218.2506
ANKRD36BP1	190.1734	ANKRD36BP1	113.5408
ANKRD36B	14.7399	ANKRD36B	35.3238
ANKRD36	81.5029	ANKRD36	214.8865
ANKRD37	39.9942	ANKRD37	193.6543
ANKRD39	200.8671	ANKRD39	119.8486
ANKRD40	2714.7399	ANKRD40	2643.8183
ANKRD42	245.9538	ANKRD42	322.1194
ANKRD43	17.052	ANKRD43	27.3339
ANKRD44	24.8555	ANKRD44	82.8427
removed	removed	ANKRD45	10.0925
ANKRD46	1380.2514	ANKRD46	634.1758
ANKRD49	162.1387	ANKRD49	239.6972
ANKRD50	1738.1503	ANKRD50	1008.4104
ANKRD52	1588.4393	ANKRD52	1250.2103
removed	removed	ANKRD53	101.7662
ANKRD54	350	ANKRD54	352.8175
ANKRD56	14.4509	ANKRD56	51.3036
ANKRD57	782.0809	ANKRD57	570.6476
removed	removed	ANKRD58	7.1489
ANKRD5	417.9191	ANKRD5	217.8301
ANKRD6	75.1676	ANKRD6	301.0681
ANKRD9	43.3526	ANKRD9	44.9958
ANKS1A	727.1676	ANKS1A	1267.0311
