gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
AMOTL2	1035.2467	AMOTL2	5386.9454
AMOT	731.3009	AMOT	1095.9898
removed	removed	AMPD1	6.8259
AMPD2	567.9758	AMPD2	496.587
AMPD3	283.0724	AMPD3	112.628
AMPH	38.8172	AMPH	44.3686
AMT	13.2638	AMT	143.1485
removed	removed	AMY1A	12.7986
AMY2B	39.9597	AMY2B	426.0879
AMZ1	8.0564	AMZ1	10.2389
AMZ2P1	86.4231	AMZ2P1	250.8532
AMZ2	839.3299	AMZ2	1844.2833
ANAPC10	124.1417	ANAPC10	123.2935
ANAPC11	399.5239	ANAPC11	597.2696
ANAPC13	1171.7514	ANAPC13	1335.8831
ANAPC16	2040.4651	ANAPC16	3177.4744
ANAPC1	1068.5709	ANAPC1	895.4778
ANAPC2	693.9485	ANAPC2	557.1672
ANAPC4	440.5383	ANAPC4	549.9147
ANAPC5	2066.0991	ANAPC5	2136.5188
ANAPC7	1224.2058	ANAPC7	625.4266
ANGEL1	678.202	ANGEL1	480.802
ANGEL2	1320.8825	ANGEL2	679.6075
ANGPT1	58.9582	ANGPT1	872.4403
ANGPT2	261.8328	ANGPT2	209.471
removed	removed	ANGPT4	14.0785
ANGPTL1	13.5494	ANGPTL1	285.8362
ANGPTL2	1048.7961	ANGPTL2	6077.6451
ANGPTL4	62.6202	ANGPTL4	1226.1092
removed	removed	ANGPTL5	11.0922
removed	removed	ANGPTL7	582.3379
ANG	419.5184	ANG	848.5964
ANK1	8.7888	ANK1	17.0648
ANK2	137.6911	ANK2	1007.2526
ANK3	1535.1094	ANK3	834.471
ANKAR	16.8452	ANKAR	59.3003
ANKDD1A	28.5636	ANKDD1A	109.215
ANKFN1	64.8174	removed	removed
ANKFY1	1855.168	ANKFY1	2160.8362
ANKHD1-EIF4EBP3	976.9587	ANKHD1-EIF4EBP3	1236.5742
removed	removed	ANKHD1	2354.1852
ANKH	1060.5145	ANKH	1969.2833
ANKIB1	1885.5626	ANKIB1	1762.7986
removed	removed	ANKK1	22.6109
removed	removed	ANKLE1	6.3993
ANKLE2	1691.4767	ANKLE2	1790.1024
ANKMY1	250.4806	ANKMY1	273.4642
ANKMY2	367.2984	ANKMY2	817.8328
ANKRA2	327.7488	ANKRA2	341.7235
ANKRD10	1561.798	ANKRD10	1191.0794
ANKRD11	1872.676	ANKRD11	2541.6084
ANKRD12	1693.6739	ANKRD12	2082.7645
ANKRD13A	668.6808	ANKRD13A	1150.5973
ANKRD13B	50.5356	ANKRD13B	100.6826
ANKRD13C	651.1032	ANKRD13C	657.4232
ANKRD13D	335.8052	ANKRD13D	346.4164
ANKRD16	142.4517	ANKRD16	136.5188
ANKRD17	4721.7797	ANKRD17	3028.157
ANKRD19	21.2396	ANKRD19	26.8771
removed	removed	ANKRD20A3	5.1195
ANKRD22	166.2547	ANKRD22	42.2355
ANKRD23	39.9158	ANKRD23	28.157
ANKRD24	15.0142	ANKRD24	27.7304
ANKRD26	258.9032	ANKRD26	332.7645
ANKRD27	717.0191	ANKRD27	974.8294
ANKRD28	1577.9548	ANKRD28	1144.6246
ANKRD29	5.493	ANKRD29	308.4471
ANKRD30A	1447.2215	ANKRD30A	902.3038
removed	removed	ANKRD30B	48.2082
ANKRD32	298.819	ANKRD32	136.9454
ANKRD34A	47.9722	ANKRD34A	29.8635
ANKRD35	10.2536	ANKRD35	152.7304
ANKRD36BP1	230.7059	ANKRD36BP1	155.2901
ANKRD36B	21.2396	ANKRD36B	58.8737
ANKRD36	99.9725	ANKRD36	185.1536
ANKRD37	84.3981	ANKRD37	93.9804
ANKRD39	129.2685	ANKRD39	103.6689
ANKRD40	1276.9386	ANKRD40	3889.9317
ANKRD42	198.4803	ANKRD42	298.2082
ANKRD43	6.9578	ANKRD43	92.1502
ANKRD44	179.0717	ANKRD44	119.4539
removed	removed	ANKRD45	20.0512
ANKRD46	304.6782	ANKRD46	1025.3285
ANKRD49	207.2691	ANKRD49	270.9044
ANKRD50	3172.7547	ANKRD50	1261.5188
ANKRD52	2704.019	ANKRD52	1227.3891
ANKRD53	5.1268	ANKRD53	281.1433
ANKRD54	234.3678	ANKRD54	232.9352
ANKRD56	90.8175	ANKRD56	90.0171
ANKRD57	451.1581	ANKRD57	710.3242
ANKRD58	12.0846	removed	removed
ANKRD5	547.8348	ANKRD5	281.1433
ANKRD6	247.9282	ANKRD6	334.6843
ANKRD9	16.8452	ANKRD9	49.0614
ANKS1A	1454.1793	ANKS1A	1222.6962
ANKS1B	152.3391	ANKS1B	75.0853
ANKS3	225.5791	ANKS3	146.7577
